SURVEY:  PS1MD
SNID:  2020jgl
otherID: 
IAUC:    UNKNOWN
RA:        142.2434170  deg
DECL:       -14.8055740  deg
MWEBV:    0.060 +- 0.003 MW E(B-V)
REDSHIFT_FINAL:  0.0068 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59030.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020jgl.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0000
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 0.941 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 47
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58980.26 g NULL  54892.467 223.179 15.651 0.004 0x00
OBS: 58985.26 g NULL  182419.262 477.507 14.347 0.003 0x00
OBS: 58987.26 g NULL  235374.741 447.207 14.071 0.002 0x00
OBS: 58992.26 g NULL  298458.723 757.029 13.813 0.003 0x01
OBS: 58994.26 g NULL  293625.379 604.998 13.831 0.002 0x00
OBS: 59000.27 g NULL  240923.228 678.798 14.045 0.003 0x00
OBS: 59004.27 g NULL  192611.532 684.241 14.288 0.004 0x00
OBS: 59007.26 g NULL  151104.093 584.167 14.552 0.004 0x00
OBS: 59010.27 g NULL  121545.113 602.382 14.788 0.005 0x00
OBS: 59013.26 g NULL  97528.559 592.911 15.027 0.007 0x00
OBS: 59017.27 g NULL  67942.360 461.312 15.420 0.007 0x00
OBS: 58980.26 r NULL  62878.029 267.475 15.504 0.005 0x00
OBS: 58985.26 r NULL  95718.627 771.965 15.048 0.009 0x09
OBS: 58987.26 r NULL  246303.461 476.300 14.021 0.002 0x00
OBS: 58990.26 r NULL  244539.446 878.454 14.029 0.004 0x09
OBS: 58992.26 r NULL  314418.955 815.672 13.756 0.003 0x00
OBS: 58994.26 r NULL  323123.292 727.551 13.727 0.002 0x00
OBS: 59000.27 r NULL  267668.664 588.289 13.931 0.002 0x00
OBS: 59004.27 r NULL  201997.686 673.300 14.237 0.004 0x00
OBS: 59007.26 r NULL  178992.285 560.605 14.368 0.003 0x00
OBS: 59010.27 r NULL  166680.326 499.402 14.445 0.003 0x00
OBS: 59013.26 r NULL  168391.325 772.482 14.434 0.005 0x00
OBS: 59015.26 r NULL  158169.660 491.622 14.502 0.003 0x00
OBS: 59017.27 r NULL  158358.029 550.127 14.501 0.004 0x00
OBS: 58980.25 i NULL  36764.046 170.380 16.086 0.005 0x00
OBS: 58985.26 i NULL  141318.544 314.875 14.625 0.002 0x00
OBS: 58987.26 i NULL  173351.009 388.945 14.403 0.002 0x00
OBS: 58990.26 i NULL  183823.471 427.804 14.339 0.003 0x00
OBS: 58992.26 i NULL  176741.333 645.294 14.382 0.004 0x00
OBS: 58994.26 i NULL  171668.552 522.263 14.413 0.003 0x00
OBS: 59000.27 i NULL  138092.005 421.403 14.650 0.003 0x00
OBS: 59004.27 i NULL  105609.027 522.329 14.941 0.005 0x00
OBS: 59007.26 i NULL  96735.911 410.491 15.036 0.005 0x00
OBS: 59010.27 i NULL  108770.899 507.617 14.909 0.005 0x00
OBS: 59013.26 i NULL  116858.731 643.448 14.831 0.006 0x00
OBS: 59015.26 i NULL  124160.389 512.816 14.765 0.004 0x00
OBS: 59017.27 i NULL  120448.204 476.095 14.798 0.004 0x00
OBS: 58980.25 z NULL  57125.028 265.725 15.608 0.005 0x00
OBS: 58985.26 z NULL  143097.158 449.132 14.611 0.003 0x00
OBS: 58987.26 z NULL  167984.144 514.371 14.437 0.003 0x00
OBS: 58990.26 z NULL  185141.994 629.960 14.331 0.004 0x00
OBS: 58992.26 z NULL  186357.056 684.106 14.324 0.004 0x00
OBS: 58994.26 z NULL  183433.507 481.851 14.341 0.003 0x00
OBS: 59000.26 z NULL  150272.162 520.615 14.558 0.004 0x00
OBS: 59004.27 z NULL  135898.104 745.365 14.667 0.006 0x00
OBS: 59007.26 z NULL  139239.138 634.250 14.641 0.005 0x00
OBS: 59010.27 z NULL  142327.195 615.395 14.617 0.005 0x00
OBS: 59013.26 z NULL  149410.252 809.707 14.564 0.006 0x00
OBS: 59015.26 z NULL  137674.123 737.446 14.653 0.006 0x00
OBS: 59017.26 z NULL  147548.213 583.288 14.578 0.004 0x00
END:
