SURVEY:  PS1MD
SNID:  2020jnz
otherID: 
IAUC:    UNKNOWN
RA:        181.4605410  deg
DECL:       19.7751070  deg
MWEBV:    0.023 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020jnz.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0003
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.822 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 101
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58866.57 g NULL  -20.309 67.293 nan -3.598 0x00
OBS: 58869.57 g NULL  3.664 53.199 26.090 15.764 0x00
OBS: 58871.57 g NULL  137.952 50.773 22.151 0.400 0x00
OBS: 58873.56 g NULL  113.061 62.213 22.367 0.597 0x00
OBS: 58876.51 g NULL  5.342 87.245 25.681 17.732 0x00
OBS: 58879.50 g NULL  104.755 200.458 22.450 2.078 0x00
OBS: 58929.36 g NULL  81.032 84.862 22.728 1.137 0x00
OBS: 58933.50 g NULL  -48.779 146.000 nan -3.250 0x01
OBS: 58958.40 g NULL  97.832 48.225 22.524 0.535 0x00
OBS: 58964.41 g NULL  102.448 84.550 22.474 0.896 0x00
OBS: 58967.25 g NULL  21.313 67.366 24.178 3.432 0x00
OBS: 58969.26 g NULL  36.413 80.819 23.597 2.410 0x00
OBS: 58985.37 g NULL  2657.099 81.631 18.939 0.033 0x00
OBS: 58992.34 g NULL  2081.138 79.730 19.204 0.042 0x00
OBS: 59013.27 g NULL  894.809 85.286 20.121 0.103 0x00
OBS: 59016.27 g NULL  749.921 71.592 20.312 0.104 0x00
OBS: 59019.27 g NULL  708.169 217.628 20.375 0.334 0x00
OBS: 59023.27 g NULL  574.225 70.975 20.602 0.134 0x00
OBS: 59195.58 g NULL  111.966 68.375 22.377 0.663 0x01
OBS: 59200.63 g NULL  48.710 84.248 23.281 1.878 0x00
OBS: 59222.58 g NULL  220.620 69.945 21.641 0.344 0x00
OBS: 59226.57 g NULL  13.380 68.572 24.684 5.564 0x01
OBS: 59254.60 g NULL  286.273 210.514 21.358 0.798 0x00
OBS: 59256.48 g NULL  59.248 61.469 23.068 1.126 0x01
OBS: 59261.46 g NULL  -14.380 58.865 nan -4.444 0x00
OBS: 59292.39 g NULL  31.130 80.000 23.767 2.790 0x01
OBS: 59307.35 g NULL  179.037 87.638 21.868 0.531 0x00
OBS: 59314.30 g NULL  125.993 72.352 22.249 0.623 0x00
OBS: 59316.45 g NULL  -91.161 94.794 nan -1.129 0x00
OBS: 59318.44 g NULL  -17.772 68.118 nan -4.162 0x00
OBS: 59320.48 g NULL  116.761 56.780 22.332 0.528 0x00
OBS: 59322.42 g NULL  70.985 57.395 22.872 0.878 0x00
OBS: 59337.26 g NULL  93.114 65.966 22.577 0.769 0x00
OBS: 59338.27 g NULL  -74.356 90.786 nan -1.326 0x00
OBS: 59343.26 g NULL  116.978 51.953 22.330 0.482 0x00
OBS: 59345.26 g NULL  -43.939 68.794 nan -1.700 0x00
OBS: 58869.57 r NULL  -105.849 59.258 nan -0.608 0x00
OBS: 58873.56 r NULL  -32.606 67.458 nan -2.246 0x00
OBS: 58879.50 r NULL  55.864 176.361 23.132 3.428 0x00
OBS: 58883.50 r NULL  85.860 72.046 22.666 0.911 0x00
OBS: 58922.41 r NULL  212.713 87.725 21.681 0.448 0x00
OBS: 58933.51 r NULL  19.135 150.680 24.295 8.550 0x01
OBS: 58949.53 r NULL  -20.191 93.801 nan -5.044 0x00
OBS: 58964.42 r NULL  -190.440 178.083 nan -1.015 0x00
OBS: 58976.42 r NULL  673.238 210.386 20.430 0.339 0x01
OBS: 58981.26 r NULL  2101.871 81.771 19.193 0.042 0x00
OBS: 58992.35 r NULL  2271.852 94.478 19.109 0.045 0x00
OBS: 59004.30 r NULL  1441.431 144.050 19.603 0.109 0x00
OBS: 59008.28 r NULL  1366.300 89.268 19.661 0.071 0x00
OBS: 59016.27 r NULL  1218.645 81.398 19.785 0.073 0x00
OBS: 59023.27 r NULL  1138.445 66.721 19.859 0.064 0x00
OBS: 59032.29 r NULL  971.240 102.956 20.032 0.115 0x00
OBS: 59034.30 r NULL  945.095 99.359 20.061 0.114 0x00
OBS: 59039.28 r NULL  997.559 88.772 20.003 0.097 0x00
OBS: 59041.27 r NULL  874.821 77.575 20.145 0.096 0x00
OBS: 59207.65 r NULL  62.164 53.561 23.016 0.935 0x00
OBS: 59212.62 r NULL  -117.496 68.821 nan -0.636 0x00
OBS: 59222.58 r NULL  21.476 67.527 24.170 3.414 0x00
OBS: 59230.55 r NULL  28.110 64.096 23.878 2.476 0x00
OBS: 59243.51 r NULL  244.973 175.058 21.527 0.776 0x00
OBS: 59254.59 r NULL  -484.060 141.092 nan -0.316 0x00
OBS: 59276.60 r NULL  -124.294 123.898 nan -1.082 0x00
OBS: 59297.49 r NULL  -82.424 158.951 nan -2.094 0x00
OBS: 59305.31 r NULL  98.250 68.796 22.519 0.760 0x01
OBS: 59314.31 r NULL  1.821 65.201 26.849 38.875 0x00
OBS: 59318.44 r NULL  83.165 74.502 22.700 0.973 0x00
OBS: 59322.42 r NULL  4.315 59.231 25.913 14.904 0x00
OBS: 59331.39 r NULL  198.034 222.781 21.758 1.221 0x00
OBS: 59333.42 r NULL  -56.704 84.367 nan -1.615 0x00
OBS: 59335.40 r NULL  104.243 102.200 22.455 1.064 0x00
OBS: 59345.26 r NULL  30.065 82.103 23.805 2.965 0x00
OBS: 58866.56 i NULL  14.799 93.428 24.574 6.854 0x00
OBS: 58871.56 i NULL  -31.712 81.771 nan -2.800 0x00
OBS: 58876.52 i NULL  57.529 82.913 23.100 1.565 0x00
OBS: 58922.42 i NULL  90.067 101.618 22.614 1.225 0x00
OBS: 58929.35 i NULL  -62.164 107.932 nan -1.885 0x00
OBS: 58958.41 i NULL  154.255 63.115 22.029 0.444 0x00
OBS: 58967.26 i NULL  162.377 80.691 21.974 0.540 0x00
OBS: 58981.26 i NULL  1891.777 88.393 19.308 0.051 0x00
OBS: 58985.37 i NULL  2115.939 79.252 19.186 0.041 0x00
OBS: 59004.30 i NULL  1616.554 141.616 19.479 0.095 0x00
OBS: 59008.28 i NULL  1569.353 89.200 19.511 0.062 0x00
OBS: 59013.27 i NULL  1333.042 111.028 19.688 0.090 0x00
OBS: 59019.27 i NULL  1512.727 189.370 19.551 0.136 0x00
OBS: 59032.29 i NULL  1361.423 91.514 19.665 0.073 0x00
OBS: 59041.27 i NULL  1209.062 79.044 19.794 0.071 0x00
OBS: 59195.57 i NULL  -122.522 90.381 nan -0.801 0x00
OBS: 59200.64 i NULL  -164.688 103.735 nan -0.684 0x00
OBS: 59226.56 i NULL  125.800 80.586 22.251 0.696 0x00
OBS: 59237.64 i NULL  792.646 414.359 20.252 0.568 0x01
OBS: 59243.51 i NULL  134.031 162.176 22.182 1.314 0x01
OBS: 59256.47 i NULL  133.174 71.725 22.189 0.585 0x00
OBS: 59261.46 i NULL  -18.923 69.298 nan -3.976 0x00
OBS: 59297.49 i NULL  19.352 151.879 24.283 8.521 0x00
OBS: 59316.45 i NULL  -9.410 95.909 nan -11.066 0x00
OBS: 59320.47 i NULL  142.126 79.699 22.118 0.609 0x00
OBS: 59331.40 i NULL  233.396 178.045 21.580 0.828 0x00
OBS: 59335.40 i NULL  187.778 113.826 21.816 0.658 0x00
OBS: 59338.27 i NULL  -126.248 112.277 nan -0.966 0x00
OBS: 59343.26 i NULL  70.550 59.987 22.879 0.923 0x00
OBS: 58883.54 z NULL  178.574 137.546 21.870 0.836 0x00
OBS: 58942.52 z NULL  125.452 329.968 22.254 2.856 0x01
OBS: 58949.53 z NULL  48.320 142.067 23.290 3.192 0x00
OBS: 58969.26 z NULL  493.325 120.128 20.767 0.264 0x00
OBS: 58976.42 z NULL  733.461 257.539 20.337 0.381 0x01
OBS: 59034.30 z NULL  1493.053 139.695 19.565 0.102 0x00
OBS: 59039.28 z NULL  1447.945 238.936 19.598 0.179 0x00
OBS: 59207.64 z NULL  134.359 114.099 22.179 0.922 0x00
OBS: 59212.62 z NULL  -88.767 100.183 nan -1.225 0x00
OBS: 59276.60 z NULL  123.909 165.056 22.267 1.446 0x00
OBS: 59307.34 z NULL  49.062 146.319 23.273 3.238 0x00
OBS: 59333.43 z NULL  9.924 116.919 25.008 12.792 0x00
OBS: 59337.27 z NULL  200.917 136.231 21.742 0.736 0x00
END:
