SURVEY:  PS1MD
SNID:  2020jup
otherID: 
IAUC:    UNKNOWN
RA:        241.0420380  deg
DECL:       27.5769500  deg
MWEBV:    0.034 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020jup.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0010
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.040 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 183
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58937.62 g NULL  -329.962 181.398 nan -0.597 0x00
OBS: 58941.54 g NULL  105.637 59.975 22.440 0.616 0x00
OBS: 58955.48 g NULL  -51.613 72.824 nan -1.532 0x00
OBS: 58966.57 g NULL  176.110 53.220 21.886 0.328 0x00
OBS: 58968.55 g NULL  245.502 55.673 21.525 0.246 0x00
OBS: 58971.41 g NULL  426.922 90.442 20.924 0.230 0x00
OBS: 58983.52 g NULL  719.215 61.865 20.358 0.093 0x00
OBS: 58985.39 g NULL  720.481 68.657 20.356 0.103 0x00
OBS: 58989.52 g NULL  690.444 54.787 20.402 0.086 0x00
OBS: 58993.37 g NULL  617.701 133.110 20.523 0.234 0x00
OBS: 58995.47 g NULL  517.644 59.807 20.715 0.125 0x00
OBS: 58999.49 g NULL  316.042 60.495 21.251 0.208 0x00
OBS: 59013.46 g NULL  167.937 130.073 21.937 0.841 0x00
OBS: 59016.44 g NULL  265.478 55.512 21.440 0.227 0x00
OBS: 59019.48 g NULL  -143.977 110.960 nan -0.837 0x00
OBS: 59023.44 g NULL  60.465 52.938 23.046 0.951 0x00
OBS: 59043.36 g NULL  59.861 48.419 23.057 0.878 0x00
OBS: 59048.35 g NULL  -37.592 49.464 nan -1.429 0x01
OBS: 59055.33 g NULL  0.638 61.532 27.988 104.714 0x00
OBS: 59071.28 g NULL  59.853 55.026 23.057 0.998 0x00
OBS: 59074.30 g NULL  136.995 65.233 22.158 0.517 0x00
OBS: 59077.27 g NULL  -40.422 42.512 nan -1.142 0x00
OBS: 59079.26 g NULL  13.435 38.876 24.679 3.142 0x00
OBS: 59083.26 g NULL  37.020 64.879 23.579 1.903 0x00
OBS: 59102.25 g NULL  -26.265 48.733 nan -2.015 0x00
OBS: 59106.25 g NULL  146.912 45.406 22.082 0.336 0x00
OBS: 59108.24 g NULL  48.055 39.498 23.296 0.892 0x00
OBS: 59113.23 g NULL  469.280 238.438 20.821 0.552 0x00
OBS: 59117.23 g NULL  -19.403 194.329 nan -10.874 0x00
OBS: 59136.22 g NULL  -19.497 91.194 nan -5.078 0x00
OBS: 59139.22 g NULL  -60.798 106.417 nan -1.900 0x00
OBS: 59292.50 g NULL  -19.338 77.398 nan -4.346 0x00
OBS: 59313.62 g NULL  -64.676 42.340 nan -0.711 0x00
OBS: 59314.48 g NULL  -14.806 43.771 nan -3.210 0x00
OBS: 59321.48 g NULL  -105.919 58.674 nan -0.601 0x00
OBS: 59343.39 g NULL  -38.822 50.377 nan -1.409 0x00
OBS: 59352.55 g NULL  162.200 113.166 21.975 0.758 0x00
OBS: 59368.37 g NULL  -58.936 101.977 nan -1.879 0x00
OBS: 59372.46 g NULL  -40.448 43.169 nan -1.159 0x00
OBS: 59375.43 g NULL  45.506 74.810 23.355 1.785 0x00
OBS: 59379.31 g NULL  66.959 47.413 22.935 0.769 0x01
OBS: 59382.29 g NULL  34.211 53.145 23.665 1.687 0x00
OBS: 59383.29 g NULL  -46.945 81.764 nan -1.891 0x00
OBS: 59384.27 g NULL  13.935 123.692 24.640 9.637 0x00
OBS: 59398.41 g NULL  59.909 90.325 23.056 1.637 0x00
OBS: 59399.40 g NULL  -37.997 51.990 nan -1.486 0x00
OBS: 59408.39 g NULL  -19.763 44.725 nan -2.457 0x00
OBS: 59412.38 g NULL  47.870 90.888 23.300 2.061 0x00
OBS: 59425.33 g NULL  -51.219 48.844 nan -1.035 0x00
OBS: 59429.28 g NULL  -12.696 58.700 nan -5.020 0x00
OBS: 59431.33 g NULL  -28.201 142.908 nan -5.502 0x01
OBS: 59435.27 g NULL  14.866 45.936 24.570 3.355 0x01
OBS: 59437.26 g NULL  103.104 70.283 22.467 0.740 0x00
OBS: 59439.26 g NULL  30.650 92.258 23.784 3.268 0x00
OBS: 59441.26 g NULL  94.401 69.040 22.563 0.794 0x00
OBS: 59442.26 g NULL  -40.295 72.036 nan -1.941 0x00
OBS: 58931.52 r NULL  28.923 147.059 23.847 5.520 0x00
OBS: 58950.60 r NULL  189.295 102.958 21.807 0.591 0x00
OBS: 58966.58 r NULL  240.790 53.308 21.546 0.240 0x00
OBS: 58974.43 r NULL  742.548 122.286 20.323 0.179 0x00
OBS: 58981.39 r NULL  846.810 63.781 20.181 0.082 0x00
OBS: 58993.38 r NULL  699.921 81.902 20.387 0.127 0x00
OBS: 59003.45 r NULL  468.391 94.727 20.823 0.220 0x00
OBS: 59007.31 r NULL  350.696 117.738 21.138 0.365 0x00
OBS: 59016.44 r NULL  324.058 55.001 21.223 0.184 0x00
OBS: 59023.44 r NULL  209.796 41.452 21.696 0.215 0x00
OBS: 59030.39 r NULL  149.437 51.495 22.064 0.374 0x00
OBS: 59031.28 r NULL  -25.441 109.671 nan -4.680 0x00
OBS: 59037.38 r NULL  106.732 70.096 22.429 0.713 0x00
OBS: 59048.35 r NULL  99.028 49.694 22.511 0.545 0x00
OBS: 59055.33 r NULL  11.514 62.473 24.847 5.891 0x00
OBS: 59059.38 r NULL  109.332 57.854 22.403 0.575 0x00
OBS: 59062.37 r NULL  100.181 74.497 22.498 0.807 0x00
OBS: 59065.30 r NULL  107.211 79.396 22.424 0.804 0x00
OBS: 59069.35 r NULL  -63.893 60.089 nan -1.021 0x01
OBS: 59079.26 r NULL  116.318 49.029 22.336 0.458 0x00
OBS: 59083.27 r NULL  103.240 50.096 22.465 0.527 0x00
OBS: 59094.26 r NULL  150.083 133.183 22.059 0.963 0x00
OBS: 59096.26 r NULL  93.323 77.120 22.575 0.897 0x00
OBS: 59098.31 r NULL  -3.874 132.940 nan -37.258 0x00
OBS: 59108.25 r NULL  117.784 55.217 22.322 0.509 0x00
OBS: 59122.23 r NULL  -94.254 132.044 nan -1.521 0x00
OBS: 59128.22 r NULL  -67.857 138.521 nan -2.216 0x00
OBS: 59136.22 r NULL  -607.420 75.542 nan -0.135 0x00
OBS: 59270.60 r NULL  -26.895 0.000 nan -0.000 0x00
OBS: 59297.52 r NULL  153.896 113.164 22.032 0.798 0x00
OBS: 59300.51 r NULL  -600.907 740.594 nan -1.338 0x00
OBS: 59303.52 r NULL  47.396 107.262 23.311 2.457 0x00
OBS: 59304.52 r NULL  41.101 161.178 23.465 4.258 0x00
OBS: 59306.47 r NULL  -27.493 72.871 nan -2.878 0x00
OBS: 59314.47 r NULL  -9.853 53.062 nan -5.847 0x00
OBS: 59321.47 r NULL  100.460 57.055 22.495 0.617 0x00
OBS: 59326.43 r NULL  92.635 121.714 22.583 1.427 0x00
OBS: 59327.45 r NULL  27.326 79.890 23.909 3.174 0x00
OBS: 59331.41 r NULL  96.403 201.006 22.540 2.264 0x00
OBS: 59347.55 r NULL  -39.048 90.947 nan -2.529 0x01
OBS: 59357.37 r NULL  -81.945 99.168 nan -1.314 0x00
OBS: 59358.37 r NULL  57.253 94.898 23.106 1.800 0x00
OBS: 59360.38 r NULL  -39.858 154.386 nan -4.205 0x00
OBS: 59363.49 r NULL  77.981 82.152 22.770 1.144 0x00
OBS: 59365.36 r NULL  64.995 51.942 22.968 0.868 0x00
OBS: 59375.43 r NULL  -51.543 84.242 nan -1.775 0x00
OBS: 59385.27 r NULL  -128.613 110.899 nan -0.936 0x00
OBS: 59386.32 r NULL  -112.404 246.517 nan -2.381 0x00
OBS: 59388.30 r NULL  -68.405 123.499 nan -1.960 0x09
OBS: 59391.41 r NULL  -58.870 76.819 nan -1.417 0x00
OBS: 59394.40 r NULL  2.575 39.214 26.473 16.534 0x00
OBS: 59399.40 r NULL  -47.099 54.333 nan -1.252 0x00
OBS: 59408.39 r NULL  -52.501 48.528 nan -1.004 0x00
OBS: 59414.34 r NULL  26.893 86.197 23.926 3.480 0x00
OBS: 59416.31 r NULL  22.579 282.921 24.116 13.605 0x00
OBS: 59422.33 r NULL  223.585 368.187 21.626 1.788 0x00
OBS: 59429.28 r NULL  -43.606 58.183 nan -1.449 0x00
OBS: 59435.27 r NULL  -4.489 41.435 nan -10.022 0x00
OBS: 59439.26 r NULL  16.900 91.428 24.430 5.874 0x00
OBS: 59444.26 r NULL  10.472 97.434 24.950 10.102 0x00
OBS: 59447.25 r NULL  73.878 73.138 22.829 1.075 0x00
OBS: 59450.30 r NULL  -92.546 95.899 nan -1.125 0x00
OBS: 58937.63 i NULL  -20.652 77.109 nan -4.054 0x00
OBS: 58968.55 i NULL  355.878 54.645 21.122 0.167 0x00
OBS: 58981.39 i NULL  733.889 56.499 20.336 0.084 0x00
OBS: 58983.53 i NULL  791.189 60.322 20.254 0.083 0x00
OBS: 58995.47 i NULL  541.330 69.426 20.666 0.139 0x00
OBS: 59007.30 i NULL  315.888 74.248 21.251 0.255 0x00
OBS: 59019.48 i NULL  353.823 126.452 21.128 0.388 0x00
OBS: 59031.29 i NULL  360.777 104.658 21.107 0.315 0x00
OBS: 59037.39 i NULL  64.590 70.405 22.975 1.183 0x00
OBS: 59059.37 i NULL  114.426 85.170 22.354 0.808 0x00
OBS: 59065.30 i NULL  122.797 39.492 22.277 0.349 0x00
OBS: 59069.34 i NULL  206.405 53.653 21.713 0.282 0x01
OBS: 59071.29 i NULL  46.707 69.085 23.327 1.606 0x00
OBS: 59077.27 i NULL  149.253 61.628 22.065 0.448 0x00
OBS: 59094.26 i NULL  -246.688 182.662 nan -0.804 0x00
OBS: 59098.31 i NULL  180.098 126.352 21.861 0.762 0x00
OBS: 59102.25 i NULL  9.980 77.501 25.002 8.431 0x00
OBS: 59106.24 i NULL  119.056 60.861 22.311 0.555 0x00
OBS: 59113.23 i NULL  66.257 262.121 22.947 4.295 0x00
OBS: 59117.23 i NULL  72.463 140.386 22.850 2.103 0x00
OBS: 59122.23 i NULL  6.695 174.965 25.436 28.374 0x00
OBS: 59128.23 i NULL  -69.931 153.191 nan -2.378 0x00
OBS: 59139.21 i NULL  80.500 107.232 22.736 1.446 0x00
OBS: 59292.50 i NULL  80.222 85.026 22.739 1.151 0x00
OBS: 59304.52 i NULL  81.209 188.368 22.726 2.518 0x00
OBS: 59313.62 i NULL  49.302 62.821 23.268 1.383 0x00
OBS: 59326.42 i NULL  287.740 128.867 21.352 0.486 0x00
OBS: 59331.41 i NULL  -51.990 203.508 nan -4.250 0x00
OBS: 59343.40 i NULL  100.482 65.590 22.495 0.709 0x00
OBS: 59352.55 i NULL  -21.298 155.821 nan -7.943 0x00
OBS: 59357.37 i NULL  169.532 109.768 21.927 0.703 0x00
OBS: 59360.39 i NULL  268.468 131.194 21.428 0.531 0x01
OBS: 59365.36 i NULL  14.967 61.426 24.562 4.456 0x00
OBS: 59372.47 i NULL  82.542 64.620 22.708 0.850 0x00
OBS: 59379.32 i NULL  -13.585 57.827 nan -4.622 0x00
OBS: 59382.29 i NULL  66.883 59.401 22.937 0.964 0x01
OBS: 59384.28 i NULL  115.804 162.888 22.341 1.527 0x00
OBS: 59386.31 i NULL  683.071 481.592 20.414 0.765 0x01
OBS: 59391.42 i NULL  129.667 78.494 22.218 0.657 0x00
OBS: 59398.40 i NULL  -76.958 152.465 nan -2.151 0x00
OBS: 59412.38 i NULL  -109.894 98.933 nan -0.977 0x00
OBS: 59414.34 i NULL  157.315 100.265 22.008 0.692 0x00
OBS: 59422.33 i NULL  -356.663 517.674 nan -1.576 0x00
OBS: 59437.26 i NULL  -28.147 79.449 nan -3.065 0x00
OBS: 59441.26 i NULL  15.757 75.748 24.506 5.219 0x00
OBS: 59447.25 i NULL  -52.811 64.749 nan -1.331 0x00
OBS: 59450.30 i NULL  137.216 96.755 22.156 0.766 0x00
OBS: 58941.54 z NULL  99.482 121.910 22.506 1.331 0x00
OBS: 58950.60 z NULL  -87.630 205.408 nan -2.545 0x00
OBS: 58955.48 z NULL  41.422 124.764 23.457 3.270 0x00
OBS: 58971.41 z NULL  585.099 135.131 20.582 0.251 0x00
OBS: 58974.42 z NULL  229.843 152.179 21.596 0.719 0x00
OBS: 58985.39 z NULL  658.633 127.929 20.453 0.211 0x00
OBS: 58999.49 z NULL  287.550 97.648 21.353 0.369 0x00
OBS: 59003.45 z NULL  67.728 148.746 22.923 2.385 0x00
OBS: 59009.34 z NULL  666.196 114.126 20.441 0.186 0x00
OBS: 59013.46 z NULL  742.404 182.939 20.323 0.268 0x00
OBS: 59030.40 z NULL  248.112 91.078 21.513 0.399 0x00
OBS: 59043.36 z NULL  59.443 97.563 23.065 1.782 0x00
OBS: 59062.37 z NULL  159.168 99.395 21.995 0.678 0x00
OBS: 59074.30 z NULL  89.598 131.817 22.619 1.597 0x00
OBS: 59096.26 z NULL  100.974 96.171 22.489 1.034 0x00
OBS: 59131.23 z NULL  -110.192 143.312 nan -1.412 0x01
OBS: 59270.60 z NULL  87.825 216.443 22.641 2.676 0x00
OBS: 59297.52 z NULL  5.719 172.943 25.607 32.833 0x00
OBS: 59300.51 z NULL  627.455 610.152 20.506 1.056 0x00
OBS: 59303.52 z NULL  -146.084 132.167 nan -0.982 0x00
OBS: 59306.47 z NULL  -50.610 105.268 nan -2.258 0x01
OBS: 59327.44 z NULL  -6.066 103.283 nan -18.486 0x01
OBS: 59358.38 z NULL  79.999 141.432 22.742 1.919 0x00
OBS: 59363.49 z NULL  -135.644 123.064 nan -0.985 0x00
OBS: 59368.37 z NULL  -154.207 137.463 nan -0.968 0x00
OBS: 59383.28 z NULL  135.636 110.311 22.169 0.883 0x00
OBS: 59385.27 z NULL  -88.698 118.385 nan -1.449 0x00
OBS: 59394.40 z NULL  86.488 75.465 22.658 0.947 0x00
OBS: 59416.31 z NULL  -1559.752 1035.505 nan -0.721 0x00
OBS: 59425.33 z NULL  19.078 115.972 24.299 6.600 0x00
OBS: 59442.25 z NULL  116.358 121.928 22.336 1.138 0x00
OBS: 59444.26 z NULL  51.143 133.374 23.228 2.831 0x00
END:
