SURVEY:  PS1MD
SNID:  2020jxa
otherID: 
IAUC:    UNKNOWN
RA:        238.1438100  deg
DECL:       25.5766060  deg
MWEBV:    0.052 +- 0.003 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020jxa.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0023
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.122 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 166
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58937.62 g NULL  36.015 90.466 23.609 2.727 0x00
OBS: 58941.54 g NULL  -33.880 67.046 nan -2.149 0x00
OBS: 58955.47 g NULL  32.098 50.101 23.734 1.695 0x00
OBS: 58960.47 g NULL  6.642 48.858 25.444 7.987 0x00
OBS: 58962.47 g NULL  71.052 132.625 22.871 2.027 0x00
OBS: 58966.57 g NULL  69.464 54.638 22.896 0.854 0x00
OBS: 58985.38 g NULL  90.052 50.337 22.614 0.607 0x00
OBS: 58989.51 g NULL  150.461 56.376 22.056 0.407 0x00
OBS: 58993.37 g NULL  307.614 73.196 21.280 0.258 0x00
OBS: 58995.47 g NULL  7.581 58.423 25.301 8.367 0x00
OBS: 58999.49 g NULL  55.884 40.464 23.132 0.786 0x00
OBS: 59013.45 g NULL  18.279 73.348 24.345 4.357 0x00
OBS: 59016.44 g NULL  -58.053 55.272 nan -1.034 0x00
OBS: 59019.48 g NULL  141.119 108.270 22.126 0.833 0x00
OBS: 59023.43 g NULL  -22.760 46.763 nan -2.231 0x00
OBS: 59026.29 g NULL  114.217 83.894 22.356 0.797 0x00
OBS: 59043.36 g NULL  9.110 37.213 25.101 4.435 0x00
OBS: 59048.35 g NULL  60.835 40.909 23.040 0.730 0x00
OBS: 59052.33 g NULL  106.094 62.715 22.436 0.642 0x00
OBS: 59055.32 g NULL  22.409 54.563 24.124 2.644 0x00
OBS: 59071.28 g NULL  45.066 66.908 23.365 1.612 0x00
OBS: 59074.30 g NULL  43.490 55.952 23.404 1.397 0x00
OBS: 59077.27 g NULL  -7.190 50.977 nan -7.698 0x01
OBS: 59079.26 g NULL  80.804 47.261 22.731 0.635 0x00
OBS: 59082.30 g NULL  162.571 159.054 21.972 1.062 0x00
OBS: 59083.26 g NULL  38.757 52.215 23.529 1.463 0x00
OBS: 59102.25 g NULL  23.051 54.596 24.093 2.572 0x00
OBS: 59106.25 g NULL  6.952 51.077 25.395 7.977 0x00
OBS: 59131.22 g NULL  107.773 84.242 22.419 0.849 0x00
OBS: 59139.22 g NULL  203.757 124.008 21.727 0.661 0x01
OBS: 59144.21 g NULL  -163.374 165.086 nan -1.097 0x00
OBS: 59292.50 g NULL  88.821 80.870 22.629 0.989 0x00
OBS: 59313.62 g NULL  -50.018 55.314 nan -1.201 0x00
OBS: 59321.47 g NULL  9.086 54.099 25.104 6.465 0x00
OBS: 59337.55 g NULL  10.157 180.115 24.983 19.253 0x00
OBS: 59347.54 g NULL  26.960 60.589 23.923 2.440 0x00
OBS: 59352.55 g NULL  75.445 104.327 22.806 1.501 0x00
OBS: 59375.43 g NULL  85.207 82.908 22.674 1.056 0x00
OBS: 59384.27 g NULL  -11.824 78.417 nan -7.201 0x00
OBS: 59398.41 g NULL  81.525 67.079 22.722 0.893 0x00
OBS: 59399.40 g NULL  19.770 54.072 24.260 2.970 0x00
OBS: 59408.39 g NULL  49.266 54.446 23.269 1.200 0x00
OBS: 59412.38 g NULL  14.331 124.178 24.609 9.408 0x00
OBS: 59429.28 g NULL  25.304 80.056 23.992 3.435 0x01
OBS: 59431.32 g NULL  -90.093 69.903 nan -0.842 0x00
OBS: 59435.27 g NULL  -16.892 50.975 nan -3.276 0x00
OBS: 59439.26 g NULL  153.037 108.684 22.038 0.771 0x00
OBS: 59441.26 g NULL  12.280 71.963 24.777 6.363 0x00
OBS: 59442.26 g NULL  -21.724 72.964 nan -3.647 0x00
OBS: 58918.60 r NULL  41.753 97.338 23.448 2.531 0x00
OBS: 58945.51 r NULL  376.897 168.448 21.059 0.485 0x00
OBS: 58960.47 r NULL  134.507 59.801 22.178 0.483 0x00
OBS: 58966.58 r NULL  284.718 63.846 21.364 0.243 0x00
OBS: 58973.45 r NULL  432.865 73.226 20.909 0.184 0x00
OBS: 58974.42 r NULL  471.415 118.162 20.816 0.272 0x00
OBS: 58976.43 r NULL  406.562 252.192 20.977 0.673 0x00
OBS: 58981.39 r NULL  495.681 50.010 20.762 0.110 0x00
OBS: 58989.51 r NULL  288.683 55.880 21.349 0.210 0x00
OBS: 58993.38 r NULL  204.580 60.228 21.723 0.320 0x00
OBS: 59003.45 r NULL  170.326 97.245 21.922 0.620 0x00
OBS: 59009.34 r NULL  332.794 49.345 21.195 0.161 0x00
OBS: 59016.44 r NULL  76.029 56.260 22.798 0.803 0x00
OBS: 59023.44 r NULL  161.587 45.788 21.979 0.308 0x00
OBS: 59031.28 r NULL  211.077 98.307 21.689 0.506 0x00
OBS: 59034.27 r NULL  230.790 95.905 21.592 0.451 0x00
OBS: 59037.38 r NULL  35.058 82.842 23.638 2.566 0x00
OBS: 59040.36 r NULL  132.757 55.039 22.192 0.450 0x00
OBS: 59048.35 r NULL  134.034 55.144 22.182 0.447 0x00
OBS: 59055.33 r NULL  -7.145 59.642 nan -9.063 0x00
OBS: 59059.38 r NULL  39.599 86.158 23.506 2.362 0x00
OBS: 59062.37 r NULL  93.254 78.968 22.576 0.919 0x00
OBS: 59065.30 r NULL  17.351 70.535 24.402 4.414 0x00
OBS: 59069.35 r NULL  141.150 70.599 22.126 0.543 0x00
OBS: 59079.26 r NULL  99.424 46.520 22.506 0.508 0x00
OBS: 59083.26 r NULL  98.926 55.225 22.512 0.606 0x00
OBS: 59094.26 r NULL  98.908 144.469 22.512 1.586 0x00
OBS: 59096.26 r NULL  -4.687 70.632 nan -16.362 0x00
OBS: 59098.31 r NULL  193.034 92.419 21.786 0.520 0x00
OBS: 59128.22 r NULL  199.756 140.802 21.749 0.765 0x00
OBS: 59148.21 r NULL  -70.196 146.434 nan -2.265 0x00
OBS: 59297.52 r NULL  -27.585 117.869 nan -4.639 0x00
OBS: 59299.55 r NULL  118.103 90.789 22.319 0.835 0x00
OBS: 59303.52 r NULL  123.663 111.976 22.269 0.983 0x00
OBS: 59306.47 r NULL  47.999 70.692 23.297 1.599 0x00
OBS: 59321.47 r NULL  199.103 63.961 21.752 0.349 0x00
OBS: 59326.42 r NULL  -20.313 89.705 nan -4.795 0x00
OBS: 59331.41 r NULL  -105.319 174.342 nan -1.797 0x00
OBS: 59334.45 r NULL  82.930 95.384 22.703 1.249 0x00
OBS: 59347.54 r NULL  143.753 73.486 22.106 0.555 0x00
OBS: 59360.38 r NULL  111.585 182.365 22.381 1.774 0x00
OBS: 59363.49 r NULL  217.861 88.218 21.655 0.440 0x00
OBS: 59365.36 r NULL  124.465 49.157 22.262 0.429 0x01
OBS: 59375.43 r NULL  -31.245 81.150 nan -2.820 0x00
OBS: 59386.31 r NULL  106.544 368.842 22.431 3.759 0x00
OBS: 59391.41 r NULL  49.346 79.648 23.267 1.752 0x00
OBS: 59394.39 r NULL  29.258 55.702 23.834 2.067 0x00
OBS: 59399.40 r NULL  142.308 63.871 22.117 0.487 0x00
OBS: 59408.39 r NULL  80.897 55.075 22.730 0.739 0x00
OBS: 59429.28 r NULL  105.984 66.639 22.437 0.683 0x00
OBS: 59435.27 r NULL  70.228 58.010 22.884 0.897 0x00
OBS: 59439.25 r NULL  25.330 84.503 23.991 3.622 0x00
OBS: 59444.26 r NULL  210.613 100.866 21.691 0.520 0x01
OBS: 59447.25 r NULL  141.759 80.513 22.121 0.617 0x00
OBS: 59450.30 r NULL  -77.410 103.953 nan -1.458 0x00
OBS: 58918.61 i NULL  377.005 81.560 21.059 0.235 0x00
OBS: 58937.63 i NULL  199.220 178.663 21.752 0.974 0x00
OBS: 58962.47 i NULL  256.450 197.392 21.477 0.836 0x00
OBS: 58973.45 i NULL  816.700 143.971 20.220 0.191 0x00
OBS: 58973.45 i NULL  590.489 79.688 20.572 0.147 0x00
OBS: 58981.39 i NULL  505.579 70.681 20.741 0.152 0x00
OBS: 58995.47 i NULL  349.251 71.754 21.142 0.223 0x00
OBS: 59019.48 i NULL  357.887 124.671 21.116 0.378 0x00
OBS: 59026.29 i NULL  436.097 93.206 20.901 0.232 0x00
OBS: 59031.29 i NULL  311.193 109.167 21.267 0.381 0x00
OBS: 59037.39 i NULL  456.928 72.578 20.850 0.172 0x00
OBS: 59052.40 i NULL  287.730 70.351 21.353 0.265 0x00
OBS: 59059.37 i NULL  108.079 97.335 22.416 0.978 0x00
OBS: 59065.30 i NULL  141.680 63.309 22.122 0.485 0x00
OBS: 59069.34 i NULL  216.954 79.335 21.659 0.397 0x01
OBS: 59071.29 i NULL  210.139 82.692 21.694 0.427 0x00
OBS: 59077.27 i NULL  371.792 60.283 21.074 0.176 0x00
OBS: 59082.31 i NULL  176.935 121.613 21.880 0.746 0x00
OBS: 59094.26 i NULL  237.826 202.151 21.559 0.923 0x00
OBS: 59098.30 i NULL  314.357 106.162 21.256 0.367 0x00
OBS: 59102.25 i NULL  222.420 73.589 21.632 0.359 0x00
OBS: 59106.24 i NULL  95.384 76.150 22.551 0.867 0x00
OBS: 59113.23 i NULL  62.520 179.630 23.010 3.119 0x00
OBS: 59128.23 i NULL  174.540 149.578 21.895 0.930 0x00
OBS: 59144.21 i NULL  357.310 146.420 21.117 0.445 0x00
OBS: 59292.50 i NULL  222.338 99.609 21.632 0.486 0x00
OBS: 59299.54 i NULL  286.836 87.069 21.356 0.330 0x00
OBS: 59313.62 i NULL  227.026 70.329 21.610 0.336 0x00
OBS: 59326.42 i NULL  164.228 93.667 21.961 0.619 0x01
OBS: 59331.41 i NULL  210.915 213.410 21.690 1.099 0x00
OBS: 59337.55 i NULL  672.010 174.850 20.432 0.282 0x00
OBS: 59352.55 i NULL  181.207 160.465 21.855 0.961 0x00
OBS: 59360.39 i NULL  192.983 148.838 21.786 0.837 0x00
OBS: 59365.36 i NULL  288.537 69.711 21.349 0.262 0x00
OBS: 59372.46 i NULL  216.549 82.384 21.661 0.413 0x00
OBS: 59384.27 i NULL  61.109 121.986 23.035 2.167 0x00
OBS: 59386.31 i NULL  83.882 308.227 22.691 3.990 0x00
OBS: 59391.42 i NULL  325.951 93.588 21.217 0.312 0x00
OBS: 59398.40 i NULL  211.078 151.539 21.689 0.779 0x00
OBS: 59412.38 i NULL  162.512 112.071 21.973 0.749 0x00
OBS: 59422.33 i NULL  420.083 251.236 20.942 0.649 0x00
OBS: 59431.33 i NULL  268.002 86.575 21.430 0.351 0x00
OBS: 59441.25 i NULL  358.962 72.244 21.112 0.219 0x00
OBS: 59447.25 i NULL  418.475 71.283 20.946 0.185 0x00
OBS: 59450.30 i NULL  478.915 113.257 20.799 0.257 0x00
OBS: 58941.54 z NULL  -124.549 107.245 nan -0.935 0x00
OBS: 58945.51 z NULL  72.362 201.067 22.851 3.017 0x00
OBS: 58955.48 z NULL  135.245 130.755 22.172 1.050 0x00
OBS: 58974.42 z NULL  311.675 135.849 21.266 0.473 0x00
OBS: 58976.43 z NULL  120.764 190.188 22.295 1.710 0x00
OBS: 58985.39 z NULL  121.523 108.843 22.288 0.972 0x00
OBS: 58999.49 z NULL  281.680 118.471 21.376 0.457 0x00
OBS: 59003.45 z NULL  -66.778 160.121 nan -2.603 0x00
OBS: 59013.46 z NULL  145.622 168.041 22.092 1.253 0x00
OBS: 59034.28 z NULL  -96.699 109.680 nan -1.231 0x00
OBS: 59040.36 z NULL  48.153 127.868 23.293 2.883 0x00
OBS: 59043.36 z NULL  44.316 125.641 23.384 3.078 0x00
OBS: 59062.37 z NULL  -97.540 140.201 nan -1.561 0x00
OBS: 59074.30 z NULL  207.801 113.361 21.706 0.592 0x00
OBS: 59096.26 z NULL  -156.795 119.911 nan -0.830 0x00
OBS: 59131.23 z NULL  -250.891 182.529 nan -0.790 0x00
OBS: 59148.21 z NULL  -229.413 179.656 nan -0.850 0x00
OBS: 59297.51 z NULL  -84.232 222.937 nan -2.874 0x00
OBS: 59303.52 z NULL  -34.309 138.297 nan -4.377 0x00
OBS: 59306.47 z NULL  -213.474 116.997 nan -0.595 0x00
OBS: 59358.38 z NULL  57.459 152.542 23.102 2.882 0x01
OBS: 59363.49 z NULL  -36.936 147.026 nan -4.322 0x00
OBS: 59368.37 z NULL  -63.887 152.484 nan -2.591 0x01
OBS: 59385.27 z NULL  -160.508 133.048 nan -0.900 0x00
OBS: 59394.40 z NULL  102.671 89.827 22.471 0.950 0x00
OBS: 59442.25 z NULL  -153.799 102.093 nan -0.721 0x00
OBS: 59444.26 z NULL  -152.200 172.299 nan -1.229 0x01
END:
