SURVEY:  PS1MD
SNID:  2020jzp
otherID: 
IAUC:    UNKNOWN
RA:        240.3891750  deg
DECL:       36.2925170  deg
MWEBV:    0.019 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020jzp.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0205
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.990 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 191
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58931.57 g NULL  3.597 41.070 26.110 12.397 0x00
OBS: 58955.48 g NULL  -64.257 51.741 nan -0.874 0x00
OBS: 58956.47 g NULL  -59.975 50.703 nan -0.918 0x00
OBS: 58958.52 g NULL  -19.673 43.445 nan -2.398 0x01
OBS: 58960.46 g NULL  -12.772 45.983 nan -3.909 0x00
OBS: 58966.46 g NULL  83.347 47.557 22.698 0.620 0x00
OBS: 58968.48 g NULL  -26.086 64.062 nan -2.666 0x00
OBS: 58983.48 g NULL  139.886 48.587 22.136 0.377 0x00
OBS: 58985.38 g NULL  168.079 44.312 21.936 0.286 0x00
OBS: 58989.52 g NULL  85.352 53.578 22.672 0.682 0x00
OBS: 58993.38 g NULL  16.819 74.407 24.435 4.803 0x00
OBS: 58995.46 g NULL  82.629 43.858 22.707 0.576 0x00
OBS: 58998.36 g NULL  86.451 42.732 22.658 0.537 0x00
OBS: 59000.51 g NULL  64.409 35.866 22.978 0.605 0x00
OBS: 59013.45 g NULL  -100.991 81.332 nan -0.874 0x00
OBS: 59016.35 g NULL  23.787 48.335 24.059 2.206 0x00
OBS: 59020.33 g NULL  -19.052 40.981 nan -2.335 0x00
OBS: 59024.43 g NULL  -15.697 37.992 nan -2.628 0x00
OBS: 59028.29 g NULL  45.987 49.774 23.343 1.175 0x00
OBS: 59029.30 g NULL  138.781 52.436 22.144 0.410 0x00
OBS: 59042.30 g NULL  -11.943 39.457 nan -3.587 0x00
OBS: 59049.32 g NULL  -42.735 147.043 nan -3.736 0x09
OBS: 59050.39 g NULL  57.309 84.780 23.104 1.606 0x00
OBS: 59054.28 g NULL  -20.510 53.418 nan -2.828 0x00
OBS: 59071.38 g NULL  58.551 69.891 23.081 1.296 0x00
OBS: 59073.27 g NULL  -19.383 55.042 nan -3.083 0x00
OBS: 59075.27 g NULL  2.602 46.296 26.462 19.318 0x00
OBS: 59079.27 g NULL  -26.946 35.506 nan -1.431 0x00
OBS: 59082.31 g NULL  28.332 65.101 23.869 2.495 0x01
OBS: 59083.25 g NULL  -10.372 53.422 nan -5.592 0x00
OBS: 59102.25 g NULL  -102.514 149.509 nan -1.583 0x00
OBS: 59106.25 g NULL  -3.147 40.595 nan -14.006 0x00
OBS: 59108.24 g NULL  39.744 149.578 23.502 4.086 0x00
OBS: 59110.24 g NULL  64.405 51.194 22.978 0.863 0x00
OBS: 59114.23 g NULL  122.015 90.552 22.284 0.806 0x00
OBS: 59131.23 g NULL  -155.199 88.359 nan -0.618 0x00
OBS: 59136.23 g NULL  87.893 89.427 22.640 1.105 0x00
OBS: 59139.22 g NULL  42.588 76.064 23.427 1.939 0x00
OBS: 59144.22 g NULL  -86.939 118.037 nan -1.474 0x00
OBS: 59293.59 g NULL  -19.156 47.561 nan -2.696 0x00
OBS: 59313.52 g NULL  56.847 35.478 23.113 0.678 0x00
OBS: 59314.48 g NULL  -85.588 58.094 nan -0.737 0x00
OBS: 59318.50 g NULL  -22.531 32.915 nan -1.586 0x00
OBS: 59321.47 g NULL  -45.350 42.888 nan -1.027 0x00
OBS: 59337.51 g NULL  -119.007 66.755 nan -0.609 0x00
OBS: 59343.39 g NULL  34.861 36.736 23.644 1.144 0x00
OBS: 59347.54 g NULL  -22.124 47.879 nan -2.350 0x00
OBS: 59353.46 g NULL  -53.713 38.335 nan -0.775 0x00
OBS: 59366.32 g NULL  28.874 40.916 23.849 1.539 0x00
OBS: 59369.46 g NULL  47.663 99.895 23.305 2.276 0x00
