SURVEY:  PS1MD
SNID:  2020kaj
otherID: 
IAUC:    UNKNOWN
RA:        203.7035790  deg
DECL:       28.4024860  deg
MWEBV:    0.011 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  0.1400 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59030.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020kaj.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0005
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 3000
# DIST_FROM_CENTER_DEG: 0.286 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 59
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58975.42 g NULL  672.247 140.101 20.431 0.226 0x00
OBS: 58984.28 g NULL  1348.892 59.593 19.675 0.048 0x00
OBS: 58987.38 g NULL  1304.561 86.264 19.711 0.072 0x00
OBS: 58997.35 g NULL  883.033 64.879 20.135 0.080 0x00
OBS: 58999.36 g NULL  839.896 70.777 20.189 0.091 0x01
OBS: 59015.31 g NULL  267.694 46.476 21.431 0.189 0x00
OBS: 59017.30 g NULL  168.296 69.479 21.935 0.448 0x00
OBS: 59020.34 g NULL  53.715 213.508 23.175 4.316 0x00
OBS: 59029.28 g NULL  45.969 64.972 23.344 1.535 0x00
OBS: 59042.29 g NULL  55.043 69.705 23.148 1.375 0x00
OBS: 59044.28 g NULL  123.917 93.407 22.267 0.818 0x01
OBS: 59048.27 g NULL  123.593 92.284 22.270 0.811 0x00
OBS: 59052.33 g NULL  93.384 69.849 22.574 0.812 0x00
OBS: 59058.29 g NULL  23.299 105.347 24.082 4.909 0x00
OBS: 59072.26 g NULL  -25.177 71.520 nan -3.084 0x00
OBS: 59080.25 g NULL  142.084 79.799 22.119 0.610 0x00
OBS: 59101.24 g NULL  -188.281 170.889 nan -0.985 0x01
OBS: 59104.24 g NULL  57.513 121.243 23.101 2.289 0x00
OBS: 59205.65 g NULL  105.149 45.837 22.445 0.473 0x00
OBS: 58975.42 r NULL  616.764 101.269 20.525 0.178 0x00
OBS: 58981.40 r NULL  1019.724 55.410 19.979 0.059 0x00
OBS: 58987.38 r NULL  1209.106 79.754 19.794 0.072 0x00
OBS: 58997.35 r NULL  988.437 58.984 20.013 0.065 0x00
OBS: 59003.38 r NULL  794.979 168.044 20.249 0.230 0x00
OBS: 59005.28 r NULL  665.062 118.288 20.443 0.193 0x00
OBS: 59009.35 r NULL  585.810 72.542 20.581 0.134 0x00
OBS: 59017.30 r NULL  535.158 71.449 20.679 0.145 0x00
OBS: 59031.30 r NULL  124.606 86.687 22.261 0.755 0x00
OBS: 59036.27 r NULL  108.139 69.487 22.415 0.698 0x00
OBS: 59052.33 r NULL  62.022 68.378 23.019 1.197 0x00
OBS: 59064.29 r NULL  0.162 130.213 29.476 872.697 0x00
OBS: 59066.28 r NULL  159.167 104.439 21.995 0.712 0x00
OBS: 59070.28 r NULL  172.279 110.797 21.909 0.698 0x00
OBS: 59080.25 r NULL  0.748 66.336 27.815 96.288 0x00
OBS: 59094.24 r NULL  165.259 267.834 21.955 1.760 0x00
OBS: 59096.24 r NULL  3.611 117.477 26.106 35.322 0x00
OBS: 59098.24 r NULL  172.643 80.152 21.907 0.504 0x00
OBS: 58975.42 i NULL  518.875 87.273 20.712 0.183 0x00
OBS: 58981.40 i NULL  843.479 67.411 20.185 0.087 0x00
OBS: 58984.28 i NULL  983.549 57.754 20.018 0.064 0x00
OBS: 59005.27 i NULL  245.489 286.062 21.525 1.265 0x00
OBS: 59015.31 i NULL  482.449 48.617 20.791 0.109 0x00
OBS: 59020.34 i NULL  323.541 84.122 21.225 0.282 0x00
OBS: 59029.28 i NULL  231.531 45.041 21.588 0.211 0x00
OBS: 59031.30 i NULL  107.359 103.126 22.423 1.043 0x00
OBS: 59044.28 i NULL  189.851 73.150 21.804 0.418 0x01
OBS: 59048.27 i NULL  86.180 62.352 22.661 0.786 0x00
OBS: 59058.29 i NULL  -62.905 146.571 nan -2.530 0x00
OBS: 59066.29 i NULL  97.656 95.455 22.526 1.061 0x00
OBS: 59070.28 i NULL  25.506 138.059 23.983 5.877 0x00
OBS: 59076.27 i NULL  -116.815 131.213 nan -1.220 0x00
OBS: 59090.25 i NULL  7.946 125.086 25.250 17.092 0x01
OBS: 59096.24 i NULL  27.481 122.827 23.902 4.853 0x00
OBS: 59104.24 i NULL  -124.873 111.551 nan -0.970 0x00
OBS: 59205.65 i NULL  -99.058 50.128 nan -0.549 0x00
OBS: 58975.42 z NULL  430.626 114.757 20.915 0.289 0x00
OBS: 58999.36 z NULL  540.832 71.826 20.667 0.144 0x01
OBS: 59003.38 z NULL  -194.217 220.407 nan -1.232 0x00
OBS: 59009.36 z NULL  291.789 105.539 21.337 0.393 0x00
OBS: 59036.27 z NULL  99.412 77.962 22.506 0.851 0x00
OBS: 59042.28 z NULL  -51.879 97.217 nan -2.035 0x00
OBS: 59064.29 z NULL  -19.637 140.139 nan -7.748 0x00
OBS: 59072.27 z NULL  13.035 105.639 24.712 8.799 0x00
OBS: 59094.24 z NULL  -114.779 203.750 nan -1.927 0x00
OBS: 59098.24 z NULL  150.262 132.350 22.058 0.956 0x00
OBS: 59101.24 z NULL  545.871 309.389 20.657 0.615 0x01
END:
