SURVEY:  PS1MD
SNID:  2020kim
otherID: 
IAUC:    UNKNOWN
RA:        224.0423880  deg
DECL:       40.4202880  deg
MWEBV:    0.011 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020kim.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0014
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.422 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 125
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58868.66 g NULL  -138.912 61.537 nan -0.481 0x00
OBS: 58873.62 g NULL  -86.856 72.190 nan -0.902 0x00
OBS: 58877.64 g NULL  130.480 128.602 22.211 1.070 0x00
OBS: 58929.54 g NULL  -100.145 61.475 nan -0.666 0x00
OBS: 58960.46 g NULL  9.153 49.930 25.096 5.923 0x00
OBS: 58969.38 g NULL  100.007 144.962 22.500 1.574 0x00
OBS: 58971.41 g NULL  57.421 66.490 23.102 1.257 0x00
OBS: 58984.29 g NULL  676.053 54.832 20.425 0.088 0x00
OBS: 58987.38 g NULL  782.010 55.985 20.267 0.078 0x00
OBS: 58992.29 g NULL  757.464 52.013 20.302 0.075 0x00
OBS: 58997.32 g NULL  533.015 53.351 20.683 0.109 0x00
OBS: 58999.37 g NULL  455.700 53.034 20.853 0.126 0x00
OBS: 59014.42 g NULL  94.871 79.468 22.557 0.909 0x00
OBS: 59017.29 g NULL  128.664 47.295 22.226 0.399 0x00
OBS: 59022.29 g NULL  -19.337 71.790 nan -4.031 0x01
OBS: 59026.29 g NULL  85.930 74.341 22.665 0.939 0x00
OBS: 59028.28 g NULL  -4.734 69.890 nan -16.029 0x00
OBS: 59047.27 g NULL  -126.746 95.437 nan -0.818 0x01
OBS: 59051.28 g NULL  34.149 40.638 23.667 1.292 0x00
OBS: 59053.27 g NULL  66.503 64.630 22.943 1.055 0x00
OBS: 59058.30 g NULL  -4.861 93.139 nan -20.803 0x00
OBS: 59072.27 g NULL  -84.319 45.510 nan -0.586 0x00
OBS: 59074.28 g NULL  -193.932 85.945 nan -0.481 0x01
OBS: 59078.26 g NULL  -66.505 45.568 nan -0.744 0x00
OBS: 59236.66 g NULL  101.600 77.149 22.483 0.824 0x00
OBS: 59261.63 g NULL  -29.489 42.976 nan -1.582 0x00
OBS: 59292.56 g NULL  -25.982 59.790 nan -2.499 0x00
OBS: 59349.46 g NULL  43.599 79.699 23.401 1.985 0x00
OBS: 59367.35 g NULL  18.858 46.589 24.311 2.682 0x00
OBS: 59372.34 g NULL  49.246 51.226 23.269 1.129 0x00
OBS: 59376.39 g NULL  8.343 44.177 25.197 5.749 0x00
OBS: 59380.35 g NULL  -153.449 89.252 nan -0.632 0x00
OBS: 59382.27 g NULL  -70.374 48.231 nan -0.744 0x00
OBS: 59383.27 g NULL  145.737 71.482 22.091 0.533 0x00
OBS: 59384.27 g NULL  -142.333 105.889 nan -0.808 0x01
OBS: 59398.30 g NULL  122.420 92.729 22.280 0.822 0x00
OBS: 58868.65 r NULL  -45.722 47.147 nan -1.120 0x00
OBS: 58873.62 r NULL  -55.238 52.562 nan -1.033 0x00
OBS: 58929.54 r NULL  -58.529 52.944 nan -0.982 0x00
OBS: 58933.52 r NULL  -64.929 93.044 nan -1.556 0x00
OBS: 58942.49 r NULL  36.734 131.820 23.587 3.896 0x00
OBS: 58950.58 r NULL  127.486 155.661 22.236 1.326 0x00
OBS: 58960.46 r NULL  -99.147 48.942 nan -0.536 0x00
OBS: 58975.43 r NULL  169.490 101.258 21.927 0.649 0x00
OBS: 59005.33 r NULL  277.607 130.773 21.391 0.511 0x00
OBS: 59017.29 r NULL  254.718 46.529 21.485 0.198 0x00
OBS: 59022.29 r NULL  173.002 85.153 21.905 0.534 0x01
OBS: 59030.29 r NULL  139.025 49.275 22.142 0.385 0x00
OBS: 59053.28 r NULL  62.791 56.812 23.005 0.982 0x00
OBS: 59061.28 r NULL  -41.068 75.518 nan -1.997 0x00
OBS: 59064.29 r NULL  6.219 91.047 25.516 15.895 0x00
OBS: 59066.27 r NULL  66.954 73.138 22.936 1.186 0x01
OBS: 59070.29 r NULL  -39.870 89.086 nan -2.426 0x01
OBS: 59093.25 r NULL  2.440 112.054 26.532 49.861 0x00
OBS: 59097.24 r NULL  95.127 49.939 22.554 0.570 0x00
OBS: 59100.24 r NULL  -5.005 63.868 nan -13.855 0x00
OBS: 59217.64 r NULL  -75.686 76.915 nan -1.103 0x00
OBS: 59238.58 r NULL  -86.244 73.954 nan -0.931 0x00
OBS: 59242.64 r NULL  135.682 207.180 22.169 1.658 0x00
OBS: 59244.62 r NULL  -37.308 156.142 nan -4.544 0x00
OBS: 59246.64 r NULL  -79.161 97.209 nan -1.333 0x00
OBS: 59261.63 r NULL  62.134 37.432 23.017 0.654 0x00
OBS: 59298.51 r NULL  65.457 76.744 22.960 1.273 0x00
OBS: 59300.50 r NULL  -235.093 363.482 nan -1.679 0x00
OBS: 59303.53 r NULL  -19.148 151.411 nan -8.585 0x00
OBS: 59326.39 r NULL  -97.575 91.855 nan -1.022 0x00
OBS: 59328.46 r NULL  58.537 137.709 23.081 2.554 0x00
OBS: 59331.40 r NULL  -62.241 146.788 nan -2.561 0x00
OBS: 59333.43 r NULL  94.197 65.366 22.565 0.753 0x00
OBS: 59336.45 r NULL  -0.633 62.941 nan -107.958 0x00
OBS: 59359.41 r NULL  -115.622 101.175 nan -0.950 0x00
OBS: 59361.46 r NULL  30.240 72.347 23.799 2.598 0x00
OBS: 59364.40 r NULL  20.247 52.596 24.234 2.820 0x00
OBS: 59372.34 r NULL  14.862 50.820 24.570 3.713 0x00
OBS: 59380.35 r NULL  48.237 98.622 23.292 2.220 0x00
OBS: 59386.33 r NULL  -194.427 139.531 nan -0.779 0x00
OBS: 59388.31 r NULL  223.531 69.548 21.627 0.338 0x00
OBS: 59391.30 r NULL  57.298 64.938 23.105 1.231 0x00
OBS: 58877.64 i NULL  128.829 120.719 22.225 1.017 0x01
OBS: 58942.48 i NULL  52.313 147.187 23.203 3.055 0x00
OBS: 58971.42 i NULL  171.206 58.371 21.916 0.370 0x00
OBS: 58975.43 i NULL  190.504 87.834 21.800 0.501 0x00
OBS: 58987.39 i NULL  727.274 79.690 20.346 0.119 0x00
OBS: 58992.29 i NULL  627.476 47.277 20.506 0.082 0x00
OBS: 58997.33 i NULL  595.354 64.800 20.563 0.118 0x00
OBS: 58999.37 i NULL  523.556 54.453 20.703 0.113 0x00
OBS: 59005.33 i NULL  373.367 130.097 21.070 0.378 0x00
OBS: 59014.42 i NULL  380.841 65.450 21.048 0.187 0x00
OBS: 59021.29 i NULL  405.620 58.340 20.980 0.156 0x01
OBS: 59026.29 i NULL  156.789 70.262 22.012 0.487 0x00
OBS: 59030.29 i NULL  240.771 52.242 21.546 0.236 0x00
OBS: 59051.28 i NULL  115.103 41.973 22.347 0.396 0x00
OBS: 59058.29 i NULL  104.306 111.698 22.454 1.163 0x00
OBS: 59061.28 i NULL  97.496 74.585 22.528 0.831 0x00
OBS: 59066.27 i NULL  175.171 59.267 21.891 0.367 0x00
OBS: 59070.28 i NULL  9.642 130.591 25.040 14.705 0x01
OBS: 59078.26 i NULL  29.103 58.715 23.840 2.190 0x00
OBS: 59217.64 i NULL  89.996 120.306 22.614 1.451 0x00
OBS: 59236.66 i NULL  123.037 82.327 22.275 0.726 0x00
OBS: 59242.64 i NULL  67.374 194.103 22.929 3.128 0x00
OBS: 59292.56 i NULL  91.746 56.442 22.594 0.668 0x00
OBS: 59300.50 i NULL  329.998 330.539 21.204 1.088 0x00
OBS: 59303.53 i NULL  -175.374 127.288 nan -0.788 0x00
OBS: 59326.40 i NULL  -64.391 150.170 nan -2.532 0x00
OBS: 59331.40 i NULL  -39.134 127.646 nan -3.541 0x00
OBS: 59336.45 i NULL  -39.733 67.205 nan -1.836 0x00
OBS: 59349.45 i NULL  -472.609 171.172 nan -0.393 0x00
OBS: 59351.37 i NULL  249.984 125.261 21.505 0.544 0x01
OBS: 59361.46 i NULL  -43.536 81.068 nan -2.022 0x00
OBS: 59367.35 i NULL  101.169 49.781 22.487 0.534 0x00
OBS: 59376.39 i NULL  70.872 51.225 22.874 0.785 0x00
OBS: 59383.27 i NULL  204.021 53.820 21.726 0.286 0x00
OBS: 59386.33 i NULL  -41.138 122.220 nan -3.226 0x00
OBS: 59391.31 i NULL  -37.487 60.358 nan -1.748 0x00
OBS: 59398.30 i NULL  -11.014 107.319 nan -10.579 0x00
OBS: 58883.65 z NULL  133.068 142.136 22.190 1.160 0x00
OBS: 58950.59 z NULL  431.394 628.079 20.913 1.581 0x00
OBS: 58969.38 z NULL  354.841 145.077 21.125 0.444 0x00
OBS: 58972.44 z NULL  -86.586 147.293 nan -1.847 0x01
OBS: 58974.42 z NULL  147.081 160.130 22.081 1.182 0x00
OBS: 58984.29 z NULL  303.028 102.462 21.296 0.367 0x00
OBS: 59028.28 z NULL  156.374 90.846 22.015 0.631 0x00
OBS: 59064.30 z NULL  261.739 101.623 21.455 0.422 0x00
OBS: 59072.27 z NULL  47.614 104.034 23.306 2.372 0x00
OBS: 59093.26 z NULL  93.617 126.328 22.572 1.465 0x00
OBS: 59097.24 z NULL  149.618 107.771 22.063 0.782 0x00
OBS: 59100.24 z NULL  178.135 146.390 21.873 0.892 0x00
OBS: 59238.59 z NULL  -217.230 175.621 nan -0.878 0x00
OBS: 59244.62 z NULL  36.206 177.991 23.603 5.338 0x00
OBS: 59246.65 z NULL  52.416 83.865 23.201 1.737 0x00
OBS: 59298.51 z NULL  37.188 135.568 23.574 3.958 0x00
OBS: 59328.46 z NULL  177.171 178.690 21.879 1.095 0x00
OBS: 59333.43 z NULL  -80.590 103.509 nan -1.395 0x00
OBS: 59359.41 z NULL  203.792 109.707 21.727 0.584 0x00
OBS: 59364.40 z NULL  83.082 81.895 22.701 1.070 0x00
OBS: 59382.27 z NULL  27.023 90.210 23.921 3.624 0x00
OBS: 59384.27 z NULL  -40.432 207.248 nan -5.565 0x01
OBS: 59388.31 z NULL  28.939 84.549 23.846 3.172 0x00
END:
