SURVEY:  PS1MD
SNID:  2020kpk
otherID: 
IAUC:    UNKNOWN
RA:        228.2735650  deg
DECL:       13.9299520  deg
MWEBV:    0.032 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020kpk.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0019
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.987 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 85
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58960.45 g NULL  597.360 51.110 20.559 0.093 0x00
OBS: 58962.52 g NULL  -41.397 243.942 nan -6.398 0x00
OBS: 58966.51 g NULL  496.764 66.748 20.760 0.146 0x00
OBS: 58968.43 g NULL  392.988 41.002 21.014 0.113 0x00
OBS: 58970.42 g NULL  464.390 76.026 20.833 0.178 0x00
OBS: 58986.47 g NULL  159.848 70.396 21.991 0.478 0x01
OBS: 58990.37 g NULL  71.853 32.061 22.859 0.484 0x00
OBS: 58997.34 g NULL  86.388 39.673 22.659 0.499 0x00
OBS: 58999.48 g NULL  -31.242 46.390 nan -1.612 0x00
OBS: 59000.50 g NULL  125.911 48.860 22.250 0.421 0x00
OBS: 59017.28 g NULL  37.031 38.329 23.579 1.124 0x00
OBS: 59021.29 g NULL  39.609 28.718 23.506 0.787 0x00
OBS: 59024.38 g NULL  -4.387 -0.000 nan 0.000 0x00
OBS: 59027.28 g NULL  -32.096 62.465 nan -2.113 0x00
OBS: 59042.36 g NULL  -1.169 47.127 nan -43.770 0x00
OBS: 59048.29 g NULL  22.074 40.497 24.140 1.992 0x00
OBS: 59053.28 g NULL  -25.845 44.461 nan -1.868 0x00
OBS: 59071.27 g NULL  1.050 55.363 27.447 57.247 0x00
OBS: 59074.29 g NULL  -57.499 51.836 nan -0.979 0x00
OBS: 59078.27 g NULL  13.975 38.516 24.637 2.992 0x00
OBS: 59081.27 g NULL  -3.096 42.401 nan -14.870 0x00
OBS: 59295.54 g NULL  87.923 48.459 22.640 0.598 0x00
OBS: 59316.42 g NULL  88.517 72.048 22.632 0.884 0x00
OBS: 59323.43 g NULL  5.144 60.834 25.722 12.840 0x00
OBS: 59337.51 g NULL  -52.171 74.153 nan -1.543 0x00
OBS: 59350.38 g NULL  -76.322 71.351 nan -1.015 0x00
OBS: 58918.64 r NULL  38.322 142.091 23.541 4.026 0x00
OBS: 58945.50 r NULL  578.051 241.291 20.595 0.453 0x00
OBS: 58951.46 r NULL  334.755 153.396 21.188 0.498 0x01
OBS: 58962.53 r NULL  518.411 139.431 20.713 0.292 0x00
OBS: 58968.43 r NULL  547.994 43.247 20.653 0.086 0x00
OBS: 58972.44 r NULL  505.897 70.500 20.740 0.151 0x00
OBS: 58979.36 r NULL  438.742 102.442 20.894 0.254 0x00
OBS: 58986.48 r NULL  309.622 46.988 21.273 0.165 0x00
OBS: 58997.34 r NULL  126.459 42.383 22.245 0.364 0x00
OBS: 59007.30 r NULL  113.032 80.339 22.367 0.772 0x00
OBS: 59010.46 r NULL  191.995 67.604 21.792 0.382 0x00
OBS: 59021.28 r NULL  71.763 35.545 22.860 0.538 0x00
OBS: 59033.39 r NULL  174.210 97.453 21.897 0.607 0x00
OBS: 59037.37 r NULL  97.893 79.044 22.523 0.877 0x00
OBS: 59039.35 r NULL  76.164 45.671 22.796 0.651 0x00
OBS: 59053.28 r NULL  47.073 47.557 23.318 1.097 0x00
OBS: 59061.30 r NULL  55.844 99.099 23.133 1.927 0x00
OBS: 59065.27 r NULL  -68.602 77.512 nan -1.227 0x01
OBS: 59081.26 r NULL  21.019 46.863 24.193 2.421 0x00
OBS: 59094.25 r NULL  -183.573 502.240 nan -2.970 0x00
OBS: 59096.25 r NULL  -14.040 62.151 nan -4.806 0x00
OBS: 59298.51 r NULL  12.853 98.229 24.727 8.298 0x00
OBS: 59299.61 r NULL  -57.423 85.943 nan -1.625 0x00
