SURVEY:  PS1MD
SNID:  2020kre
otherID: 
IAUC:    UNKNOWN
RA:        197.6244830  deg
DECL:       -1.3141920  deg
MWEBV:    0.021 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  0.1360 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59030.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020kre.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0002
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.755 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 94
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58874.59 g NULL  1.714 82.936 26.915 52.536 0x00
OBS: 58882.60 g NULL  25.395 84.055 23.988 3.594 0x00
OBS: 58930.52 g NULL  447.321 246.916 20.873 0.599 0x00
OBS: 58937.42 g NULL  -67.699 118.056 nan -1.893 0x00
OBS: 58956.45 g NULL  18.986 84.180 24.304 4.814 0x01
OBS: 58960.30 g NULL  -68.767 62.461 nan -0.986 0x00
OBS: 58965.42 g NULL  -168.678 78.778 nan -0.507 0x01
OBS: 58971.39 g NULL  35.928 78.163 23.611 2.362 0x00
OBS: 58982.28 g NULL  -12.200 67.746 nan -6.029 0x00
OBS: 58986.28 g NULL  505.681 46.106 20.740 0.099 0x00
OBS: 58988.27 g NULL  941.678 85.567 20.065 0.099 0x01
OBS: 59014.27 g NULL  1738.991 69.566 19.399 0.043 0x00
OBS: 59020.28 g NULL  1399.647 142.141 19.635 0.110 0x00
OBS: 59042.27 g NULL  771.367 68.202 20.282 0.096 0x00
OBS: 59047.28 g NULL  757.425 107.253 20.302 0.154 0x00
OBS: 59198.64 g NULL  1001.902 243.687 19.998 0.264 0x00
OBS: 59206.64 g NULL  778.570 58.706 20.272 0.082 0x00
OBS: 59225.62 g NULL  497.467 104.927 20.758 0.229 0x00
OBS: 59229.59 g NULL  565.021 63.142 20.620 0.121 0x00
OBS: 59231.61 g NULL  755.060 72.193 20.305 0.104 0x00
OBS: 59261.57 g NULL  561.514 46.589 20.627 0.090 0x00
OBS: 59288.47 g NULL  314.823 71.523 21.255 0.247 0x01
OBS: 59293.42 g NULL  448.894 69.478 20.870 0.168 0x00
OBS: 59296.46 g NULL  567.721 97.396 20.615 0.186 0x00
OBS: 59319.36 g NULL  416.772 50.592 20.950 0.132 0x00
OBS: 59343.27 g NULL  349.831 49.892 21.140 0.155 0x00
OBS: 59345.28 g NULL  385.683 56.892 21.034 0.160 0x00
OBS: 59347.36 g NULL  276.959 52.256 21.394 0.205 0x00
OBS: 59353.36 g NULL  231.984 83.838 21.586 0.392 0x00
OBS: 59366.40 g NULL  485.891 86.156 20.784 0.193 0x09
OBS: 59370.27 g NULL  267.057 55.611 21.433 0.226 0x01
OBS: 59376.27 g NULL  293.832 59.146 21.330 0.219 0x00
OBS: 59378.27 g NULL  318.270 69.168 21.243 0.236 0x00
OBS: 59380.29 g NULL  251.100 107.513 21.500 0.465 0x00
OBS: 58874.59 r NULL  -4.065 63.010 nan -16.830 0x00
OBS: 58930.52 r NULL  240.678 273.537 21.546 1.234 0x00
OBS: 58937.42 r NULL  112.222 99.784 22.375 0.965 0x00
OBS: 58943.36 r NULL  -371.351 194.682 nan -0.569 0x00
OBS: 58960.31 r NULL  -30.336 39.989 nan -1.431 0x00
OBS: 58979.34 r NULL  78.958 80.200 22.757 1.103 0x00
OBS: 58986.27 r NULL  702.743 45.915 20.383 0.071 0x00
OBS: 59004.36 r NULL  2057.646 165.825 19.217 0.087 0x00
OBS: 59010.29 r NULL  2012.002 62.620 19.241 0.034 0x00
OBS: 59032.28 r NULL  1644.884 117.202 19.460 0.077 0x00
OBS: 59036.28 r NULL  1653.765 95.443 19.454 0.063 0x00
OBS: 59039.30 r NULL  1757.535 90.738 19.388 0.056 0x00
OBS: 59059.28 r NULL  977.463 130.141 20.025 0.145 0x00
OBS: 59062.27 r NULL  1200.735 94.517 19.801 0.085 0x00
OBS: 59209.64 r NULL  886.797 82.237 20.130 0.101 0x00
OBS: 59213.66 r NULL  1130.235 106.458 19.867 0.102 0x00
OBS: 59238.56 r NULL  968.174 105.038 20.035 0.118 0x00
OBS: 59244.63 r NULL  1027.122 147.549 19.971 0.156 0x00
OBS: 59261.57 r NULL  798.056 51.649 20.245 0.070 0x00
OBS: 59267.57 r NULL  868.615 54.122 20.153 0.068 0x00
OBS: 59269.52 r NULL  675.320 104.427 20.426 0.168 0x00
OBS: 59288.48 r NULL  687.640 64.199 20.407 0.101 0x01
OBS: 59336.43 r NULL  435.263 84.012 20.903 0.210 0x00
OBS: 59345.27 r NULL  497.095 64.789 20.759 0.142 0x00
OBS: 59360.33 r NULL  408.061 139.407 20.973 0.371 0x00
OBS: 59362.35 r NULL  473.718 87.638 20.811 0.201 0x00
OBS: 59364.37 r NULL  367.405 50.076 21.087 0.148 0x00
OBS: 59378.27 r NULL  403.438 51.627 20.986 0.139 0x00
OBS: 58956.45 i NULL  -61.267 76.701 nan -1.359 0x00
OBS: 58965.42 i NULL  -134.474 77.240 nan -0.624 0x01
OBS: 58971.39 i NULL  -113.831 80.906 nan -0.772 0x00
OBS: 58982.29 i NULL  -45.037 122.593 nan -2.955 0x00
OBS: 58988.27 i NULL  531.268 133.621 20.687 0.273 0x01
OBS: 59004.36 i NULL  1603.732 134.720 19.487 0.091 0x00
OBS: 59010.28 i NULL  1736.362 68.374 19.401 0.043 0x00
OBS: 59014.28 i NULL  1604.281 82.230 19.487 0.056 0x00
OBS: 59020.28 i NULL  1482.620 195.850 19.572 0.143 0x00
OBS: 59039.30 i NULL  1873.518 114.964 19.318 0.067 0x00
OBS: 59047.28 i NULL  1555.538 72.248 19.520 0.050 0x00
OBS: 59062.27 i NULL  1247.589 89.337 19.760 0.078 0x00
OBS: 59198.64 i NULL  4227.034 1259.566 18.435 0.324 0x00
OBS: 59206.64 i NULL  1182.913 67.579 19.818 0.062 0x00
OBS: 59213.65 i NULL  1299.910 109.289 19.715 0.091 0x00
OBS: 59225.62 i NULL  939.799 117.632 20.067 0.136 0x00
OBS: 59231.61 i NULL  1117.303 85.380 19.880 0.083 0x00
OBS: 59267.56 i NULL  1001.572 69.301 19.998 0.075 0x00
OBS: 59296.46 i NULL  871.747 85.592 20.149 0.107 0x00
OBS: 59319.36 i NULL  801.318 67.868 20.240 0.092 0x00
OBS: 59338.29 i NULL  720.101 118.520 20.357 0.179 0x01
OBS: 59343.27 i NULL  585.603 65.755 20.581 0.122 0x00
OBS: 59347.36 i NULL  534.748 74.416 20.680 0.151 0x00
OBS: 59362.35 i NULL  514.329 77.257 20.722 0.163 0x00
OBS: 59366.40 i NULL  596.093 57.916 20.562 0.105 0x00
OBS: 59370.27 i NULL  550.684 72.463 20.648 0.143 0x01
OBS: 59376.27 i NULL  384.349 81.084 21.038 0.229 0x00
OBS: 59380.29 i NULL  443.012 83.817 20.884 0.205 0x00
OBS: 58882.60 z NULL  -24.431 129.220 nan -5.743 0x00
OBS: 58943.37 z NULL  146.641 493.613 22.084 3.655 0x09
OBS: 58979.34 z NULL  133.218 175.167 22.189 1.428 0x00
OBS: 59032.27 z NULL  1655.066 134.996 19.453 0.089 0x00
OBS: 59036.28 z NULL  1793.348 115.818 19.366 0.070 0x00
OBS: 59042.27 z NULL  1483.062 96.551 19.572 0.071 0x00
OBS: 59059.28 z NULL  1594.195 230.326 19.494 0.157 0x00
OBS: 59209.63 z NULL  1001.214 143.341 19.999 0.155 0x00
OBS: 59238.57 z NULL  876.578 168.325 20.143 0.208 0x00
OBS: 59244.63 z NULL  946.150 203.051 20.060 0.233 0x00
OBS: 59269.52 z NULL  899.232 152.573 20.115 0.184 0x00
