SURVEY:  PS1MD
SNID:  2020kvb
otherID: 
IAUC:    UNKNOWN
RA:        219.9250620  deg
DECL:       38.4216990  deg
MWEBV:    0.010 +- 0.000 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020kvb.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0033
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.617 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 77
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58866.65 g NULL  -8.328 79.594 nan -10.377 0x00
OBS: 58873.62 g NULL  64.169 41.974 22.982 0.710 0x00
OBS: 58929.54 g NULL  14.260 60.593 24.615 4.613 0x00
OBS: 58933.51 g NULL  -27.626 105.222 nan -4.135 0x00
OBS: 58956.47 g NULL  49.408 47.985 23.266 1.054 0x00
OBS: 58958.52 g NULL  -9.313 47.231 nan -5.506 0x00
OBS: 58960.46 g NULL  -66.365 38.708 nan -0.633 0x00
OBS: 58965.48 g NULL  31.938 82.340 23.739 2.799 0x00
OBS: 58969.37 g NULL  57.405 135.624 23.103 2.565 0x00
OBS: 58971.41 g NULL  46.626 63.741 23.328 1.484 0x00
OBS: 58972.43 g NULL  78.097 93.732 22.768 1.303 0x00
OBS: 58987.38 g NULL  423.396 57.732 20.933 0.148 0x00
OBS: 58992.29 g NULL  441.527 40.921 20.888 0.101 0x00
OBS: 58997.32 g NULL  413.599 51.484 20.959 0.135 0x00
OBS: 59017.29 g NULL  173.950 48.317 21.899 0.302 0x00
OBS: 59042.29 g NULL  143.941 38.498 22.105 0.290 0x00
OBS: 59047.27 g NULL  -47.187 117.902 nan -2.713 0x00
OBS: 59051.28 g NULL  64.769 41.316 22.972 0.693 0x00
OBS: 59053.27 g NULL  66.606 62.528 22.941 1.019 0x01
OBS: 59058.29 g NULL  133.405 114.342 22.187 0.931 0x00
OBS: 59072.27 g NULL  123.394 54.443 22.272 0.479 0x00
OBS: 59074.28 g NULL  35.797 51.614 23.615 1.565 0x00
OBS: 59078.25 g NULL  20.819 51.280 24.204 2.674 0x01
OBS: 59081.25 g NULL  116.692 71.968 22.332 0.670 0x00
OBS: 58873.62 r NULL  -38.101 48.175 nan -1.373 0x00
OBS: 58883.65 r NULL  -21.556 71.973 nan -3.625 0x00
OBS: 58929.54 r NULL  -41.432 60.065 nan -1.574 0x00
OBS: 58933.52 r NULL  23.667 105.698 24.065 4.849 0x00
OBS: 58947.52 r NULL  -61.386 139.811 nan -2.473 0x00
OBS: 58950.58 r NULL  -73.769 479.477 nan -7.057 0x00
OBS: 58956.48 r NULL  -102.612 48.274 nan -0.511 0x00
OBS: 58960.46 r NULL  -78.730 65.376 nan -0.902 0x09
OBS: 58965.49 r NULL  -176.456 96.530 nan -0.594 0x00
OBS: 58974.42 r NULL  253.552 156.126 21.490 0.669 0x00
OBS: 58975.43 r NULL  -37.499 117.510 nan -3.402 0x00
OBS: 59003.38 r NULL  243.688 130.643 21.533 0.582 0x00
OBS: 59005.33 r NULL  274.451 107.917 21.404 0.427 0x00
OBS: 59009.36 r NULL  204.441 68.696 21.724 0.365 0x00
OBS: 59017.29 r NULL  196.495 58.289 21.767 0.322 0x00
OBS: 59030.28 r NULL  142.196 64.679 22.118 0.494 0x00
OBS: 59033.28 r NULL  128.630 79.660 22.227 0.672 0x00
OBS: 59040.27 r NULL  109.679 49.353 22.400 0.489 0x00
OBS: 59047.27 r NULL  111.039 103.876 22.386 1.016 0x00
OBS: 59053.28 r NULL  225.465 63.939 21.617 0.308 0x01
OBS: 59061.28 r NULL  183.704 84.809 21.840 0.501 0x00
OBS: 59064.29 r NULL  217.264 124.721 21.658 0.623 0x00
OBS: 59066.27 r NULL  82.657 91.493 22.707 1.202 0x00
OBS: 59070.29 r NULL  97.720 95.005 22.525 1.056 0x01
OBS: 59081.25 r NULL  103.293 87.263 22.465 0.917 0x00
OBS: 59093.25 r NULL  -2.838 132.916 nan -50.850 0x09
OBS: 59095.25 r NULL  -43.613 74.689 nan -1.859 0x00
OBS: 59097.24 r NULL  88.871 53.545 22.628 0.654 0x00
OBS: 59100.24 r NULL  101.621 74.176 22.483 0.793 0x00
OBS: 58958.52 i NULL  26.945 53.143 23.924 2.141 0x01
OBS: 58971.41 i NULL  64.935 54.867 22.969 0.917 0x00
OBS: 58975.43 i NULL  20.605 90.033 24.215 4.744 0x00
OBS: 58987.39 i NULL  367.035 69.359 21.088 0.205 0x00
OBS: 58992.29 i NULL  277.224 52.597 21.393 0.206 0x00
OBS: 58997.32 i NULL  396.837 54.959 21.003 0.150 0x00
OBS: 59005.33 i NULL  409.239 121.206 20.970 0.322 0x00
OBS: 59030.29 i NULL  207.021 50.710 21.710 0.266 0x00
OBS: 59037.27 i NULL  235.004 37.601 21.572 0.174 0x01
OBS: 59042.29 i NULL  190.044 48.364 21.803 0.276 0x00
OBS: 59051.28 i NULL  213.132 45.915 21.678 0.234 0x00
OBS: 59058.29 i NULL  162.888 85.418 21.970 0.569 0x00
OBS: 59061.28 i NULL  144.613 71.337 22.099 0.536 0x00
OBS: 59066.27 i NULL  182.390 79.946 21.847 0.476 0x00
OBS: 59070.28 i NULL  313.411 123.307 21.260 0.427 0x00
OBS: 59074.27 i NULL  185.077 57.616 21.832 0.338 0x00
OBS: 59095.25 i NULL  115.277 65.762 22.346 0.619 0x00
OBS: 59217.64 i NULL  85.838 66.771 22.666 0.845 0x01
OBS: 58866.66 z NULL  -23.456 77.264 nan -3.576 0x00
OBS: 58883.65 z NULL  -32.042 80.813 nan -2.738 0x00
OBS: 58947.52 z NULL  -10.629 140.310 nan -14.332 0x00
OBS: 58950.59 z NULL  322.553 400.420 21.228 1.348 0x00
OBS: 58969.38 z NULL  72.179 152.405 22.854 2.293 0x00
OBS: 58972.43 z NULL  -12.937 102.792 nan -8.627 0x00
OBS: 58974.42 z NULL  49.360 150.630 23.267 3.313 0x00
OBS: 59003.39 z NULL  185.641 138.748 21.828 0.811 0x00
OBS: 59009.36 z NULL  356.288 89.071 21.120 0.271 0x00
OBS: 59033.28 z NULL  122.855 96.903 22.277 0.856 0x00
OBS: 59040.27 z NULL  56.435 101.509 23.121 1.953 0x00
OBS: 59064.30 z NULL  195.728 143.615 21.771 0.797 0x00
OBS: 59072.27 z NULL  267.140 102.625 21.433 0.417 0x00
OBS: 59093.25 z NULL  17.964 146.543 24.364 8.857 0x01
OBS: 59097.24 z NULL  255.740 110.807 21.481 0.470 0x00
OBS: 59100.24 z NULL  199.454 115.617 21.750 0.629 0x00
OBS: 59104.24 z NULL  174.834 119.816 21.893 0.744 0x01
END:
