SURVEY:  PS1MD
SNID:  2020lbh
otherID: 
IAUC:    UNKNOWN
RA:        205.8542250  deg
DECL:       35.1841080  deg
MWEBV:    0.008 +- 0.000 MW E(B-V)
REDSHIFT_FINAL:  0.0150 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59030.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020lbh.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.362 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 77
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58866.65 g NULL  66.445 119.754 22.944 1.957 0x00
OBS: 58869.66 g NULL  74.029 80.814 22.826 1.185 0x00
OBS: 58871.65 g NULL  -43.955 57.190 nan -1.413 0x00
OBS: 58877.65 g NULL  52.171 90.881 23.206 1.891 0x00
OBS: 58929.53 g NULL  40.778 50.532 23.474 1.345 0x00
OBS: 58932.62 g NULL  -34.521 70.915 nan -2.230 0x00
OBS: 58934.50 g NULL  148.485 210.609 22.071 1.540 0x01
OBS: 58957.54 g NULL  17.411 58.218 24.398 3.630 0x01
OBS: 58967.37 g NULL  -38.734 46.408 nan -1.301 0x00
OBS: 58970.37 g NULL  -254.904 127.788 nan -0.544 0x00
OBS: 58984.28 g NULL  -40.798 41.003 nan -1.091 0x00
OBS: 58987.38 g NULL  -92.541 54.408 nan -0.638 0x00
OBS: 58997.35 g NULL  2317.507 87.153 19.087 0.041 0x00
OBS: 59015.31 g NULL  3126.452 79.053 18.762 0.027 0x00
OBS: 59017.30 g NULL  2853.838 86.668 18.861 0.033 0x00
OBS: 59020.34 g NULL  2210.377 143.134 19.139 0.070 0x00
OBS: 59029.28 g NULL  1614.942 78.388 19.480 0.053 0x00
OBS: 59042.29 g NULL  972.439 62.333 20.030 0.070 0x00
OBS: 59044.28 g NULL  768.284 63.982 20.286 0.090 0x01
OBS: 59048.27 g NULL  794.474 58.585 20.250 0.080 0x00
OBS: 59052.33 g NULL  753.965 84.481 20.307 0.122 0x00
OBS: 59058.29 g NULL  716.845 129.693 20.361 0.196 0x00
OBS: 59072.26 g NULL  556.833 64.052 20.636 0.125 0x00
OBS: 59104.24 g NULL  480.351 100.014 20.796 0.226 0x00
OBS: 59205.65 g NULL  176.766 46.635 21.882 0.286 0x00
OBS: 58869.66 r NULL  -25.320 66.188 nan -2.838 0x00
OBS: 58929.53 r NULL  -23.111 48.476 nan -2.277 0x00
OBS: 58934.50 r NULL  -122.536 309.911 nan -2.746 0x01
OBS: 58949.37 r NULL  -168.891 147.376 nan -0.947 0x00
OBS: 58972.38 r NULL  -34.778 79.500 nan -2.482 0x00
OBS: 58975.43 r NULL  -25.871 125.480 nan -5.266 0x01
OBS: 58981.40 r NULL  45.925 54.772 23.345 1.295 0x00
OBS: 58987.38 r NULL  2.741 65.273 26.405 25.855 0x00
