SURVEY:  PS1MD
SNID:  2020ldd
otherID: 
IAUC:    UNKNOWN
RA:        194.3730810  deg
DECL:       2.4842760  deg
MWEBV:    0.023 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020ldd.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0008
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.767 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 119
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58867.61 g NULL  -15.985 80.216 nan -5.448 0x00
OBS: 58874.59 g NULL  -84.689 79.596 nan -1.020 0x00
OBS: 58877.59 g NULL  62.149 82.791 23.016 1.446 0x00
OBS: 58941.42 g NULL  7.385 93.898 25.329 13.805 0x00
OBS: 58967.49 g NULL  -39.731 65.289 nan -1.784 0x00
OBS: 58983.28 g NULL  -3.627 51.620 nan -15.452 0x00
OBS: 58990.27 g NULL  591.071 68.852 20.571 0.126 0x00
OBS: 58994.27 g NULL  974.134 60.864 20.028 0.068 0x00
OBS: 58998.27 g NULL  1224.144 59.943 19.780 0.053 0x00
OBS: 59022.28 g NULL  477.970 53.118 20.801 0.121 0x00
OBS: 59044.27 g NULL  85.704 61.961 22.667 0.785 0x00
OBS: 59195.59 g NULL  96.621 79.390 22.537 0.892 0x01
OBS: 59204.66 g NULL  -137.641 127.532 nan -1.006 0x00
OBS: 59222.59 g NULL  193.470 64.185 21.783 0.360 0x00
OBS: 59228.63 g NULL  -16.207 57.842 nan -3.875 0x00
OBS: 59231.61 g NULL  111.297 79.078 22.384 0.771 0x00
OBS: 59256.53 g NULL  13.001 54.172 24.715 4.524 0x00
OBS: 59292.40 g NULL  -16.649 76.956 nan -5.019 0x00
OBS: 59295.42 g NULL  5.873 87.894 25.578 16.249 0x00
OBS: 59311.35 g NULL  -11.395 45.897 nan -4.373 0x01
OBS: 59316.43 g NULL  -22.078 72.153 nan -3.548 0x00
OBS: 59319.36 g NULL  -21.853 54.056 nan -2.686 0x00
OBS: 59323.36 g NULL  -89.810 62.796 nan -0.759 0x00
OBS: 59338.28 g NULL  113.399 105.141 22.363 1.007 0x00
OBS: 59344.26 g NULL  93.244 42.815 22.576 0.499 0x00
OBS: 59346.28 g NULL  73.091 56.145 22.840 0.834 0x00
OBS: 59349.31 g NULL  -22.043 63.323 nan -3.119 0x00
OBS: 59353.37 g NULL  24.670 76.740 24.020 3.377 0x00
OBS: 59367.33 g NULL  75.448 39.944 22.806 0.575 0x00
OBS: 59371.33 g NULL  68.006 65.158 22.919 1.040 0x00
OBS: 59374.32 g NULL  20.612 43.065 24.215 2.268 0x00
OBS: 59379.33 g NULL  -39.967 53.393 nan -1.450 0x00
OBS: 59396.30 g NULL  17.130 42.705 24.416 2.707 0x00
OBS: 59399.30 g NULL  95.529 95.565 22.550 1.086 0x00
OBS: 59400.29 g NULL  3.368 57.810 26.182 18.636 0x00
OBS: 59401.28 g NULL  76.408 54.068 22.792 0.768 0x00
OBS: 59402.29 g NULL  35.299 67.515 23.631 2.077 0x00
OBS: 59403.28 g NULL  23.659 54.472 24.065 2.500 0x00
OBS: 59404.28 g NULL  128.225 65.431 22.230 0.554 0x00
OBS: 59405.29 g NULL  -25.491 142.445 nan -6.067 0x00
OBS: 58877.59 r NULL  52.756 63.671 23.194 1.310 0x00
OBS: 58943.36 r NULL  -1.418 120.121 nan -91.974 0x00
OBS: 58951.40 r NULL  187.227 110.717 21.819 0.642 0x00
OBS: 58967.49 r NULL  -44.045 54.447 nan -1.342 0x00
OBS: 58994.27 r NULL  850.968 60.715 20.175 0.077 0x00
OBS: 59011.29 r NULL  1235.445 72.621 19.770 0.064 0x00
OBS: 59022.28 r NULL  759.661 43.265 20.298 0.062 0x00
