SURVEY:  PS1MD
SNID:  2020lly
otherID: 
IAUC:    UNKNOWN
RA:        235.9650130  deg
DECL:       13.6818360  deg
MWEBV:    0.035 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020lly.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0008
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.532 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 117
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58931.51 g NULL  188.347 124.491 21.813 0.718 0x00
OBS: 58933.52 g NULL  -172.186 121.019 nan -0.763 0x00
OBS: 58955.47 g NULL  120.384 63.634 22.299 0.574 0x00
OBS: 58959.59 g NULL  12.413 58.597 24.765 5.125 0x00
OBS: 58961.57 g NULL  -19.791 64.686 nan -3.549 0x00
OBS: 58966.57 g NULL  25.969 70.061 23.964 2.929 0x00
OBS: 58968.54 g NULL  39.217 63.243 23.516 1.751 0x00
OBS: 58971.40 g NULL  -53.606 93.926 nan -1.902 0x00
OBS: 58982.51 g NULL  171.826 86.601 21.912 0.547 0x00
OBS: 58984.49 g NULL  72.967 52.509 22.842 0.781 0x00
OBS: 58988.49 g NULL  -36.960 58.546 nan -1.720 0x00
OBS: 58990.38 g NULL  38.429 74.565 23.538 2.107 0x09
OBS: 58994.49 g NULL  70.132 51.044 22.885 0.790 0x00
OBS: 58998.36 g NULL  878.879 58.376 20.140 0.072 0x00
OBS: 59000.50 g NULL  874.928 63.891 20.145 0.079 0x00
OBS: 59015.30 g NULL  699.111 63.892 20.389 0.099 0x00
OBS: 59019.47 g NULL  780.569 143.796 20.269 0.200 0x00
OBS: 59027.28 g NULL  545.438 63.930 20.658 0.127 0x00
OBS: 59029.29 g NULL  529.920 75.180 20.689 0.154 0x00
OBS: 59043.35 g NULL  410.063 71.998 20.968 0.191 0x00
OBS: 59047.36 g NULL  432.586 104.109 20.910 0.261 0x00
OBS: 59051.34 g NULL  305.777 58.166 21.286 0.207 0x00
OBS: 59054.34 g NULL  368.163 80.087 21.085 0.236 0x00
OBS: 59071.27 g NULL  52.395 77.401 23.202 1.604 0x00
OBS: 59074.29 g NULL  -3.372 66.044 nan -21.265 0x00
OBS: 59077.26 g NULL  64.180 59.228 22.982 1.002 0x00
OBS: 59079.26 g NULL  143.866 55.219 22.105 0.417 0x00
OBS: 59082.31 g NULL  -323.495 103.680 nan -0.348 0x00
OBS: 59083.26 g NULL  -40.998 76.980 nan -2.039 0x00
OBS: 59102.24 g NULL  52.307 67.338 23.204 1.398 0x00
OBS: 59106.24 g NULL  60.493 68.340 23.046 1.227 0x00
OBS: 59108.23 g NULL  -10.985 90.426 nan -8.938 0x00
OBS: 59115.23 g NULL  83.503 65.830 22.696 0.856 0x00
OBS: 59136.22 g NULL  120.751 106.066 22.295 0.954 0x00
OBS: 59255.62 g NULL  62.888 89.761 23.004 1.550 0x00
OBS: 59262.63 g NULL  109.024 53.593 22.406 0.534 0x00
OBS: 59292.51 g NULL  102.721 68.056 22.471 0.719 0x00
OBS: 58931.52 r NULL  -13.212 69.774 nan -5.734 0x00
OBS: 58942.50 r NULL  260.252 183.763 21.462 0.767 0x00
OBS: 58947.61 r NULL  -261.038 289.431 nan -1.204 0x00
OBS: 58951.47 r NULL  -27.704 121.577 nan -4.765 0x00
OBS: 58961.58 r NULL  -9.088 77.606 nan -9.272 0x00
OBS: 58968.55 r NULL  21.778 55.868 24.155 2.785 0x00
OBS: 58973.58 r NULL  -5.483 81.338 nan -16.106 0x00
OBS: 58974.43 r NULL  142.230 122.785 22.118 0.937 0x00
OBS: 58978.56 r NULL  -65.136 161.884 nan -2.698 0x00
OBS: 58990.38 r NULL  9.283 46.965 25.081 5.493 0x00
OBS: 59006.48 r NULL  824.117 146.638 20.210 0.193 0x00
OBS: 59008.30 r NULL  624.615 64.241 20.511 0.112 0x00
OBS: 59011.52 r NULL  456.572 175.294 20.851 0.417 0x00
OBS: 59033.40 r NULL  533.186 111.288 20.683 0.227 0x00
OBS: 59037.37 r NULL  520.336 94.883 20.709 0.198 0x00
OBS: 59040.37 r NULL  390.651 67.247 21.021 0.187 0x00
OBS: 59051.34 r NULL  403.331 60.129 20.986 0.162 0x00
OBS: 59060.36 r NULL  289.498 172.352 21.346 0.646 0x00
OBS: 59063.32 r NULL  351.323 173.080 21.136 0.535 0x00
OBS: 59066.28 r NULL  108.028 70.875 22.416 0.712 0x00
OBS: 59069.34 r NULL  219.688 68.315 21.645 0.338 0x00
OBS: 59077.26 r NULL  46.751 50.483 23.326 1.172 0x00
OBS: 59082.31 r NULL  -144.443 113.999 nan -0.857 0x00
OBS: 59094.26 r NULL  146.882 172.467 22.083 1.275 0x00
OBS: 59096.26 r NULL  -78.144 89.623 nan -1.245 0x00
OBS: 59106.24 r NULL  109.918 70.283 22.397 0.694 0x00
OBS: 59119.23 r NULL  -179.991 119.235 nan -0.719 0x00
OBS: 59122.23 r NULL  53.850 191.142 23.172 3.854 0x00
OBS: 59268.59 r NULL  74.932 100.723 22.813 1.459 0x00
OBS: 59292.51 r NULL  -93.015 63.035 nan -0.736 0x00
OBS: 59297.53 r NULL  78.609 115.133 22.761 1.590 0x00
OBS: 58933.52 i NULL  -58.741 106.137 nan -1.962 0x00
OBS: 58942.49 i NULL  -237.659 189.267 nan -0.865 0x00
OBS: 58951.47 i NULL  -62.251 141.092 nan -2.461 0x00
OBS: 58959.59 i NULL  93.490 58.476 22.573 0.679 0x00
OBS: 58966.57 i NULL  -202.335 64.177 nan -0.344 0x00
OBS: 58971.40 i NULL  -35.136 66.596 nan -2.058 0x00
OBS: 58974.43 i NULL  -126.957 98.585 nan -0.843 0x00
OBS: 58984.49 i NULL  -86.477 58.264 nan -0.732 0x00
OBS: 58988.50 i NULL  -66.774 59.480 nan -0.967 0x00
OBS: 58994.49 i NULL  62.405 65.612 23.012 1.142 0x00
OBS: 59000.51 i NULL  617.214 67.929 20.524 0.119 0x00
OBS: 59008.30 i NULL  498.395 70.372 20.756 0.153 0x00
OBS: 59019.48 i NULL  584.128 122.575 20.584 0.228 0x00
OBS: 59029.29 i NULL  805.431 54.038 20.235 0.073 0x00
OBS: 59033.39 i NULL  632.953 95.918 20.497 0.165 0x00
OBS: 59040.37 i NULL  634.503 66.187 20.494 0.113 0x00
OBS: 59047.36 i NULL  520.402 78.325 20.709 0.163 0x00
OBS: 59054.34 i NULL  504.629 73.530 20.743 0.158 0x00
OBS: 59063.32 i NULL  611.187 129.929 20.535 0.231 0x00
OBS: 59069.34 i NULL  282.330 68.478 21.373 0.263 0x01
OBS: 59071.27 i NULL  259.843 82.370 21.463 0.344 0x00
OBS: 59074.29 i NULL  148.164 64.781 22.073 0.475 0x00
OBS: 59079.26 i NULL  38.215 54.155 23.544 1.539 0x00
OBS: 59083.26 i NULL  45.501 66.304 23.355 1.582 0x00
OBS: 59094.25 i NULL  -396.337 155.389 nan -0.426 0x00
OBS: 59108.24 i NULL  -133.607 89.371 nan -0.726 0x00
OBS: 59115.24 i NULL  25.025 63.268 24.004 2.745 0x00
OBS: 59122.23 i NULL  64.800 126.925 22.971 2.127 0x00
OBS: 59136.22 i NULL  6.345 93.736 25.494 16.040 0x00
OBS: 59255.62 i NULL  -15.836 70.222 nan -4.815 0x00
OBS: 59262.63 i NULL  -60.828 53.830 nan -0.961 0x00
OBS: 59268.59 i NULL  -23.288 126.739 nan -5.909 0x00
OBS: 59297.53 i NULL  313.197 115.641 21.260 0.401 0x00
OBS: 58947.62 z NULL  -2.082 339.495 nan -177.042 0x00
OBS: 58955.47 z NULL  -77.075 81.847 nan -1.153 0x00
OBS: 58973.58 z NULL  -74.377 130.412 nan -1.904 0x00
OBS: 58978.56 z NULL  84.461 153.876 22.683 1.978 0x00
OBS: 58982.51 z NULL  172.627 115.608 21.907 0.727 0x00
OBS: 58998.36 z NULL  603.077 88.707 20.549 0.160 0x00
OBS: 59006.47 z NULL  236.321 179.623 21.566 0.825 0x00
OBS: 59011.51 z NULL  452.245 163.643 20.862 0.393 0x00
OBS: 59015.30 z NULL  589.734 103.820 20.573 0.191 0x00
OBS: 59027.29 z NULL  699.057 87.899 20.389 0.137 0x00
OBS: 59037.37 z NULL  578.687 110.332 20.594 0.207 0x00
OBS: 59043.35 z NULL  411.649 95.741 20.964 0.253 0x00
OBS: 59060.37 z NULL  565.511 170.252 20.619 0.327 0x00
OBS: 59066.28 z NULL  339.448 108.068 21.173 0.346 0x00
OBS: 59096.26 z NULL  -245.254 138.879 nan -0.615 0x00
OBS: 59102.25 z NULL  -106.652 130.351 nan -1.327 0x00
OBS: 59119.24 z NULL  163.153 143.588 21.969 0.956 0x00
OBS: 59128.22 z NULL  300.003 295.592 21.307 1.070 0x00
END:
