SURVEY:  PS1MD
SNID:  2020llz
otherID: 
IAUC:    UNKNOWN
RA:        225.3997460  deg
DECL:       -2.9382230  deg
MWEBV:    0.114 +- 0.006 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020llz.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0067
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.848 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 154
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58931.51 g NULL  -63.784 83.322 nan -1.418 0x01
OBS: 58940.61 g NULL  -57.796 81.299 nan -1.527 0x00
OBS: 58955.45 g NULL  69.293 54.576 22.898 0.855 0x00
OBS: 58959.47 g NULL  -39.494 47.270 nan -1.300 0x00
OBS: 58964.49 g NULL  -11.782 147.716 nan -13.612 0x00
OBS: 58968.48 g NULL  29.996 53.075 23.807 1.921 0x00
OBS: 58970.50 g NULL  -78.845 64.185 nan -0.884 0x00
OBS: 58983.47 g NULL  100.169 78.951 22.498 0.856 0x00
OBS: 58988.48 g NULL  -51.341 61.803 nan -1.307 0x01
OBS: 58990.39 g NULL  18.431 46.346 24.336 2.730 0x00
OBS: 58997.33 g NULL  378.128 100.374 21.056 0.288 0x01
OBS: 58999.37 g NULL  337.392 68.212 21.180 0.220 0x00
OBS: 59000.27 g NULL  427.353 70.220 20.923 0.178 0x00
OBS: 59015.29 g NULL  222.601 64.909 21.631 0.317 0x01
OBS: 59018.32 g NULL  197.304 245.552 21.762 1.351 0x01
OBS: 59026.30 g NULL  191.384 84.197 21.795 0.478 0x00
OBS: 59043.28 g NULL  161.611 57.370 21.979 0.385 0x00
OBS: 59052.41 g NULL  0.999 90.793 27.501 98.676 0x00
OBS: 59055.26 g NULL  -74.960 69.169 nan -1.002 0x00
OBS: 59071.28 g NULL  20.188 73.990 24.237 3.979 0x00
OBS: 59078.26 g NULL  3.866 45.982 26.032 12.914 0x00
OBS: 59081.26 g NULL  61.014 57.690 23.036 1.027 0x00
OBS: 59104.25 g NULL  -90.617 85.322 nan -1.022 0x00
OBS: 59291.54 g NULL  61.734 74.715 23.024 1.314 0x00
OBS: 59295.55 g NULL  -21.175 75.636 nan -3.878 0x00
OBS: 59310.48 g NULL  -15.948 61.627 nan -4.196 0x00
OBS: 59338.48 g NULL  -68.672 81.260 nan -1.285 0x00
OBS: 59344.45 g NULL  -106.335 44.929 nan -0.459 0x00
OBS: 59366.39 g NULL  -52.921 42.008 nan -0.862 0x00
OBS: 59368.36 g NULL  111.204 130.932 22.385 1.278 0x00
OBS: 59372.40 g NULL  62.655 62.815 23.008 1.089 0x00
OBS: 59375.37 g NULL  -28.448 110.287 nan -4.209 0x00
OBS: 59378.44 g NULL  86.405 77.460 22.659 0.973 0x00
OBS: 59383.27 g NULL  -43.841 65.931 nan -1.633 0x00
OBS: 59397.30 g NULL  -17.382 44.834 nan -2.800 0x00
OBS: 59402.30 g NULL  -84.493 54.496 nan -0.700 0x00
OBS: 59403.30 g NULL  51.695 52.852 23.216 1.110 0x00
OBS: 59404.30 g NULL  60.167 61.395 23.052 1.108 0x00
OBS: 59405.31 g NULL  56.855 94.420 23.113 1.803 0x00
OBS: 59408.28 g NULL  -83.504 48.239 nan -0.627 0x00
OBS: 59410.27 g NULL  121.743 91.930 22.286 0.820 0x00
OBS: 59426.28 g NULL  9.605 57.064 25.044 6.450 0x00
OBS: 59428.27 g NULL  214.026 107.418 21.674 0.545 0x00
OBS: 59432.28 g NULL  12.367 59.501 24.769 5.224 0x00
OBS: 59435.28 g NULL  -20.790 41.721 nan -2.179 0x00
OBS: 59437.27 g NULL  -83.357 113.718 nan -1.481 0x00
OBS: 59455.25 g NULL  -1.115 81.225 nan -79.093 0x00
OBS: 59457.25 g NULL  37.499 58.368 23.565 1.690 0x00
OBS: 59465.24 g NULL  -35.853 77.104 nan -2.335 0x00
OBS: 58931.51 r NULL  85.885 68.591 22.665 0.867 0x00
OBS: 58959.47 r NULL  -20.917 50.666 nan -2.630 0x00
OBS: 58964.49 r NULL  -315.395 286.304 nan -0.986 0x00
OBS: 58972.44 r NULL  -36.145 60.359 nan -1.813 0x00
OBS: 58988.49 r NULL  13.715 69.490 24.657 5.501 0x01
OBS: 59009.33 r NULL  342.804 102.978 21.162 0.326 0x00
OBS: 59011.30 r NULL  517.070 88.980 20.716 0.187 0x01
OBS: 59018.32 r NULL  396.457 215.487 21.005 0.590 0x01
OBS: 59034.28 r NULL  167.150 89.333 21.942 0.580 0x00
OBS: 59055.27 r NULL  80.540 60.834 22.735 0.820 0x00
OBS: 59065.29 r NULL  -81.533 70.098 nan -0.933 0x00
OBS: 59068.32 r NULL  272.833 85.808 21.410 0.341 0x00
OBS: 59081.26 r NULL  185.387 65.573 21.830 0.384 0x00
OBS: 59093.25 r NULL  -19.194 163.026 nan -9.222 0x00
OBS: 59095.24 r NULL  -43.859 77.777 nan -1.925 0x00
OBS: 59097.27 r NULL  144.491 80.582 22.100 0.606 0x00
OBS: 59100.24 r NULL  -26.463 91.889 nan -3.770 0x00
OBS: 59291.54 r NULL  8.502 62.384 25.176 7.967 0x00
OBS: 59298.52 r NULL  26.053 90.474 23.960 3.770 0x00
OBS: 59299.57 r NULL  82.622 71.513 22.707 0.940 0x00
OBS: 59300.51 r NULL  1721.311 1971.700 19.410 1.244 0x00
OBS: 59327.43 r NULL  26.045 86.377 23.961 3.601 0x00
OBS: 59328.45 r NULL  161.002 136.543 21.983 0.921 0x00
OBS: 59335.47 r NULL  -115.911 100.742 nan -0.944 0x00
OBS: 59356.38 r NULL  -53.383 81.411 nan -1.656 0x00
OBS: 59362.38 r NULL  -44.140 105.828 nan -2.603 0x00
OBS: 59364.39 r NULL  101.427 63.338 22.485 0.678 0x00
OBS: 59372.40 r NULL  11.549 57.543 24.844 5.410 0x00
OBS: 59378.44 r NULL  -117.652 76.082 nan -0.702 0x00
OBS: 59390.29 r NULL  118.757 137.295 22.313 1.255 0x00
OBS: 59393.29 r NULL  -45.578 81.643 nan -1.945 0x00
OBS: 59394.30 r NULL  -76.803 75.622 nan -1.069 0x00
OBS: 59395.40 r NULL  54.608 62.193 23.157 1.237 0x00
OBS: 59402.30 r NULL  43.988 48.025 23.392 1.185 0x00
OBS: 59404.30 r NULL  120.126 59.127 22.301 0.534 0x00
OBS: 59408.28 r NULL  -77.067 67.875 nan -0.956 0x00
OBS: 59417.28 r NULL  528.898 396.088 20.692 0.813 0x00
OBS: 59419.29 r NULL  9.034 132.126 25.110 15.879 0x00
OBS: 59423.28 r NULL  -19.589 52.220 nan -2.894 0x00
OBS: 59424.27 r NULL  -88.247 66.668 nan -0.820 0x00
OBS: 59435.28 r NULL  -65.924 45.948 nan -0.757 0x00
OBS: 59444.27 r NULL  79.348 106.824 22.751 1.462 0x00
OBS: 59448.28 r NULL  143.721 90.427 22.106 0.683 0x00
OBS: 59451.26 r NULL  -25.528 75.004 nan -3.190 0x00
OBS: 59452.25 r NULL  32.151 63.101 23.732 2.131 0x00
OBS: 59453.26 r NULL  56.749 86.635 23.115 1.658 0x00
OBS: 59454.25 r NULL  -60.284 60.391 nan -1.088 0x00
OBS: 59465.25 r NULL  -67.162 68.884 nan -1.114 0x00
OBS: 58918.60 i NULL  -65.555 177.738 nan -2.944 0x00
OBS: 58968.49 i NULL  103.564 81.650 22.462 0.856 0x00
OBS: 58970.50 i NULL  81.283 96.988 22.725 1.296 0x00
OBS: 58973.46 i NULL  -1.050 96.681 nan -99.971 0x01
OBS: 58990.39 i NULL  101.253 59.183 22.486 0.635 0x00
OBS: 58999.37 i NULL  481.268 63.415 20.794 0.143 0x00
OBS: 59011.30 i NULL  93.052 108.767 22.578 1.269 0x01
OBS: 59015.29 i NULL  395.765 58.986 21.006 0.162 0x00
OBS: 59026.31 i NULL  396.043 84.186 21.006 0.231 0x00
OBS: 59052.41 i NULL  75.280 81.761 22.808 1.179 0x00
OBS: 59065.29 i NULL  15.448 82.657 24.528 5.809 0x00
OBS: 59071.28 i NULL  -66.023 70.774 nan -1.164 0x00
OBS: 59078.26 i NULL  36.336 72.604 23.599 2.169 0x00
OBS: 59093.24 i NULL  -113.538 134.195 nan -1.283 0x00
OBS: 59097.27 i NULL  23.194 111.012 24.087 5.197 0x00
OBS: 59100.25 i NULL  -76.992 112.980 nan -1.593 0x01
OBS: 59104.25 i NULL  49.997 70.505 23.253 1.531 0x00
OBS: 59299.57 i NULL  4.642 97.067 25.833 22.703 0x00
OBS: 59328.45 i NULL  -91.196 104.217 nan -1.241 0x00
OBS: 59344.45 i NULL  121.688 74.576 22.287 0.665 0x00
OBS: 59356.37 i NULL  -61.953 76.034 nan -1.333 0x00
OBS: 59364.39 i NULL  5.239 68.025 25.702 14.098 0x00
OBS: 59366.39 i NULL  -29.164 57.317 nan -2.134 0x00
OBS: 59375.36 i NULL  -173.327 118.983 nan -0.745 0x00
OBS: 59383.27 i NULL  48.632 62.553 23.283 1.397 0x00
OBS: 59393.29 i NULL  -86.192 52.447 nan -0.661 0x00
OBS: 59395.39 i NULL  -83.294 100.394 nan -1.309 0x09
OBS: 59403.29 i NULL  3.934 61.900 26.013 17.084 0x00
OBS: 59405.31 i NULL  127.162 103.039 22.239 0.880 0x00
OBS: 59410.27 i NULL  23.939 78.192 24.052 3.546 0x00
OBS: 59419.29 i NULL  -338.862 379.759 nan -1.217 0x00
OBS: 59424.27 i NULL  -30.199 83.945 nan -3.018 0x00
OBS: 59426.28 i NULL  28.012 80.684 23.882 3.127 0x00
OBS: 59428.27 i NULL  117.201 91.104 22.328 0.844 0x00
OBS: 59432.28 i NULL  59.614 108.336 23.062 1.973 0x00
OBS: 59437.27 i NULL  -82.734 90.792 nan -1.191 0x00
OBS: 59451.25 i NULL  110.221 101.821 22.394 1.003 0x00
OBS: 59453.26 i NULL  90.366 83.824 22.610 1.007 0x00
OBS: 59457.25 i NULL  -34.242 72.262 nan -2.291 0x00
OBS: 58940.61 z NULL  91.272 134.510 22.599 1.600 0x00
OBS: 58955.45 z NULL  68.763 107.852 22.907 1.703 0x00
OBS: 58972.45 z NULL  146.848 98.988 22.083 0.732 0x00
OBS: 58983.48 z NULL  -169.820 122.763 nan -0.785 0x00
OBS: 59000.27 z NULL  228.405 90.618 21.603 0.431 0x00
OBS: 59009.34 z NULL  99.351 155.726 22.507 1.702 0x00
OBS: 59034.28 z NULL  216.621 96.157 21.661 0.482 0x00
OBS: 59040.30 z NULL  -75.894 125.691 nan -1.798 0x00
OBS: 59043.28 z NULL  92.264 120.407 22.587 1.417 0x00
OBS: 59068.32 z NULL  164.800 155.723 21.958 1.026 0x00
OBS: 59095.24 z NULL  35.175 103.646 23.634 3.199 0x00
OBS: 59295.55 z NULL  119.790 121.807 22.304 1.104 0x00
OBS: 59298.52 z NULL  25.923 123.162 23.966 5.158 0x00
OBS: 59300.52 z NULL  -1.616 662.715 nan -445.256 0x00
OBS: 59310.48 z NULL  -70.701 96.401 nan -1.480 0x00
OBS: 59327.44 z NULL  74.614 136.038 22.818 1.980 0x00
OBS: 59335.47 z NULL  -223.727 156.404 nan -0.759 0x00
OBS: 59338.49 z NULL  89.958 142.442 22.615 1.719 0x00
OBS: 59362.38 z NULL  -68.086 130.571 nan -2.082 0x00
OBS: 59368.36 z NULL  -282.103 216.948 nan -0.835 0x00
OBS: 59390.29 z NULL  -201.017 148.492 nan -0.802 0x00
OBS: 59394.30 z NULL  66.646 74.672 22.941 1.216 0x00
OBS: 59397.31 z NULL  171.848 99.598 21.912 0.629 0x00
OBS: 59417.28 z NULL  -648.484 672.963 nan -1.127 0x00
OBS: 59423.28 z NULL  146.484 170.846 22.086 1.266 0x00
OBS: 59444.28 z NULL  159.553 168.171 21.993 1.144 0x00
OBS: 59448.28 z NULL  33.837 103.404 23.677 3.318 0x00
OBS: 59452.26 z NULL  -127.784 117.052 nan -0.995 0x00
OBS: 59454.25 z NULL  261.198 134.682 21.458 0.560 0x00
OBS: 59455.26 z NULL  3.356 142.023 26.185 45.947 0x00
END:
