SURVEY:  PS1MD
SNID:  2020lyb
otherID: 
IAUC:    UNKNOWN
RA:        160.4262040  deg
DECL:       -0.8468220  deg
MWEBV:    0.044 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020lyb.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0136
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.055 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 92
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58841.62 g NULL  6.472 37.032 25.472 6.212 0x00
OBS: 58844.59 g NULL  -11.867 44.986 nan -4.116 0x00
OBS: 58847.55 g NULL  -55.794 57.814 nan -1.125 0x00
OBS: 58865.49 g NULL  -8.173 82.802 nan -11.000 0x00
OBS: 58869.48 g NULL  -45.557 51.086 nan -1.218 0x00
OBS: 58871.58 g NULL  -18.263 44.561 nan -2.649 0x00
OBS: 58875.47 g NULL  -15.028 51.254 nan -3.703 0x00
OBS: 58878.49 g NULL  1.077 215.454 27.419 217.202 0x00
OBS: 58882.49 g NULL  1.925 60.041 26.789 33.864 0x00
OBS: 58937.41 g NULL  151.002 111.719 22.053 0.803 0x00
OBS: 58941.35 g NULL  -116.491 84.072 nan -0.784 0x00
OBS: 58957.38 g NULL  -110.797 118.176 nan -1.158 0x00
OBS: 58961.26 g NULL  225.810 40.547 21.616 0.195 0x00
OBS: 58965.27 g NULL  284.892 81.617 21.363 0.311 0x00
OBS: 58969.25 g NULL  389.656 78.834 21.023 0.220 0x00
OBS: 58984.27 g NULL  178.585 44.960 21.870 0.273 0x00
OBS: 58989.28 g NULL  62.220 63.162 23.015 1.102 0x00
OBS: 58995.27 g NULL  51.749 37.412 23.215 0.785 0x00
OBS: 59205.59 g NULL  22.010 47.037 24.143 2.320 0x01
OBS: 59221.55 g NULL  18.201 74.714 24.350 4.457 0x00
OBS: 59226.56 g NULL  -38.812 41.402 nan -1.158 0x00
OBS: 59230.61 g NULL  -32.037 77.282 nan -2.619 0x00
OBS: 59235.53 g NULL  140.270 133.820 22.133 1.036 0x00
