SURVEY:  PS1MD
SNID:  2020lyz
otherID: 
IAUC:    UNKNOWN
RA:        186.4495990  deg
DECL:       17.4712210  deg
MWEBV:    0.025 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    grizy
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020lyz.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0046
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.410 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 243
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58866.57 g NULL  -36.803 68.672 nan -2.026 0x00
OBS: 58871.57 g NULL  -51.984 57.847 nan -1.208 0x00
OBS: 58873.56 g NULL  -8.228 74.410 nan -9.819 0x00
OBS: 58876.51 g NULL  24.614 102.535 24.022 4.523 0x00
OBS: 58879.50 g NULL  -218.877 277.743 nan -1.378 0x00
OBS: 58958.40 g NULL  -26.761 72.396 nan -2.937 0x01
OBS: 58964.42 g NULL  -101.779 84.659 nan -0.903 0x00
OBS: 58967.25 g NULL  -40.104 65.188 nan -1.765 0x00
OBS: 58969.26 g NULL  141.899 89.942 22.120 0.688 0x00
OBS: 58987.34 g NULL  -48.036 74.187 nan -1.677 0x01
OBS: 59013.27 g NULL  571.853 74.856 20.607 0.142 0x00
OBS: 59026.27 g NULL  194.340 104.274 21.779 0.583 0x00
OBS: 59028.27 g NULL  229.659 153.747 21.597 0.727 0x00
OBS: 59029.27 g NULL  -2.065 115.623 nan -60.792 0x00
OBS: 59030.28 g NULL  82.648 114.031 22.707 1.498 0x00
OBS: 59031.27 g NULL  -55.829 251.843 nan -4.898 0x00
OBS: 59032.30 g NULL  56.390 159.123 23.122 3.064 0x00
OBS: 59034.27 g NULL  126.336 157.182 22.246 1.351 0x00
OBS: 59037.27 g NULL  -0.759 211.467 nan -302.500 0x01
OBS: 59038.33 g NULL  -943.236 724.349 nan -0.834 0x09
OBS: 59039.27 g NULL  -292.697 215.612 nan -0.800 0x01
OBS: 59041.29 g NULL  389.543 308.625 21.024 0.860 0x00
OBS: 59042.29 g NULL  140.315 158.775 22.132 1.229 0x00
