SURVEY:  PS1MD
SNID:  2020mjn
otherID: 
IAUC:    UNKNOWN
RA:        232.1395560  deg
DECL:       13.0101470  deg
MWEBV:    0.034 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020mjn.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0004
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.471 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 70
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58932.61 g NULL  14.028 79.582 24.633 6.159 0x00
OBS: 58955.46 g NULL  -32.384 51.950 nan -1.742 0x00
OBS: 58968.43 g NULL  87.473 49.701 22.645 0.617 0x00
OBS: 58994.43 g NULL  29.246 61.396 23.835 2.279 0x00
OBS: 58997.34 g NULL  -28.424 46.432 nan -1.774 0x00
OBS: 59017.28 g NULL  1870.531 76.877 19.320 0.045 0x00
OBS: 59021.29 g NULL  1689.836 60.567 19.430 0.039 0x00
OBS: 59027.28 g NULL  871.505 77.792 20.149 0.097 0x00
OBS: 59053.28 g NULL  154.206 48.568 22.030 0.342 0x01
OBS: 59291.54 g NULL  22.962 58.788 24.097 2.780 0x00
OBS: 59316.42 g NULL  14.537 61.845 24.594 4.619 0x01
OBS: 59343.38 g NULL  76.881 54.344 22.785 0.767 0x01
OBS: 59346.39 g NULL  -72.558 52.723 nan -0.789 0x00
OBS: 59350.38 g NULL  144.182 114.692 22.103 0.864 0x01
OBS: 59367.34 g NULL  -32.932 61.338 nan -2.022 0x00
OBS: 59382.29 g NULL  7.127 75.295 25.368 11.471 0x00
OBS: 59383.28 g NULL  -2.305 85.424 nan -40.238 0x01
OBS: 59409.33 g NULL  94.580 43.491 22.561 0.499 0x01
OBS: 59433.31 g NULL  -0.795 54.087 nan -73.867 0x00
OBS: 59438.26 g NULL  -22.015 46.588 nan -2.298 0x00
OBS: 59456.25 g NULL  86.976 71.315 22.652 0.890 0x00
OBS: 59462.26 g NULL  6.852 154.051 25.410 24.410 0x01
OBS: 58918.65 r NULL  163.750 147.519 21.965 0.978 0x01
OBS: 58932.62 r NULL  8.369 59.231 25.193 7.684 0x00
OBS: 58942.49 r NULL  101.368 144.065 22.485 1.543 0x00
OBS: 58945.50 r NULL  -46.288 211.345 nan -4.957 0x00
OBS: 58951.46 r NULL  -108.346 109.366 nan -1.096 0x00
OBS: 58968.43 r NULL  -64.820 46.799 nan -0.784 0x00
OBS: 58972.44 r NULL  -27.839 62.943 nan -2.455 0x00
OBS: 58979.36 r NULL  61.473 114.525 23.028 2.023 0x00
OBS: 58994.43 r NULL  23.243 57.148 24.084 2.670 0x00
OBS: 59007.30 r NULL  330.630 93.462 21.202 0.307 0x01
OBS: 59021.28 r NULL  2208.450 54.988 19.140 0.027 0x00
OBS: 59053.28 r NULL  432.975 49.641 20.909 0.124 0x00
OBS: 59298.51 r NULL  95.757 84.333 22.547 0.956 0x00
OBS: 59299.61 r NULL  32.702 83.676 23.714 2.778 0x00
OBS: 59300.50 r NULL  202.223 456.400 21.735 2.450 0x00
OBS: 59316.42 r NULL  34.389 81.026 23.659 2.558 0x01
OBS: 59327.43 r NULL  -52.343 63.810 nan -1.324 0x00
OBS: 59328.44 r NULL  -34.417 117.632 nan -3.711 0x00
OBS: 59334.43 r NULL  71.509 88.678 22.864 1.346 0x00
OBS: 59343.39 r NULL  34.415 67.280 23.658 2.123 0x01
OBS: 59389.28 r NULL  135.674 114.203 22.169 0.914 0x00
OBS: 59409.33 r NULL  -50.043 52.652 nan -1.142 0x00
OBS: 59417.29 r NULL  477.029 316.022 20.804 0.719 0x00
OBS: 59420.36 r NULL  -49.887 113.181 nan -2.463 0x00
OBS: 59423.29 r NULL  -24.004 44.712 nan -2.022 0x00
OBS: 59438.27 r NULL  17.934 44.622 24.366 2.701 0x00
OBS: 59448.27 r NULL  -47.342 72.314 nan -1.658 0x00
OBS: 59454.26 r NULL  -35.850 51.759 nan -1.568 0x00
OBS: 59476.24 r NULL  -86.919 182.579 nan -2.281 0x00
OBS: 59477.23 r NULL  70.297 120.535 22.883 1.862 0x00
OBS: 59482.23 r NULL  -164.223 141.305 nan -0.934 0x01
OBS: 58942.49 i NULL  130.267 117.001 22.213 0.975 0x00
OBS: 58945.50 i NULL  107.575 170.587 22.421 1.722 0x00
OBS: 58972.44 i NULL  106.523 65.079 22.431 0.663 0x00
OBS: 58979.36 i NULL  -23.233 125.020 nan -5.842 0x00
OBS: 59007.30 i NULL  88.836 145.264 22.629 1.775 0x01
OBS: 59017.29 i NULL  2063.615 70.452 19.213 0.037 0x00
OBS: 59027.28 i NULL  2069.006 70.125 19.211 0.037 0x00
OBS: 59291.53 i NULL  91.470 65.371 22.597 0.776 0x00
OBS: 59299.61 i NULL  44.970 78.739 23.368 1.901 0x00
OBS: 59328.44 i NULL  32.175 96.127 23.731 3.244 0x00
OBS: 59346.39 i NULL  20.706 60.190 24.210 3.156 0x00
OBS: 59382.28 i NULL  38.760 60.348 23.529 1.690 0x00
OBS: 59417.29 i NULL  -24.444 274.415 nan -12.189 0x00
OBS: 59423.29 i NULL  104.199 54.482 22.455 0.568 0x00
OBS: 59433.31 i NULL  59.540 64.040 23.063 1.168 0x00
OBS: 59448.27 i NULL  20.472 65.829 24.222 3.491 0x00
OBS: 59453.26 i NULL  -80.708 73.629 nan -0.991 0x00
OBS: 59476.23 i NULL  -154.008 163.419 nan -1.152 0x00
OBS: 59482.23 i NULL  -592.242 194.697 nan -0.357 0x01
OBS: 58951.45 z NULL  228.032 153.542 21.605 0.731 0x00
OBS: 58955.46 z NULL  -272.108 135.207 nan -0.539 0x00
OBS: 59300.51 z NULL  15.341 330.021 24.535 23.357 0x00
OBS: 59327.43 z NULL  -142.366 111.918 nan -0.854 0x00
OBS: 59334.43 z NULL  -92.899 143.751 nan -1.680 0x00
OBS: 59367.34 z NULL  98.817 83.542 22.513 0.918 0x00
OBS: 59383.28 z NULL  6.559 100.628 25.458 16.657 0x00
OBS: 59389.27 z NULL  -26.001 125.360 nan -5.235 0x00
OBS: 59420.35 z NULL  220.020 117.965 21.644 0.582 0x00
OBS: 59454.26 z NULL  -69.283 93.617 nan -1.467 0x00
OBS: 59456.25 z NULL  -128.748 120.786 nan -1.019 0x00
OBS: 59477.23 z NULL  -172.613 177.024 nan -1.113 0x00
END:
