SURVEY:  PS1MD
SNID:  2020mor
otherID: 
IAUC:    UNKNOWN
RA:        185.6869490  deg
DECL:       8.3438280  deg
MWEBV:    0.021 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020mor.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0003
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.405 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 320
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58839.62 g NULL  341.620 184.698 21.166 0.587 0x00
OBS: 58841.63 g NULL  -75.268 70.949 nan -1.023 0x00
OBS: 58847.66 g NULL  254.881 60.912 21.484 0.259 0x00
OBS: 58849.66 g NULL  1.560 62.905 27.017 43.781 0x00
OBS: 58850.61 g NULL  -20.827 53.927 nan -2.811 0x00
OBS: 58866.57 g NULL  58.561 68.930 23.081 1.278 0x00
OBS: 58867.60 g NULL  215.187 88.941 21.668 0.449 0x00
OBS: 58868.57 g NULL  124.939 115.264 22.258 1.002 0x01
OBS: 58869.57 g NULL  28.106 70.955 23.878 2.741 0x00
OBS: 58871.57 g NULL  -45.683 63.467 nan -1.508 0x00
OBS: 58872.61 g NULL  388.145 55.439 21.028 0.155 0x00
OBS: 58873.56 g NULL  -36.972 106.615 nan -3.131 0x01
OBS: 58874.58 g NULL  121.114 80.172 22.292 0.719 0x01
OBS: 58876.52 g NULL  -28.121 112.257 nan -4.334 0x00
OBS: 58878.51 g NULL  116.352 80.608 22.336 0.752 0x00
OBS: 58879.50 g NULL  -253.307 365.781 nan -1.568 0x00
OBS: 58882.50 g NULL  20.611 60.663 24.215 3.196 0x00
OBS: 58929.53 g NULL  -13.539 68.201 nan -5.469 0x00
OBS: 58930.51 g NULL  272.007 205.483 21.414 0.820 0x00
OBS: 58931.44 g NULL  272.548 113.466 21.411 0.452 0x01
OBS: 58932.51 g NULL  86.648 60.450 22.656 0.757 0x00
OBS: 58941.41 g NULL  -4.457 96.161 nan -23.425 0x00
OBS: 58955.44 g NULL  -32.204 48.032 nan -1.619 0x00
OBS: 58956.44 g NULL  170.543 70.670 21.920 0.450 0x00
OBS: 58957.43 g NULL  43.978 57.643 23.392 1.423 0x00
OBS: 58964.42 g NULL  288.908 198.546 21.348 0.746 0x00
OBS: 58965.42 g NULL  174.854 72.464 21.893 0.450 0x00
OBS: 58982.28 g NULL  -78.501 86.776 nan -1.200 0x00
OBS: 58983.28 g NULL  -202.626 139.654 nan -0.748 0x00
OBS: 58987.27 g NULL  -38.540 95.714 nan -2.696 0x00
OBS: 58988.27 g NULL  -157.835 158.504 nan -1.090 0x00
OBS: 58992.36 g NULL  -4.986 66.256 nan -14.428 0x00
OBS: 58995.36 g NULL  -99.972 50.710 nan -0.551 0x00
OBS: 58998.35 g NULL  15.503 61.889 24.524 4.334 0x00
OBS: 59013.28 g NULL  1136.373 81.594 19.861 0.078 0x00
OBS: 59014.28 g NULL  1173.108 75.162 19.827 0.070 0x00
OBS: 59015.27 g NULL  1372.741 81.031 19.656 0.064 0x00
OBS: 59016.28 g NULL  1469.423 71.550 19.582 0.053 0x00
OBS: 59017.27 g NULL  1578.356 83.186 19.504 0.057 0x01
OBS: 59018.31 g NULL  2502.343 113.525 19.004 0.049 0x00
OBS: 59020.28 g NULL  2033.651 174.815 19.229 0.093 0x00
OBS: 59021.27 g NULL  1952.729 66.805 19.273 0.037 0x00
OBS: 59022.27 g NULL  1815.426 78.307 19.353 0.047 0x00
OBS: 59042.27 g NULL  496.583 75.445 20.760 0.165 0x00
OBS: 59043.27 g NULL  243.270 93.294 21.535 0.416 0x00
OBS: 59044.27 g NULL  202.566 101.251 21.734 0.543 0x00
OBS: 59047.28 g NULL  412.897 100.905 20.960 0.265 0x00
OBS: 59048.27 g NULL  344.791 75.964 21.156 0.239 0x00
OBS: 59050.27 g NULL  296.393 116.343 21.320 0.426 0x00
OBS: 59051.27 g NULL  259.882 66.435 21.463 0.278 0x00
OBS: 59052.27 g NULL  200.580 80.027 21.744 0.433 0x00
OBS: 59072.26 g NULL  37.684 128.664 23.560 3.707 0x00
OBS: 59195.58 g NULL  5.846 93.050 25.583 17.282 0x00
OBS: 59198.63 g NULL  167.423 83.028 21.940 0.538 0x00
OBS: 59204.66 g NULL  155.322 174.038 22.022 1.217 0x09
OBS: 59205.64 g NULL  153.402 57.478 22.035 0.407 0x00
OBS: 59206.64 g NULL  16.963 41.122 24.426 2.632 0x00
OBS: 59222.59 g NULL  15.774 106.402 24.505 7.324 0x00
OBS: 59228.62 g NULL  -98.425 89.883 nan -0.992 0x00
OBS: 59235.54 g NULL  240.731 143.453 21.546 0.647 0x00
OBS: 59236.65 g NULL  -31.701 79.667 nan -2.729 0x00
OBS: 59254.59 g NULL  535.924 207.910 20.677 0.421 0x00
OBS: 59255.53 g NULL  60.371 93.442 23.048 1.680 0x00
OBS: 59256.53 g NULL  -68.665 64.290 nan -1.017 0x00
OBS: 59262.62 g NULL  -51.828 52.883 nan -1.108 0x00
OBS: 59278.48 g NULL  52.266 206.462 23.204 4.289 0x00
OBS: 59288.41 g NULL  -13.722 69.184 nan -5.474 0x00
OBS: 59291.42 g NULL  271.060 81.948 21.417 0.328 0x00
OBS: 59292.40 g NULL  15.765 100.304 24.506 6.908 0x00
OBS: 59296.35 g NULL  330.273 97.648 21.203 0.321 0x00
OBS: 59307.36 g NULL  -105.604 131.886 nan -1.356 0x00
OBS: 59310.47 g NULL  -45.824 50.674 nan -1.201 0x00
OBS: 59311.34 g NULL  -27.622 70.621 nan -2.776 0x00
OBS: 59313.47 g NULL  -30.322 73.000 nan -2.614 0x01
OBS: 59314.31 g NULL  -88.431 54.089 nan -0.664 0x00
OBS: 59316.43 g NULL  70.599 115.369 22.878 1.774 0x00
OBS: 59317.37 g NULL  440.878 116.079 20.889 0.286 0x00
OBS: 59318.44 g NULL  28.306 48.048 23.870 1.843 0x00
OBS: 59321.36 g NULL  -41.244 99.195 nan -2.611 0x00
OBS: 59322.41 g NULL  -54.484 53.423 nan -1.065 0x00
OBS: 59323.30 g NULL  -284.046 196.856 nan -0.752 0x00
OBS: 59344.26 g NULL  -19.500 64.211 nan -3.575 0x00
OBS: 59347.36 g NULL  -100.949 55.406 nan -0.596 0x00
OBS: 59349.37 g NULL  -15.859 60.824 nan -4.164 0x00
OBS: 59351.26 g NULL  -20.596 106.805 nan -5.630 0x00
OBS: 59353.38 g NULL  -111.745 89.241 nan -0.867 0x00
OBS: 59367.33 g NULL  -38.495 45.629 nan -1.287 0x00
OBS: 59368.28 g NULL  29.556 45.358 23.823 1.666 0x00
OBS: 59370.28 g NULL  15.759 51.861 24.506 3.573 0x00
OBS: 59371.27 g NULL  104.341 111.688 22.454 1.162 0x00
OBS: 59372.35 g NULL  -50.276 67.653 nan -1.461 0x00
OBS: 59373.27 g NULL  -20.026 49.660 nan -2.692 0x00
OBS: 59374.32 g NULL  -114.460 67.020 nan -0.636 0x00
OBS: 59376.28 g NULL  -138.887 65.189 nan -0.510 0x00
OBS: 59377.28 g NULL  8.474 50.514 25.180 6.472 0x00
OBS: 59378.28 g NULL  3.068 48.198 26.283 17.057 0x00
