SURVEY:  PS1MD
SNID:  2020mrv
otherID: 
IAUC:    UNKNOWN
RA:        227.6148950  deg
DECL:       -3.0153270  deg
MWEBV:    0.161 +- 0.008 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020mrv.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0020
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 1.141 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 175
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58931.51 g NULL  -68.479 51.207 nan -0.812 0x00
OBS: 58940.61 g NULL  -5.290 71.890 nan -14.755 0x00
OBS: 58955.45 g NULL  -10.352 116.124 nan -12.179 0x00
OBS: 58959.47 g NULL  77.053 72.990 22.783 1.028 0x00
OBS: 58968.48 g NULL  6.164 129.542 25.525 22.818 0x00
OBS: 58970.50 g NULL  -68.609 72.126 nan -1.141 0x00
OBS: 58983.47 g NULL  -16.051 64.569 nan -4.368 0x00
OBS: 58986.47 g NULL  124.524 59.242 22.262 0.517 0x00
OBS: 58988.49 g NULL  -2.442 41.987 nan -18.668 0x00
OBS: 58990.39 g NULL  -60.865 43.781 nan -0.781 0x01
OBS: 58994.38 g NULL  57.341 58.423 23.104 1.106 0x00
OBS: 58997.33 g NULL  93.577 102.526 22.572 1.190 0x00
OBS: 58999.38 g NULL  -115.062 56.658 nan -0.535 0x00
OBS: 59000.27 g NULL  -86.080 69.476 nan -0.876 0x00
OBS: 59015.29 g NULL  594.012 70.747 20.566 0.129 0x00
OBS: 59022.28 g NULL  713.728 45.435 20.366 0.069 0x00
OBS: 59026.30 g NULL  921.141 103.816 20.089 0.122 0x00
OBS: 59028.30 g NULL  560.947 75.977 20.628 0.147 0x00
OBS: 59048.29 g NULL  -34.976 55.626 nan -1.727 0x00
OBS: 59052.41 g NULL  92.349 97.537 22.586 1.147 0x00
OBS: 59055.27 g NULL  7.061 68.068 25.378 10.466 0x00
OBS: 59071.28 g NULL  89.545 48.169 22.620 0.584 0x00
OBS: 59078.26 g NULL  52.148 42.671 23.207 0.888 0x00
OBS: 59081.26 g NULL  136.314 56.715 22.164 0.452 0x00
OBS: 59104.25 g NULL  112.704 93.739 22.370 0.903 0x09
OBS: 59295.55 g NULL  188.260 66.886 21.813 0.386 0x00
OBS: 59310.48 g NULL  32.557 73.684 23.718 2.457 0x00
OBS: 59316.44 g NULL  111.719 68.694 22.380 0.668 0x00
OBS: 59322.55 g NULL  -37.758 69.617 nan -2.002 0x00
OBS: 59338.48 g NULL  13.742 77.538 24.655 6.126 0x00
OBS: 59344.45 g NULL  -58.709 69.532 nan -1.286 0x00
OBS: 59349.37 g NULL  -24.815 274.624 nan -12.016 0x09
OBS: 59354.37 g NULL  -88.881 75.856 nan -0.927 0x00
OBS: 59355.36 g NULL  -35.721 68.863 nan -2.093 0x00
OBS: 59366.39 g NULL  2.719 37.555 26.414 14.996 0x00
OBS: 59368.36 g NULL  -31.858 95.508 nan -3.255 0x00
OBS: 59372.40 g NULL  -28.240 43.444 nan -1.670 0x00
OBS: 59375.37 g NULL  17.989 73.538 24.362 4.438 0x00
OBS: 59378.44 g NULL  78.905 79.234 22.757 1.090 0x00
OBS: 59381.33 g NULL  -7.568 63.282 nan -9.079 0x00
OBS: 59383.28 g NULL  117.502 80.874 22.325 0.747 0x00
OBS: 59397.30 g NULL  -44.495 56.508 nan -1.379 0x00
OBS: 59402.30 g NULL  -31.717 52.595 nan -1.800 0x00
OBS: 59403.30 g NULL  -24.191 57.397 nan -2.576 0x00
OBS: 59404.30 g NULL  -13.817 44.887 nan -3.527 0x00
OBS: 59405.31 g NULL  113.077 78.563 22.367 0.754 0x00
OBS: 59408.28 g NULL  -11.679 43.615 nan -4.055 0x00
OBS: 59426.28 g NULL  -59.563 58.091 nan -1.059 0x00
OBS: 59428.27 g NULL  -95.233 78.137 nan -0.891 0x00
OBS: 59430.27 g NULL  71.787 54.793 22.860 0.829 0x00
OBS: 59432.28 g NULL  3.142 55.468 26.257 19.167 0x00
OBS: 59455.25 g NULL  -117.335 69.878 nan -0.647 0x00
OBS: 59457.25 g NULL  -18.034 44.952 nan -2.706 0x00
OBS: 59465.25 g NULL  133.796 48.623 22.184 0.395 0x00
OBS: 58918.60 r NULL  137.261 92.245 22.156 0.730 0x00
OBS: 58931.51 r NULL  -24.767 59.686 nan -2.617 0x00
OBS: 58945.56 r NULL  -17.900 135.094 nan -8.194 0x00
OBS: 58959.47 r NULL  50.956 48.125 23.232 1.025 0x00
OBS: 58972.45 r NULL  -25.232 72.021 nan -3.099 0x00
OBS: 58973.46 r NULL  52.352 70.986 23.203 1.472 0x00
OBS: 58988.49 r NULL  -62.901 59.322 nan -1.024 0x01
OBS: 58994.38 r NULL  -8.967 50.160 nan -6.073 0x00
OBS: 59007.29 r NULL  66.535 98.316 22.942 1.604 0x00
