SURVEY:  PS1MD
SNID:  2020mrw
otherID: 
IAUC:    UNKNOWN
RA:        328.6234280  deg
DECL:       7.2049620  deg
MWEBV:    0.046 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020mrw.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0014
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 0.794 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 152
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59014.56 g NULL  1295.656 68.804 19.719 0.058 0x00
OBS: 59019.58 g NULL  493.459 160.871 20.767 0.354 0x00
OBS: 59023.59 g NULL  477.066 308.674 20.804 0.702 0x00
OBS: 59029.46 g NULL  676.857 65.236 20.424 0.105 0x00
OBS: 59049.49 g NULL  215.834 93.913 21.665 0.472 0x00
OBS: 59050.49 g NULL  4.561 63.842 25.852 15.197 0x00
OBS: 59053.48 g NULL  152.331 45.411 22.043 0.324 0x00
OBS: 59058.56 g NULL  23.282 61.462 24.082 2.866 0x00
OBS: 59072.38 g NULL  124.297 48.375 22.264 0.423 0x00
OBS: 59076.47 g NULL  151.481 39.101 22.049 0.280 0x00
OBS: 59101.36 g NULL  16.945 46.286 24.427 2.966 0x00
OBS: 59103.38 g NULL  122.899 34.874 22.276 0.308 0x00
OBS: 59105.37 g NULL  40.753 35.271 23.475 0.940 0x00
OBS: 59113.41 g NULL  119.769 381.830 22.304 3.461 0x00
OBS: 59136.30 g NULL  4.252 50.191 25.929 12.816 0x00
OBS: 59140.22 g NULL  68.474 76.718 22.911 1.216 0x00
OBS: 59170.21 g NULL  -90.805 90.485 nan -1.082 0x00
OBS: 59346.60 g NULL  -77.501 61.001 nan -0.855 0x00
OBS: 59353.57 g NULL  -65.088 68.099 nan -1.136 0x00
OBS: 59354.59 g NULL  132.664 48.491 22.193 0.397 0x00
OBS: 59355.59 g NULL  31.773 31.876 23.745 1.089 0x00
OBS: 59371.56 g NULL  -26.685 61.266 nan -2.493 0x00
OBS: 59374.58 g NULL  30.885 57.959 23.776 2.037 0x00
OBS: 59377.56 g NULL  -23.182 32.468 nan -1.521 0x00
OBS: 59380.56 g NULL  -80.955 47.803 nan -0.641 0x00
OBS: 59382.57 g NULL  48.907 49.716 23.277 1.104 0x00
OBS: 59383.57 g NULL  -8.463 79.200 nan -10.161 0x09
OBS: 59398.51 g NULL  -16.062 70.376 nan -4.757 0x00
OBS: 59409.44 g NULL  -28.999 73.400 nan -2.748 0x00
OBS: 59413.44 g NULL  -115.469 85.433 nan -0.803 0x00
OBS: 59427.39 g NULL  -95.568 48.591 nan -0.552 0x00
OBS: 59430.48 g NULL  39.975 31.337 23.496 0.851 0x01
OBS: 59433.38 g NULL  -10.404 44.245 nan -4.617 0x00
OBS: 59434.52 g NULL  41.641 50.850 23.451 1.326 0x00
OBS: 59437.40 g NULL  -117.576 60.506 nan -0.559 0x01
OBS: 59439.40 g NULL  -161.143 118.488 nan -0.798 0x00
OBS: 59457.42 g NULL  -37.548 39.274 nan -1.136 0x00
OBS: 59464.39 g NULL  -13.190 53.492 nan -4.403 0x00
OBS: 59467.34 g NULL  -6.439 42.919 nan -7.237 0x00
OBS: 59469.28 g NULL  -188.057 60.051 nan -0.347 0x00
OBS: 59485.28 g NULL  -89.274 42.826 nan -0.521 0x00
OBS: 59487.34 g NULL  -127.409 50.842 nan -0.433 0x00
OBS: 59493.23 g NULL  1.860 59.396 26.826 34.671 0x00
OBS: 59498.43 g NULL  9.458 56.581 25.061 6.495 0x00
OBS: 59515.21 g NULL  26.650 49.031 23.936 1.998 0x01
OBS: 59517.21 g NULL  56.440 65.232 23.121 1.255 0x00
OBS: 59527.21 g NULL  4.333 115.464 25.908 28.932 0x00
OBS: 59023.60 r NULL  942.583 363.849 20.064 0.419 0x00
OBS: 59031.53 r NULL  886.218 79.840 20.131 0.098 0x00
OBS: 59036.57 r NULL  595.952 112.242 20.562 0.204 0x00
OBS: 59049.49 r NULL  263.575 101.969 21.448 0.420 0x00
OBS: 59053.48 r NULL  317.352 46.349 21.246 0.159 0x00
OBS: 59070.54 r NULL  215.858 64.112 21.665 0.322 0x00
OBS: 59090.41 r NULL  60.690 91.641 23.042 1.639 0x00
OBS: 59099.43 r NULL  159.476 87.885 21.993 0.598 0x00
OBS: 59105.38 r NULL  76.865 37.843 22.786 0.535 0x00
OBS: 59126.36 r NULL  148.636 80.456 22.070 0.588 0x00
OBS: 59127.29 r NULL  137.543 80.186 22.154 0.633 0x00
OBS: 59130.31 r NULL  124.964 47.041 22.258 0.409 0x00
OBS: 59136.30 r NULL  133.343 54.339 22.188 0.442 0x00
OBS: 59140.22 r NULL  135.032 83.951 22.174 0.675 0x00
OBS: 59153.26 r NULL  80.059 79.803 22.741 1.082 0x01
OBS: 59155.21 r NULL  38.162 81.025 23.546 2.305 0x00
OBS: 59157.36 r NULL  162.821 87.919 21.971 0.586 0x01
OBS: 59159.24 r NULL  524.874 282.689 20.700 0.585 0x00
OBS: 59181.25 r NULL  151.057 121.500 22.052 0.873 0x00
OBS: 59183.31 r NULL  73.778 176.976 22.830 2.604 0x00
OBS: 59185.22 r NULL  15.025 67.202 24.558 4.856 0x00
OBS: 59346.60 r NULL  -38.839 62.014 nan -1.734 0x00
OBS: 59356.57 r NULL  56.157 53.910 23.126 1.042 0x00
OBS: 59357.60 r NULL  42.742 49.226 23.423 1.250 0x00
OBS: 59358.60 r NULL  76.839 60.057 22.786 0.849 0x00
OBS: 59359.56 r NULL  -13.705 91.994 nan -7.288 0x00
OBS: 59361.59 r NULL  53.916 116.077 23.171 2.338 0x00
OBS: 59371.56 r NULL  190.526 72.911 21.800 0.415 0x00
OBS: 59377.56 r NULL  53.742 29.073 23.174 0.587 0x00
OBS: 59385.49 r NULL  -51.678 40.201 nan -0.845 0x00
OBS: 59387.54 r NULL  -51.657 58.329 nan -1.226 0x00
OBS: 59389.55 r NULL  -27.267 103.242 nan -4.111 0x00
OBS: 59399.46 r NULL  -27.325 44.313 nan -1.761 0x00
OBS: 59409.44 r NULL  35.760 75.068 23.617 2.279 0x00
OBS: 59433.38 r NULL  37.983 45.793 23.551 1.309 0x00
OBS: 59437.40 r NULL  21.297 67.539 24.179 3.443 0x00
OBS: 59445.39 r NULL  15.330 61.674 24.536 4.368 0x00
OBS: 59452.58 r NULL  41.978 99.519 23.442 2.574 0x00
OBS: 59454.56 r NULL  63.883 73.437 22.987 1.248 0x00
OBS: 59467.34 r NULL  14.036 40.560 24.632 3.137 0x00
OBS: 59479.47 r NULL  33.228 125.070 23.696 4.087 0x00
OBS: 59480.47 r NULL  -121.827 98.058 nan -0.874 0x00
OBS: 59483.40 r NULL  22.544 85.070 24.117 4.097 0x00
OBS: 59507.29 r NULL  -69.171 80.883 nan -1.270 0x00
OBS: 59509.26 r NULL  -234.037 165.407 nan -0.767 0x01
OBS: 59511.26 r NULL  -64.122 54.481 nan -0.922 0x00
OBS: 59512.29 r NULL  -81.901 64.487 nan -0.855 0x00
OBS: 59014.56 i NULL  1202.131 65.714 19.800 0.059 0x00
OBS: 59019.59 i NULL  916.122 271.018 20.095 0.321 0x00
OBS: 59029.46 i NULL  597.763 58.713 20.559 0.107 0x00
OBS: 59031.52 i NULL  593.686 65.813 20.566 0.120 0x00
OBS: 59036.57 i NULL  741.272 84.544 20.325 0.124 0x00
OBS: 59050.49 i NULL  275.507 91.280 21.400 0.360 0x00
OBS: 59058.56 i NULL  340.463 65.511 21.170 0.209 0x00
OBS: 59076.47 i NULL  197.268 40.085 21.762 0.221 0x00
OBS: 59097.42 i NULL  17.150 73.537 24.414 4.655 0x00
OBS: 59103.38 i NULL  44.566 45.163 23.377 1.100 0x00
OBS: 59113.41 i NULL  212.590 290.971 21.681 1.486 0x00
OBS: 59126.36 i NULL  -26.900 52.507 nan -2.119 0x00
OBS: 59130.31 i NULL  109.532 51.503 22.401 0.511 0x01
OBS: 59155.22 i NULL  89.387 107.578 22.622 1.307 0x00
OBS: 59157.36 i NULL  5.229 81.938 25.704 17.013 0x00
OBS: 59170.21 i NULL  -4.163 84.143 nan -21.945 0x00
OBS: 59185.22 i NULL  -39.426 71.229 nan -1.962 0x00
OBS: 59354.59 i NULL  -63.716 42.096 nan -0.717 0x00
OBS: 59357.60 i NULL  -14.212 65.466 nan -5.001 0x00
OBS: 59359.57 i NULL  31.598 74.709 23.751 2.567 0x00
OBS: 59374.58 i NULL  18.346 58.379 24.341 3.455 0x00
OBS: 59380.56 i NULL  -88.929 90.414 nan -1.104 0x00
OBS: 59382.57 i NULL  -13.810 50.583 nan -3.977 0x00
OBS: 59385.49 i NULL  2.317 66.957 26.588 31.376 0x00
OBS: 59389.54 i NULL  -31.260 85.562 nan -2.972 0x00
OBS: 59413.45 i NULL  15.274 78.132 24.540 5.554 0x00
OBS: 59427.38 i NULL  85.487 86.408 22.670 1.097 0x00
OBS: 59430.48 i NULL  -5.337 45.567 nan -9.270 0x01
OBS: 59434.52 i NULL  39.856 60.526 23.499 1.649 0x00
OBS: 59439.40 i NULL  12.610 125.990 24.748 10.848 0x00
OBS: 59452.57 i NULL  -264.597 143.708 nan -0.590 0x00
OBS: 59457.41 i NULL  -51.731 41.375 nan -0.868 0x00
OBS: 59464.38 i NULL  -88.399 47.626 nan -0.585 0x00
OBS: 59469.28 i NULL  83.883 94.807 22.691 1.227 0x00
OBS: 59479.47 i NULL  91.766 106.173 22.593 1.256 0x00
OBS: 59481.44 i NULL  270.455 203.293 21.420 0.816 0x00
