SURVEY:  PS1MD
SNID:  2020mvu
otherID: 
IAUC:    UNKNOWN
RA:        183.0442700  deg
DECL:       18.4827880  deg
MWEBV:    0.027 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020mvu.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0005
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.494 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 72
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58933.50 g NULL  22.522 98.378 24.118 4.743 0x01
OBS: 58958.40 g NULL  31.157 56.568 23.766 1.971 0x00
OBS: 58964.41 g NULL  25.010 69.096 24.005 3.000 0x00
OBS: 58985.37 g NULL  -19.015 39.159 nan -2.236 0x00
OBS: 58987.34 g NULL  75.706 63.863 22.802 0.916 0x00
OBS: 58992.34 g NULL  147.924 114.906 22.075 0.843 0x09
OBS: 59013.27 g NULL  862.630 70.258 20.160 0.088 0x00
OBS: 59016.27 g NULL  1509.952 61.070 19.553 0.044 0x01
OBS: 59019.27 g NULL  1506.196 188.487 19.555 0.136 0x00
OBS: 59023.27 g NULL  1734.216 53.449 19.402 0.033 0x00
OBS: 59254.60 g NULL  -303.612 341.754 nan -1.222 0x00
OBS: 59288.53 g NULL  6.335 43.298 25.496 7.421 0x00
OBS: 59295.54 g NULL  39.021 54.045 23.522 1.504 0x00
OBS: 59307.35 g NULL  80.517 79.068 22.735 1.066 0x00
OBS: 59311.34 g NULL  62.202 48.039 23.015 0.839 0x00
OBS: 59313.30 g NULL  -59.126 53.614 nan -0.985 0x00
OBS: 59316.45 g NULL  -49.780 104.351 nan -2.276 0x00
OBS: 59322.42 g NULL  121.673 67.615 22.287 0.603 0x00
OBS: 59337.26 g NULL  55.687 53.629 23.136 1.046 0x00
OBS: 59338.27 g NULL  101.124 86.082 22.488 0.924 0x00
OBS: 59343.26 g NULL  41.738 36.780 23.449 0.957 0x00
OBS: 59345.26 g NULL  88.686 51.263 22.630 0.628 0x00
OBS: 59397.30 g NULL  20.501 98.126 24.221 5.197 0x01
OBS: 59400.28 g NULL  -20.448 74.571 nan -3.960 0x00
OBS: 59402.28 g NULL  60.653 58.245 23.043 1.043 0x00
OBS: 58942.51 r NULL  160.711 137.086 21.985 0.926 0x00
OBS: 58949.53 r NULL  99.451 128.561 22.506 1.404 0x00
OBS: 58964.42 r NULL  38.881 100.416 23.526 2.804 0x00
OBS: 58976.42 r NULL  201.381 188.931 21.740 1.019 0x00
OBS: 58987.33 r NULL  4.804 55.342 25.796 12.508 0x00
OBS: 58992.35 r NULL  -22.986 53.993 nan -2.550 0x01
OBS: 59008.28 r NULL  234.392 51.142 21.575 0.237 0x00
OBS: 59016.27 r NULL  1097.183 63.530 19.899 0.063 0x01
OBS: 59023.27 r NULL  1682.271 53.217 19.435 0.034 0x00
OBS: 59030.27 r NULL  1530.568 84.018 19.538 0.060 0x00
OBS: 59032.29 r NULL  1417.010 87.126 19.622 0.067 0x00
OBS: 59034.30 r NULL  1409.956 115.562 19.627 0.089 0x00
OBS: 59039.28 r NULL  929.165 66.799 20.080 0.078 0x00
OBS: 59041.27 r NULL  867.919 58.106 20.154 0.073 0x00
OBS: 59237.65 r NULL  -478.074 445.773 nan -1.012 0x00
OBS: 59254.59 r NULL  -267.758 240.067 nan -0.973 0x00
OBS: 59268.46 r NULL  -106.022 86.505 nan -0.886 0x01
OBS: 59276.60 r NULL  -53.221 133.814 nan -2.730 0x00
OBS: 59288.53 r NULL  56.823 34.796 23.114 0.665 0x00
OBS: 59297.49 r NULL  73.172 138.088 22.839 2.049 0x00
OBS: 59311.34 r NULL  -35.389 46.950 nan -1.440 0x00
OBS: 59322.42 r NULL  -7.936 50.553 nan -6.916 0x00
OBS: 59345.26 r NULL  33.346 61.651 23.692 2.007 0x00
OBS: 59363.32 r NULL  30.380 42.202 23.794 1.508 0x01
OBS: 59386.27 r NULL  4.627 226.228 25.837 53.085 0x00
OBS: 59388.28 r NULL  67.058 66.851 22.934 1.082 0x00
OBS: 59392.32 r NULL  0.314 71.768 28.758 248.156 0x01
OBS: 59395.30 r NULL  13.742 53.529 24.655 4.229 0x01
OBS: 59400.28 r NULL  -35.259 59.680 nan -1.838 0x00
OBS: 59402.28 r NULL  15.349 54.686 24.535 3.868 0x00
OBS: 58958.41 i NULL  14.570 58.228 24.591 4.339 0x00
OBS: 58985.37 i NULL  -61.102 52.815 nan -0.938 0x00
OBS: 59008.28 i NULL  322.239 57.598 21.230 0.194 0x00
OBS: 59013.27 i NULL  828.285 78.851 20.205 0.103 0x00
OBS: 59019.27 i NULL  1056.744 149.282 19.940 0.153 0x00
OBS: 59032.29 i NULL  1102.622 86.884 19.894 0.086 0x00
OBS: 59041.27 i NULL  827.683 72.172 20.205 0.095 0x00
OBS: 59237.64 i NULL  -46.234 243.802 nan -5.725 0x00
OBS: 59295.53 i NULL  12.206 60.408 24.784 5.373 0x00
OBS: 59313.30 i NULL  10.413 60.126 24.956 6.269 0x00
OBS: 59316.45 i NULL  -122.725 99.053 nan -0.876 0x00
OBS: 59338.27 i NULL  -155.226 83.208 nan -0.582 0x00
OBS: 59343.26 i NULL  36.700 49.428 23.588 1.462 0x00
OBS: 59370.29 i NULL  21.471 83.838 24.170 4.239 0x01
OBS: 59388.28 i NULL  24.538 70.241 24.025 3.108 0x00
OBS: 59392.32 i NULL  112.622 97.125 22.371 0.936 0x01
OBS: 59397.29 i NULL  -19.079 74.537 nan -4.242 0x00
OBS: 58949.53 z NULL  65.774 165.245 22.955 2.728 0x00
OBS: 58976.42 z NULL  114.811 245.210 22.350 2.319 0x00
OBS: 59030.28 z NULL  581.231 92.893 20.589 0.174 0x00
OBS: 59034.30 z NULL  703.989 123.105 20.381 0.190 0x00
OBS: 59039.28 z NULL  900.592 214.080 20.114 0.258 0x00
OBS: 59268.46 z NULL  58.588 104.673 23.080 1.940 0x01
OBS: 59276.60 z NULL  63.173 182.295 22.999 3.133 0x00
OBS: 59307.34 z NULL  -106.503 104.604 nan -1.066 0x00
OBS: 59333.43 z NULL  8.136 118.132 25.224 15.765 0x00
OBS: 59337.27 z NULL  102.234 91.750 22.476 0.974 0x00
OBS: 59363.32 z NULL  45.531 83.692 23.354 1.996 0x00
OBS: 59386.27 z NULL  -939.389 868.098 nan -1.003 0x00
OBS: 59395.29 z NULL  97.416 111.858 22.528 1.247 0x00
END:
