SURVEY:  PS1MD
SNID:  2020mvy
otherID: 
IAUC:    UNKNOWN
RA:        226.7620960  deg
DECL:       9.7272000  deg
MWEBV:    0.030 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020mvy.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0006
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.861 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 183
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58958.53 g NULL  -47.758 42.774 nan -0.972 0x00
OBS: 58960.45 g NULL  -41.164 40.553 nan -1.070 0x00
OBS: 58962.52 g NULL  -28.384 322.286 nan -12.328 0x00
OBS: 58966.51 g NULL  -8.125 48.143 nan -6.433 0x00
OBS: 58968.42 g NULL  -16.903 37.236 nan -2.392 0x00
OBS: 58970.42 g NULL  145.444 85.827 22.093 0.641 0x00
OBS: 58982.52 g NULL  -58.216 85.345 nan -1.592 0x00
OBS: 58986.47 g NULL  -53.815 61.497 nan -1.241 0x00
OBS: 58990.37 g NULL  -123.246 66.297 nan -0.584 0x01
OBS: 58994.42 g NULL  86.140 63.707 22.662 0.803 0x01
OBS: 58997.34 g NULL  52.014 57.841 23.210 1.207 0x00
OBS: 58999.48 g NULL  16.881 62.556 24.432 4.023 0x00
OBS: 59000.50 g NULL  -67.071 58.462 nan -0.946 0x00
OBS: 59014.41 g NULL  1045.114 55.875 19.952 0.058 0x00
OBS: 59017.28 g NULL  962.716 57.014 20.041 0.064 0x00
OBS: 59021.29 g NULL  1026.584 50.547 19.972 0.053 0x00
OBS: 59024.38 g NULL  919.940 57.560 20.091 0.068 0x00
OBS: 59027.28 g NULL  917.084 86.029 20.094 0.102 0x00
OBS: 59042.36 g NULL  387.530 62.842 21.029 0.176 0x00
OBS: 59048.29 g NULL  190.336 46.745 21.801 0.267 0x00
OBS: 59053.28 g NULL  137.261 45.410 22.156 0.359 0x00
OBS: 59071.27 g NULL  3.263 84.510 26.216 28.120 0x00
OBS: 59078.27 g NULL  83.785 56.497 22.692 0.732 0x01
OBS: 59081.27 g NULL  112.941 64.647 22.368 0.621 0x00
OBS: 59102.24 g NULL  80.393 74.548 22.737 1.007 0x00
OBS: 59106.24 g NULL  -49.054 81.646 nan -1.807 0x01
OBS: 59110.23 g NULL  83.348 115.031 22.698 1.498 0x01
OBS: 59115.23 g NULL  -84.003 162.390 nan -2.099 0x09
OBS: 59291.53 g NULL  42.940 64.001 23.418 1.618 0x00
OBS: 59295.54 g NULL  -97.921 55.491 nan -0.615 0x00
OBS: 59310.48 g NULL  11.305 46.099 24.867 4.427 0x00
OBS: 59316.41 g NULL  -1.615 79.084 nan -53.167 0x00
OBS: 59320.54 g NULL  -87.707 62.105 nan -0.769 0x00
OBS: 59323.43 g NULL  108.563 71.849 22.411 0.719 0x00
OBS: 59337.51 g NULL  27.013 72.821 23.921 2.927 0x00
OBS: 59343.38 g NULL  -6.010 57.731 nan -10.429 0x00
OBS: 59346.39 g NULL  30.659 54.215 23.784 1.920 0x00
OBS: 59350.38 g NULL  43.236 69.779 23.410 1.752 0x00
OBS: 59354.37 g NULL  -70.928 66.326 nan -1.015 0x00
OBS: 59355.37 g NULL  -2.039 55.248 nan -29.419 0x00
OBS: 59367.33 g NULL  -74.590 38.523 nan -0.561 0x00
OBS: 59371.45 g NULL  1.189 85.804 27.312 78.352 0x00
OBS: 59374.45 g NULL  -130.485 70.761 nan -0.589 0x00
OBS: 59377.49 g NULL  62.581 67.420 23.009 1.170 0x00
