SURVEY:  PS1MD
SNID:  2020nhj
otherID: 
IAUC:    UNKNOWN
RA:        242.6514480  deg
DECL:       20.1011640  deg
MWEBV:    0.044 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020nhj.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0059
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.492 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 112
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58868.65 g NULL  139.988 55.505 22.135 0.430 0x00
OBS: 58873.64 g NULL  68.894 58.588 22.905 0.923 0x00
OBS: 58875.63 g NULL  96.499 45.925 22.539 0.517 0x00
OBS: 58878.66 g NULL  611.879 359.900 20.533 0.639 0x00
OBS: 58882.66 g NULL  33.897 66.511 23.675 2.130 0x00
OBS: 58931.51 g NULL  -42.010 76.657 nan -1.981 0x00
OBS: 58933.52 g NULL  -106.311 102.782 nan -1.050 0x00
OBS: 58955.47 g NULL  -36.188 43.981 nan -1.320 0x00
OBS: 58959.59 g NULL  53.550 43.869 23.178 0.889 0x00
OBS: 58961.57 g NULL  63.148 44.949 22.999 0.773 0x00
OBS: 58966.57 g NULL  97.595 57.474 22.526 0.639 0x00
OBS: 58968.54 g NULL  4.977 37.534 25.758 8.188 0x00
OBS: 58971.40 g NULL  37.643 79.090 23.561 2.281 0x00
OBS: 58982.51 g NULL  -8.288 97.035 nan -12.712 0x01
OBS: 58984.49 g NULL  40.945 36.792 23.469 0.976 0x00
OBS: 58994.49 g NULL  57.466 59.406 23.101 1.122 0x00
OBS: 59000.50 g NULL  10.948 42.619 24.902 4.227 0x00
OBS: 59015.30 g NULL  97.195 44.603 22.531 0.498 0x00
OBS: 59023.38 g NULL  218.670 40.471 21.651 0.201 0x00
OBS: 59029.30 g NULL  238.408 51.805 21.557 0.236 0x00
OBS: 59043.35 g NULL  190.697 54.522 21.799 0.310 0x00
OBS: 59047.36 g NULL  121.097 57.823 22.292 0.518 0x00
OBS: 59051.34 g NULL  66.201 43.054 22.948 0.706 0x00
OBS: 59255.62 g NULL  26.419 70.447 23.945 2.895 0x00
OBS: 59262.63 g NULL  81.592 49.047 22.721 0.653 0x00
OBS: 59292.51 g NULL  30.743 57.752 23.781 2.040 0x00
OBS: 59310.50 g NULL  2.554 46.573 26.482 19.799 0x00
OBS: 59317.50 g NULL  3.134 46.622 26.260 16.152 0x00
OBS: 59321.58 g NULL  -3.567 46.851 nan -14.261 0x00
OBS: 59342.55 g NULL  -19.450 58.191 nan -3.248 0x00
OBS: 59345.56 g NULL  27.592 40.238 23.898 1.583 0x00
OBS: 59353.52 g NULL  -89.013 56.792 nan -0.693 0x00
OBS: 59354.38 g NULL  -33.499 91.576 nan -2.968 0x01
OBS: 59355.38 g NULL  101.137 85.509 22.488 0.918 0x01
OBS: 59371.51 g NULL  104.228 92.066 22.455 0.959 0x00
OBS: 59374.47 g NULL  150.993 113.027 22.053 0.813 0x00
OBS: 59378.45 g NULL  37.499 52.852 23.565 1.530 0x00
OBS: 59381.45 g NULL  21.220 51.861 24.183 2.654 0x00
OBS: 59401.36 g NULL  301.058 93.170 21.303 0.336 0x01
OBS: 59408.40 g NULL  95.119 33.859 22.554 0.386 0x00
OBS: 58868.65 r NULL  53.486 57.883 23.179 1.175 0x00
OBS: 58873.64 r NULL  -147.606 52.035 nan -0.383 0x00
OBS: 58878.66 r NULL  73.116 98.062 22.840 1.456 0x00
OBS: 58931.52 r NULL  6.186 46.499 25.521 8.161 0x00
OBS: 58942.50 r NULL  -193.865 189.061 nan -1.059 0x00
OBS: 58947.61 r NULL  -124.656 150.491 nan -1.311 0x00
OBS: 58951.47 r NULL  162.957 105.793 21.970 0.705 0x00
OBS: 58961.58 r NULL  15.162 47.034 24.548 3.368 0x00
OBS: 58968.55 r NULL  28.985 39.325 23.845 1.473 0x00
OBS: 58973.58 r NULL  76.170 71.632 22.796 1.021 0x00
OBS: 58978.56 r NULL  -213.269 135.554 nan -0.690 0x00
OBS: 59006.48 r NULL  -189.352 169.715 nan -0.973 0x00
OBS: 59008.30 r NULL  -14.203 54.035 nan -4.131 0x00
OBS: 59011.52 r NULL  -77.543 114.861 nan -1.608 0x00
OBS: 59023.38 r NULL  292.142 36.377 21.336 0.135 0x00
OBS: 59033.40 r NULL  270.257 83.801 21.421 0.337 0x00
OBS: 59037.37 r NULL  250.028 76.575 21.505 0.333 0x00
OBS: 59040.37 r NULL  301.441 64.869 21.302 0.234 0x00
OBS: 59051.34 r NULL  209.871 42.889 21.695 0.222 0x00
OBS: 59268.59 r NULL  118.215 104.737 22.318 0.962 0x00
OBS: 59292.51 r NULL  28.699 52.820 23.855 1.998 0x00
OBS: 59297.53 r NULL  15.643 108.649 24.514 7.541 0x00
OBS: 59299.55 r NULL  -41.333 78.480 nan -2.062 0x01
OBS: 59300.53 r NULL  564.715 1505.913 20.620 2.895 0x00
OBS: 59317.50 r NULL  50.704 51.449 23.237 1.102 0x00
OBS: 59326.47 r NULL  8.573 93.397 25.167 11.828 0x00
OBS: 59336.61 r NULL  -164.709 131.749 nan -0.868 0x00
OBS: 59342.56 r NULL  109.349 50.053 22.403 0.497 0x00
OBS: 59363.50 r NULL  18.592 73.106 24.327 4.269 0x00
OBS: 59374.47 r NULL  96.602 68.954 22.538 0.775 0x00
OBS: 59381.44 r NULL  46.953 36.915 23.321 0.854 0x00
