SURVEY:  PS1MD
SNID:  2020ofp
otherID: 
IAUC:    UNKNOWN
RA:        226.2024600  deg
DECL:       -2.6023670  deg
MWEBV:    0.085 +- 0.004 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020ofp.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0015
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.454 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 93
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58931.51 g NULL  -12.235 69.778 nan -6.192 0x00
OBS: 58940.61 g NULL  223.148 102.359 21.629 0.498 0x00
OBS: 58983.47 g NULL  88.043 88.657 22.638 1.093 0x00
OBS: 58988.48 g NULL  -15.477 67.353 nan -4.725 0x01
OBS: 58997.33 g NULL  -70.447 74.645 nan -1.150 0x00
OBS: 58999.37 g NULL  192.706 68.792 21.788 0.388 0x00
OBS: 59000.27 g NULL  127.158 87.946 22.239 0.751 0x00
OBS: 59018.32 g NULL  929.194 123.680 20.080 0.145 0x01
OBS: 59022.28 g NULL  1235.505 58.034 19.770 0.051 0x00
OBS: 59048.29 g NULL  260.160 51.237 21.462 0.214 0x00
OBS: 59052.41 g NULL  -85.611 124.763 nan -1.582 0x00
OBS: 59071.28 g NULL  78.908 75.821 22.757 1.043 0x00
OBS: 59104.25 g NULL  95.816 136.890 22.546 1.551 0x00
OBS: 59291.54 g NULL  167.823 77.216 21.938 0.500 0x00
OBS: 59316.44 g NULL  67.300 87.513 22.930 1.412 0x00
OBS: 59349.37 g NULL  92.222 72.960 22.588 0.859 0x00
OBS: 59354.37 g NULL  106.162 73.032 22.435 0.747 0x00
OBS: 59355.36 g NULL  166.947 85.373 21.944 0.555 0x00
OBS: 59375.37 g NULL  121.205 99.305 22.291 0.890 0x00
OBS: 59381.33 g NULL  280.779 87.981 21.379 0.340 0x00
OBS: 59383.27 g NULL  -228.563 73.515 nan -0.349 0x00
OBS: 59397.30 g NULL  203.675 66.136 21.728 0.353 0x00
OBS: 59408.28 g NULL  44.975 73.341 23.368 1.771 0x00
OBS: 59426.28 g NULL  63.176 81.663 22.999 1.403 0x00
OBS: 59430.27 g NULL  -36.413 73.202 nan -2.183 0x00
OBS: 59432.28 g NULL  -135.351 109.164 nan -0.876 0x00
OBS: 59435.28 g NULL  126.847 75.349 22.242 0.645 0x00
OBS: 59437.27 g NULL  94.204 125.915 22.565 1.451 0x00
OBS: 59465.24 g NULL  61.152 187.879 23.034 3.336 0x09
OBS: 58918.60 r NULL  581.974 137.135 20.588 0.256 0x00
OBS: 58931.51 r NULL  137.621 66.346 22.153 0.523 0x00
OBS: 58972.44 r NULL  194.281 79.308 21.779 0.443 0x00
OBS: 58988.49 r NULL  144.501 67.223 22.100 0.505 0x00
OBS: 59007.29 r NULL  123.412 96.528 22.272 0.849 0x00
OBS: 59011.30 r NULL  152.573 120.446 22.041 0.857 0x01
OBS: 59018.32 r NULL  1042.270 112.673 19.955 0.117 0x00
OBS: 59022.28 r NULL  1221.557 64.003 19.783 0.057 0x00
OBS: 59048.28 r NULL  956.725 72.032 20.048 0.082 0x00
OBS: 59061.29 r NULL  398.987 109.227 20.998 0.297 0x00
OBS: 59065.29 r NULL  200.942 71.605 21.742 0.387 0x01
OBS: 59097.27 r NULL  271.131 146.256 21.417 0.586 0x00
OBS: 59100.24 r NULL  167.534 90.099 21.940 0.584 0x00
OBS: 59291.54 r NULL  177.360 64.262 21.878 0.393 0x00
OBS: 59300.51 r NULL  2619.058 1588.629 18.955 0.659 0x00
OBS: 59316.44 r NULL  116.116 82.363 22.338 0.770 0x00
OBS: 59327.43 r NULL  1.774 101.705 26.878 62.246 0x00
OBS: 59328.45 r NULL  8.287 130.164 25.204 17.054 0x00
OBS: 59390.29 r NULL  105.603 134.052 22.441 1.378 0x00
OBS: 59393.29 r NULL  236.864 80.985 21.564 0.371 0x00
OBS: 59394.30 r NULL  88.295 47.711 22.635 0.587 0x00
OBS: 59395.40 r NULL  157.327 48.607 22.008 0.335 0x00
OBS: 59408.28 r NULL  357.528 74.279 21.117 0.226 0x00
OBS: 59417.28 r NULL  78.522 404.107 22.763 5.588 0x00
OBS: 59419.29 r NULL  159.232 159.641 21.995 1.089 0x00
OBS: 59424.27 r NULL  410.143 87.470 20.968 0.232 0x00
OBS: 59430.27 r NULL  203.283 80.188 21.730 0.428 0x00
OBS: 59435.28 r NULL  32.909 65.068 23.707 2.147 0x00
OBS: 59444.27 r NULL  271.492 120.186 21.416 0.481 0x00
OBS: 59448.28 r NULL  -41.574 115.247 nan -3.010 0x00
OBS: 59453.26 r NULL  -81.411 101.510 nan -1.354 0x00
OBS: 59454.25 r NULL  73.742 77.495 22.831 1.141 0x00
OBS: 59465.25 r NULL  125.121 122.218 22.257 1.061 0x09
OBS: 58918.60 i NULL  400.209 153.561 20.994 0.417 0x00
OBS: 58997.33 i NULL  130.230 103.238 22.213 0.861 0x00
OBS: 58999.37 i NULL  -100.898 78.693 nan -0.847 0x00
OBS: 59007.29 i NULL  46.280 116.969 23.337 2.744 0x00
OBS: 59052.41 i NULL  495.802 136.648 20.762 0.299 0x00
OBS: 59061.29 i NULL  457.743 126.882 20.848 0.301 0x00
OBS: 59071.28 i NULL  323.059 79.477 21.227 0.267 0x00
OBS: 59097.27 i NULL  -19.643 154.577 nan -8.544 0x00
OBS: 59100.25 i NULL  261.763 113.063 21.455 0.469 0x00
OBS: 59104.25 i NULL  79.904 133.354 22.744 1.812 0x00
OBS: 59328.45 i NULL  -99.074 142.136 nan -1.558 0x00
OBS: 59349.37 i NULL  236.701 120.866 21.564 0.554 0x00
OBS: 59354.36 i NULL  105.446 87.762 22.442 0.904 0x00
OBS: 59356.37 i NULL  343.407 93.541 21.160 0.296 0x01
OBS: 59375.36 i NULL  206.574 144.078 21.712 0.757 0x00
OBS: 59381.33 i NULL  113.088 80.531 22.366 0.773 0x00
OBS: 59383.27 i NULL  -96.524 89.805 nan -1.010 0x00
OBS: 59393.29 i NULL  11.603 69.150 24.839 6.471 0x00
OBS: 59395.39 i NULL  24.037 93.696 24.048 4.232 0x00
OBS: 59419.29 i NULL  425.466 437.862 20.928 1.117 0x00
OBS: 59424.27 i NULL  476.107 104.159 20.806 0.238 0x00
OBS: 59426.28 i NULL  190.463 93.749 21.800 0.534 0x00
OBS: 59432.28 i NULL  241.130 147.135 21.544 0.663 0x00
OBS: 59437.27 i NULL  264.416 113.368 21.444 0.466 0x00
OBS: 58940.61 z NULL  104.662 165.329 22.451 1.715 0x00
OBS: 58972.45 z NULL  45.233 150.816 23.361 3.620 0x00
OBS: 58983.48 z NULL  570.960 151.796 20.608 0.289 0x00
OBS: 59000.27 z NULL  266.019 111.689 21.438 0.456 0x00
OBS: 59295.55 z NULL  770.166 142.828 20.284 0.201 0x01
OBS: 59300.52 z NULL  1886.015 659.930 19.311 0.380 0x00
OBS: 59327.44 z NULL  178.020 147.948 21.874 0.902 0x00
OBS: 59355.36 z NULL  181.857 133.975 21.851 0.800 0x00
OBS: 59390.29 z NULL  21.881 178.420 24.150 8.853 0x00
OBS: 59394.30 z NULL  -48.646 92.302 nan -2.060 0x00
OBS: 59397.31 z NULL  180.751 106.816 21.857 0.642 0x00
OBS: 59417.28 z NULL  418.698 808.899 20.945 2.098 0x00
OBS: 59444.28 z NULL  956.503 156.340 20.048 0.177 0x00
OBS: 59448.28 z NULL  120.931 122.237 22.294 1.097 0x00
OBS: 59454.25 z NULL  532.974 148.472 20.683 0.302 0x00
END:
