SURVEY:  PS1MD
SNID:  2020oiv
otherID: 
IAUC:    UNKNOWN
RA:        219.4583810  deg
DECL:       43.2055340  deg
MWEBV:    0.013 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020oiv.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0056
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.115 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 151
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58868.66 g NULL  54.631 70.992 23.156 1.411 0x01
OBS: 58873.62 g NULL  36.280 56.332 23.601 1.686 0x00
OBS: 58877.64 g NULL  -96.218 97.284 nan -1.098 0x00
OBS: 58965.48 g NULL  114.269 87.107 22.355 0.828 0x00
OBS: 58969.38 g NULL  -7.914 138.871 nan -19.052 0x00
OBS: 58971.41 g NULL  46.582 72.447 23.329 1.689 0x00
OBS: 58972.43 g NULL  -100.476 103.391 nan -1.117 0x00
OBS: 58984.29 g NULL  -106.664 49.956 nan -0.509 0x00
OBS: 58987.38 g NULL  -89.205 70.317 nan -0.856 0x00
OBS: 58997.32 g NULL  -19.615 48.447 nan -2.682 0x00
OBS: 59014.42 g NULL  -41.884 77.242 nan -2.002 0x00
OBS: 59017.29 g NULL  -49.845 47.243 nan -1.029 0x00
OBS: 59026.28 g NULL  -117.275 81.103 nan -0.751 0x00
OBS: 59028.28 g NULL  303.634 72.388 21.294 0.259 0x00
OBS: 59058.29 g NULL  53.478 117.810 23.180 2.392 0x00
OBS: 59072.27 g NULL  151.626 64.445 22.048 0.461 0x00
OBS: 59074.28 g NULL  63.667 47.030 22.990 0.802 0x00
OBS: 59078.25 g NULL  -5.927 52.971 nan -9.703 0x00
OBS: 59081.25 g NULL  6.984 0.000 25.390 0.000 0x00
OBS: 59104.24 g NULL  56.107 77.663 23.127 1.503 0x00
OBS: 59226.63 g NULL  28.607 62.788 23.859 2.383 0x00
OBS: 59230.66 g NULL  -94.834 61.671 nan -0.706 0x00
OBS: 59236.66 g NULL  25.547 63.825 23.982 2.713 0x00
OBS: 59257.57 g NULL  -28.504 51.469 nan -1.960 0x00
OBS: 59292.56 g NULL  -38.208 66.977 nan -1.903 0x00
OBS: 59296.52 g NULL  289.696 168.169 21.345 0.630 0x00
OBS: 59313.53 g NULL  -28.300 53.645 nan -2.058 0x00
OBS: 59317.49 g NULL  -45.852 65.351 nan -1.547 0x00
OBS: 59344.33 g NULL  107.749 53.619 22.419 0.540 0x00
OBS: 59349.46 g NULL  -115.340 91.880 nan -0.865 0x00
OBS: 59367.35 g NULL  -72.795 49.541 nan -0.739 0x00
OBS: 59372.34 g NULL  -52.050 55.340 nan -1.154 0x00
OBS: 59376.39 g NULL  33.930 52.793 23.674 1.689 0x00
OBS: 59380.35 g NULL  78.136 132.733 22.768 1.844 0x00
OBS: 59382.27 g NULL  -135.143 46.519 nan -0.374 0x00
OBS: 59383.27 g NULL  -66.020 61.412 nan -1.010 0x00
OBS: 59384.27 g NULL  -51.969 107.381 nan -2.243 0x00
OBS: 59398.30 g NULL  -118.436 124.565 nan -1.142 0x00
OBS: 58868.65 r NULL  -19.552 47.552 nan -2.641 0x00
OBS: 58873.62 r NULL  -44.358 50.513 nan -1.236 0x00
OBS: 58933.52 r NULL  -36.842 121.222 nan -3.572 0x00
OBS: 58942.48 r NULL  41.120 122.969 23.465 3.247 0x00
OBS: 58947.52 r NULL  42.317 110.778 23.434 2.842 0x00
OBS: 58950.58 r NULL  -212.292 221.167 nan -1.131 0x01
OBS: 58965.49 r NULL  -158.572 92.880 nan -0.636 0x00
OBS: 58974.42 r NULL  13.556 112.840 24.670 9.038 0x00
OBS: 58975.43 r NULL  -17.510 99.630 nan -6.178 0x00
OBS: 58980.38 r NULL  -118.033 39.454 nan -0.363 0x00
OBS: 59005.33 r NULL  99.226 128.940 22.508 1.411 0x00
OBS: 59009.36 r NULL  89.741 57.495 22.618 0.696 0x00
OBS: 59017.29 r NULL  67.236 50.443 22.931 0.815 0x00
OBS: 59030.28 r NULL  342.397 54.407 21.164 0.173 0x00
OBS: 59033.28 r NULL  403.166 62.963 20.986 0.170 0x00
OBS: 59037.27 r NULL  319.723 48.219 21.238 0.164 0x00
OBS: 59040.27 r NULL  287.747 57.185 21.352 0.216 0x00
OBS: 59061.28 r NULL  126.244 91.561 22.247 0.787 0x00
OBS: 59064.29 r NULL  12.497 105.755 24.758 9.188 0x00
OBS: 59066.27 r NULL  182.962 81.474 21.844 0.483 0x00
OBS: 59070.29 r NULL  112.790 84.106 22.369 0.810 0x00
OBS: 59081.25 r NULL  255.546 82.977 21.481 0.353 0x01
OBS: 59093.25 r NULL  12.256 93.859 24.779 8.315 0x00
OBS: 59095.25 r NULL  132.731 67.831 22.193 0.555 0x00
OBS: 59097.24 r NULL  51.346 53.092 23.224 1.123 0x00
OBS: 59100.24 r NULL  57.418 61.415 23.102 1.161 0x00
OBS: 59217.64 r NULL  56.900 80.381 23.112 1.534 0x00
OBS: 59226.63 r NULL  15.568 60.046 24.519 4.188 0x01
OBS: 59238.58 r NULL  158.372 98.428 22.001 0.675 0x00
OBS: 59242.64 r NULL  -9.237 196.518 nan -23.099 0x00
OBS: 59244.62 r NULL  38.182 177.865 23.545 5.058 0x00
OBS: 59245.66 r NULL  17.770 97.479 24.376 5.956 0x00
OBS: 59246.64 r NULL  -94.757 95.054 nan -1.089 0x00
OBS: 59270.58 r NULL  78.828 131.291 22.758 1.808 0x00
OBS: 59298.51 r NULL  -9.432 77.812 nan -8.957 0x00
OBS: 59300.50 r NULL  -202.503 281.501 nan -1.509 0x00
OBS: 59303.53 r NULL  61.789 128.504 23.023 2.258 0x00
OBS: 59304.51 r NULL  69.891 99.560 22.889 1.547 0x00
OBS: 59313.53 r NULL  84.333 50.950 22.685 0.656 0x00
OBS: 59326.39 r NULL  115.271 117.698 22.346 1.109 0x00
OBS: 59328.46 r NULL  120.778 159.415 22.295 1.433 0x00
OBS: 59331.40 r NULL  -11.003 152.920 nan -15.090 0x00
OBS: 59336.45 r NULL  57.220 84.413 23.106 1.602 0x01
OBS: 59359.41 r NULL  25.400 96.416 23.988 4.121 0x00
OBS: 59361.46 r NULL  -39.659 90.328 nan -2.473 0x00
OBS: 59364.40 r NULL  -21.143 52.316 nan -2.687 0x00
OBS: 59372.34 r NULL  64.803 56.830 22.971 0.952 0x00
OBS: 59380.35 r NULL  72.012 116.262 22.856 1.753 0x00
OBS: 59386.33 r NULL  104.149 163.918 22.456 1.709 0x00
OBS: 59388.31 r NULL  -104.591 66.943 nan -0.695 0x00
OBS: 59391.30 r NULL  32.557 68.571 23.718 2.287 0x00
OBS: 58877.64 i NULL  -76.156 96.202 nan -1.372 0x00
OBS: 58942.48 i NULL  71.504 164.990 22.864 2.505 0x00
OBS: 58971.42 i NULL  -132.165 66.379 nan -0.545 0x00
OBS: 58975.43 i NULL  -45.206 97.823 nan -2.349 0x00
OBS: 58980.37 i NULL  -16.054 47.939 nan -3.242 0x00
OBS: 58987.39 i NULL  -38.855 73.838 nan -2.063 0x00
OBS: 58992.29 i NULL  -89.334 71.316 nan -0.867 0x09
OBS: 58997.32 i NULL  -9.681 55.206 nan -6.191 0x00
OBS: 58999.37 i NULL  -99.406 69.054 nan -0.754 0x01
OBS: 59005.33 i NULL  119.798 157.260 22.304 1.425 0x00
OBS: 59014.42 i NULL  116.458 73.297 22.335 0.683 0x00
OBS: 59021.29 i NULL  17.150 61.191 24.414 3.874 0x00
OBS: 59026.29 i NULL  -426.219 106.223 nan -0.271 0x09
OBS: 59030.29 i NULL  371.594 69.244 21.075 0.202 0x00
OBS: 59037.27 i NULL  419.377 47.143 20.943 0.122 0x00
OBS: 59058.29 i NULL  255.766 110.298 21.480 0.468 0x00
OBS: 59061.28 i NULL  170.864 79.098 21.918 0.503 0x00
OBS: 59066.27 i NULL  171.710 77.751 21.913 0.492 0x00
OBS: 59070.28 i NULL  155.906 113.096 22.018 0.788 0x00
OBS: 59074.27 i NULL  207.974 61.096 21.705 0.319 0x00
OBS: 59078.26 i NULL  18.243 66.414 24.347 3.953 0x00
OBS: 59217.64 i NULL  101.722 80.453 22.481 0.859 0x00
OBS: 59230.66 i NULL  -86.350 57.146 nan -0.719 0x00
OBS: 59236.66 i NULL  58.476 88.631 23.083 1.646 0x00
