SURVEY:  PS1MD
SNID:  2020ovk
otherID: 
IAUC:    UNKNOWN
RA:        358.5738560  deg
DECL:       26.3267040  deg
MWEBV:    0.046 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020ovk.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0006
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.494 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 28
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59049.58 g NULL  8104.342 163.407 17.728 0.022 0x00
OBS: 59113.48 g NULL  1953.482 82.910 19.273 0.046 0x00
OBS: 59400.57 g NULL  23.240 69.358 24.084 3.240 0x00
OBS: 59431.47 g NULL  7.858 52.950 25.262 7.316 0x00
OBS: 59435.45 g NULL  -15.301 56.358 nan -3.999 0x00
OBS: 59438.46 g NULL  47.924 36.489 23.299 0.827 0x00
OBS: 59441.59 g NULL  59.084 58.799 23.071 1.080 0x00
OBS: 59493.48 g NULL  6.213 51.405 25.517 8.983 0x00
OBS: 59519.27 g NULL  -83.158 78.111 nan -1.020 0x00
OBS: 59526.21 g NULL  89.216 34.226 22.624 0.417 0x00
OBS: 59049.58 r NULL  7798.292 132.545 17.770 0.018 0x00
OBS: 59113.48 r NULL  3729.471 113.977 18.571 0.033 0x00
OBS: 59156.37 r NULL  971.405 72.143 20.031 0.081 0x00
OBS: 59415.50 r NULL  -100.827 84.938 nan -0.915 0x01
OBS: 59421.52 r NULL  -5.283 155.145 nan -31.885 0x00
OBS: 59435.45 r NULL  -20.342 49.546 nan -2.644 0x00
OBS: 59447.43 r NULL  26.124 66.678 23.957 2.771 0x00
OBS: 59475.51 r NULL  144.644 452.734 22.099 3.398 0x00
OBS: 59519.27 r NULL  116.501 57.458 22.334 0.535 0x00
OBS: 59400.56 i NULL  60.971 62.554 23.037 1.114 0x00
OBS: 59415.50 i NULL  9.178 88.487 25.093 10.468 0x00
OBS: 59421.52 i NULL  47.007 116.605 23.320 2.693 0x00
OBS: 59431.47 i NULL  90.130 59.705 22.613 0.719 0x00
OBS: 59438.45 i NULL  -15.646 52.056 nan -3.612 0x00
OBS: 59441.58 i NULL  65.534 49.680 22.959 0.823 0x00
OBS: 59447.44 i NULL  -54.934 69.385 nan -1.371 0x00
OBS: 59493.49 i NULL  92.666 47.290 22.583 0.554 0x00
OBS: 59156.37 z NULL  1561.747 109.255 19.516 0.076 0x00
OBS: 59475.51 z NULL  -345.442 479.429 nan -1.507 0x00
END:
