SURVEY:  PS1MD
SNID:  2020pcz
otherID: 
IAUC:    UNKNOWN
RA:        241.8197580  deg
DECL:       20.3962610  deg
MWEBV:    0.049 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020pcz.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0012
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.072 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 105
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58868.65 g NULL  -83.160 58.209 nan -0.760 0x00
OBS: 58873.64 g NULL  53.600 57.077 23.177 1.156 0x00
OBS: 58875.63 g NULL  6.666 71.529 25.440 11.650 0x01
OBS: 58878.66 g NULL  139.472 298.163 22.139 2.321 0x00
OBS: 58882.66 g NULL  96.524 83.640 22.538 0.941 0x00
OBS: 58931.51 g NULL  -8.323 106.062 nan -13.836 0x09
OBS: 58933.52 g NULL  -38.509 108.488 nan -3.059 0x00
OBS: 58955.47 g NULL  -36.257 49.326 nan -1.477 0x00
OBS: 58959.59 g NULL  -30.581 38.071 nan -1.352 0x01
OBS: 58966.57 g NULL  13.343 47.030 24.687 3.827 0x00
OBS: 58971.40 g NULL  -69.900 72.589 nan -1.128 0x00
OBS: 58984.49 g NULL  461.172 51.699 20.840 0.122 0x00
OBS: 58990.38 g NULL  313.607 48.888 21.259 0.169 0x00
OBS: 58998.36 g NULL  258.305 47.553 21.470 0.200 0x00
OBS: 59000.50 g NULL  346.745 42.390 21.150 0.133 0x01
OBS: 59015.30 g NULL  131.806 45.306 22.200 0.373 0x00
OBS: 59023.38 g NULL  179.794 42.729 21.863 0.258 0x00
OBS: 59027.28 g NULL  158.074 53.490 22.003 0.367 0x00
OBS: 59047.36 g NULL  133.330 47.898 22.188 0.390 0x00
OBS: 59051.34 g NULL  45.796 34.085 23.348 0.808 0x00
OBS: 59255.62 g NULL  16.846 66.803 24.434 4.305 0x00
OBS: 59262.63 g NULL  -2.426 44.870 nan -20.081 0x01
OBS: 59310.50 g NULL  57.364 56.965 23.103 1.078 0x00
OBS: 59311.47 g NULL  107.998 65.434 22.416 0.658 0x00
OBS: 59317.50 g NULL  136.914 58.791 22.159 0.466 0x00
OBS: 59342.55 g NULL  134.951 45.009 22.175 0.362 0x00
OBS: 59345.56 g NULL  44.285 39.007 23.384 0.956 0x00
OBS: 59349.38 g NULL  381.654 205.705 21.046 0.585 0x00
OBS: 59353.52 g NULL  37.798 49.562 23.556 1.424 0x00
OBS: 59354.38 g NULL  2.410 91.462 26.545 41.205 0x00
OBS: 59355.38 g NULL  64.657 82.111 22.973 1.379 0x00
OBS: 59367.35 g NULL  138.873 70.771 22.143 0.553 0x00
OBS: 59371.51 g NULL  -158.385 84.549 nan -0.580 0x00
OBS: 59374.47 g NULL  257.685 85.466 21.472 0.360 0x00
OBS: 59378.45 g NULL  176.416 55.839 21.884 0.344 0x00
OBS: 59381.45 g NULL  10.896 51.636 24.907 5.145 0x00
OBS: 58868.65 r NULL  -15.957 57.493 nan -3.912 0x00
OBS: 58873.64 r NULL  26.466 48.531 23.943 1.991 0x00
OBS: 58878.66 r NULL  -210.944 236.880 nan -1.219 0x00
OBS: 58931.52 r NULL  39.246 42.809 23.516 1.184 0x00
OBS: 58942.50 r NULL  279.375 172.852 21.385 0.672 0x00
OBS: 58951.47 r NULL  73.467 102.079 22.835 1.509 0x00
OBS: 58974.43 r NULL  41.107 102.186 23.465 2.699 0x00
OBS: 58978.56 r NULL  -133.889 123.450 nan -1.001 0x00
OBS: 58990.38 r NULL  466.946 32.237 20.827 0.075 0x00
OBS: 59006.48 r NULL  264.686 150.214 21.443 0.616 0x00
OBS: 59008.30 r NULL  383.888 66.556 21.039 0.188 0x00
OBS: 59011.52 r NULL  430.013 144.489 20.916 0.365 0x00
OBS: 59023.38 r NULL  392.645 40.303 21.015 0.111 0x00
OBS: 59033.40 r NULL  458.309 89.237 20.847 0.211 0x00
