SURVEY:  PS1MD
SNID:  2020pfs
otherID: 
IAUC:    UNKNOWN
RA:        247.2545370  deg
DECL:       33.0022330  deg
MWEBV:    0.018 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020pfs.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0079
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.031 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 201
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58931.57 g NULL  -7.159 47.828 nan -7.254 0x00
OBS: 58935.59 g NULL  212.350 117.138 21.682 0.599 0x00
OBS: 58955.48 g NULL  28.123 66.559 23.877 2.570 0x00
OBS: 58956.47 g NULL  58.394 52.568 23.084 0.977 0x00
OBS: 58958.52 g NULL  -51.526 42.950 nan -0.905 0x00
OBS: 58962.48 g NULL  -179.744 157.953 nan -0.954 0x00
OBS: 58968.48 g NULL  -24.607 40.137 nan -1.771 0x00
OBS: 58970.49 g NULL  65.436 75.123 22.960 1.246 0x01
OBS: 58989.52 g NULL  -32.266 46.527 nan -1.566 0x00
OBS: 58993.38 g NULL  53.862 89.757 23.172 1.809 0x00
OBS: 58995.47 g NULL  -97.533 38.730 nan -0.431 0x00
OBS: 58998.36 g NULL  32.708 32.850 23.713 1.090 0x00
OBS: 59000.51 g NULL  5.696 33.420 25.611 6.370 0x00
OBS: 59013.45 g NULL  0.453 94.268 28.360 225.939 0x00
OBS: 59016.35 g NULL  71.846 59.937 22.859 0.906 0x00
OBS: 59020.33 g NULL  96.282 47.315 22.541 0.534 0x00
OBS: 59024.44 g NULL  376.245 40.528 21.061 0.117 0x00
OBS: 59028.29 g NULL  269.973 50.077 21.422 0.201 0x00
OBS: 59029.30 g NULL  260.674 52.712 21.460 0.220 0x00
OBS: 59042.30 g NULL  158.299 32.738 22.001 0.225 0x00
OBS: 59045.28 g NULL  44.170 67.819 23.387 1.667 0x00
OBS: 59049.32 g NULL  50.698 52.469 23.238 1.124 0x01
OBS: 59050.39 g NULL  114.847 68.230 22.350 0.645 0x00
OBS: 59054.28 g NULL  136.209 48.084 22.164 0.383 0x00
OBS: 59071.38 g NULL  -60.849 87.642 nan -1.564 0x00
OBS: 59073.27 g NULL  19.510 77.358 24.274 4.305 0x00
OBS: 59075.27 g NULL  -3.702 67.347 nan -19.752 0x00
OBS: 59077.27 g NULL  16.295 43.368 24.470 2.890 0x00
OBS: 59079.27 g NULL  -21.446 28.467 nan -1.441 0x00
OBS: 59082.31 g NULL  -19.668 53.218 nan -2.938 0x00
OBS: 59083.25 g NULL  -50.211 58.053 nan -1.255 0x01
OBS: 59102.26 g NULL  14.180 39.036 24.621 2.989 0x00
OBS: 59108.24 g NULL  -19.675 43.629 nan -2.408 0x00
OBS: 59110.24 g NULL  -50.044 46.382 nan -1.006 0x00
OBS: 59114.23 g NULL  2.676 81.117 26.431 32.912 0x00
OBS: 59131.23 g NULL  -70.116 59.619 nan -0.923 0x01
OBS: 59139.22 g NULL  -25.067 52.610 nan -2.279 0x00
OBS: 59313.52 g NULL  50.449 43.526 23.243 0.937 0x00
OBS: 59314.48 g NULL  -18.294 40.826 nan -2.423 0x00
OBS: 59318.50 g NULL  -43.359 36.570 nan -0.916 0x00
OBS: 59337.51 g NULL  124.272 65.517 22.264 0.572 0x00
OBS: 59343.39 g NULL  27.742 45.154 23.892 1.767 0x00
OBS: 59347.54 g NULL  41.683 49.676 23.450 1.294 0x00
OBS: 59354.36 g NULL  31.881 63.475 23.741 2.162 0x00
OBS: 59355.37 g NULL  -9.128 57.133 nan -6.796 0x00
OBS: 59366.33 g NULL  -29.559 50.072 nan -1.839 0x09
OBS: 59369.46 g NULL  -230.590 110.028 nan -0.518 0x00
OBS: 59370.45 g NULL  95.796 92.955 22.547 1.054 0x00
OBS: 59373.34 g NULL  -18.168 31.870 nan -1.905 0x00
OBS: 59377.50 g NULL  35.151 47.759 23.635 1.475 0x00
OBS: 59381.45 g NULL  105.460 50.698 22.442 0.522 0x00
OBS: 59384.28 g NULL  85.426 105.264 22.671 1.338 0x00
OBS: 59408.40 g NULL  20.286 35.239 24.232 1.886 0x00
OBS: 59412.27 g NULL  -108.802 60.881 nan -0.608 0x00
OBS: 59413.27 g NULL  -112.205 144.548 nan -1.399 0x00
OBS: 59425.27 g NULL  61.004 59.169 23.037 1.053 0x00
OBS: 59426.27 g NULL  -9.366 32.976 nan -3.823 0x00
OBS: 59432.34 g NULL  -65.644 61.121 nan -1.011 0x00
OBS: 59436.26 g NULL  -76.883 31.256 nan -0.441 0x00
OBS: 59438.26 g NULL  -1.242 42.402 nan -37.067 0x00
OBS: 59442.26 g NULL  -86.172 63.211 nan -0.796 0x00
OBS: 59456.25 g NULL  27.882 43.508 23.887 1.694 0x00
OBS: 59461.25 g NULL  -4.049 72.361 nan -19.404 0x00
OBS: 59469.24 g NULL  38.571 73.333 23.534 2.064 0x00
OBS: 58918.62 r NULL  -68.632 82.330 nan -1.302 0x00
OBS: 58931.58 r NULL  -11.058 48.750 nan -4.787 0x00
OBS: 58945.57 r NULL  -58.186 182.812 nan -3.411 0x00
OBS: 58956.47 r NULL  -41.259 44.649 nan -1.175 0x00
OBS: 58973.46 r NULL  -38.501 67.688 nan -1.909 0x01
OBS: 58975.44 r NULL  6.488 91.242 25.470 15.269 0x00
OBS: 58980.38 r NULL  -40.750 37.745 nan -1.006 0x00
OBS: 58995.46 r NULL  -19.982 32.302 nan -1.755 0x00
OBS: 59005.39 r NULL  23.672 108.156 24.064 4.961 0x00
OBS: 59009.35 r NULL  -8.163 35.984 nan -4.786 0x00
OBS: 59024.44 r NULL  276.378 40.514 21.396 0.159 0x00
OBS: 59031.28 r NULL  239.758 104.633 21.551 0.474 0x00
OBS: 59033.38 r NULL  280.937 85.110 21.378 0.329 0x01
OBS: 59037.38 r NULL  145.449 74.408 22.093 0.555 0x00
OBS: 59039.36 r NULL  160.400 73.018 21.987 0.494 0x00
OBS: 59049.32 r NULL  25.398 47.660 23.988 2.037 0x00
OBS: 59054.28 r NULL  85.298 47.041 22.673 0.599 0x00
OBS: 59059.38 r NULL  118.965 55.943 22.311 0.511 0x00
OBS: 59062.37 r NULL  69.261 66.393 22.899 1.041 0x00
OBS: 59065.30 r NULL  -53.016 62.336 nan -1.277 0x00
OBS: 59069.35 r NULL  125.727 58.706 22.251 0.507 0x00
OBS: 59077.28 r NULL  -16.208 40.592 nan -2.719 0x00
OBS: 59082.32 r NULL  56.664 71.929 23.117 1.378 0x00
OBS: 59094.27 r NULL  94.262 287.149 22.564 3.307 0x00
OBS: 59096.27 r NULL  -2.948 65.101 nan -23.976 0x00
OBS: 59098.31 r NULL  -38.563 84.637 nan -2.383 0x00
OBS: 59106.25 r NULL  73.792 40.727 22.830 0.599 0x00
OBS: 59110.24 r NULL  -79.335 47.108 nan -0.645 0x00
OBS: 59118.23 r NULL  128.102 112.560 22.231 0.954 0x01
OBS: 59121.23 r NULL  -9.735 79.274 nan -8.841 0x01
OBS: 59128.23 r NULL  -7.300 81.200 nan -12.077 0x00
OBS: 59136.23 r NULL  15.959 115.090 24.492 7.830 0x00
OBS: 59148.22 r NULL  -66.652 82.521 nan -1.344 0x00
OBS: 59154.21 r NULL  -144.063 126.381 nan -0.952 0x00
OBS: 59299.56 r NULL  -52.818 61.837 nan -1.271 0x00
OBS: 59313.53 r NULL  22.629 40.613 24.113 1.949 0x00
OBS: 59318.50 r NULL  -29.453 32.906 nan -1.213 0x00
OBS: 59326.43 r NULL  92.572 73.531 22.584 0.862 0x00
OBS: 59328.46 r NULL  30.027 127.909 23.806 4.625 0x00
OBS: 59331.42 r NULL  -102.431 206.718 nan -2.191 0x00
OBS: 59334.46 r NULL  120.187 70.284 22.300 0.635 0x00
