SURVEY:  PS1MD
SNID:  2020pst
otherID: 
IAUC:    UNKNOWN
RA:        18.3001390  deg
DECL:       2.2838570  deg
MWEBV:    0.032 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020pst.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.033 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 55
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59058.57 g NULL  9795.793 115.463 17.522 0.013 0x00
OBS: 59103.45 g NULL  1004.900 63.918 19.995 0.069 0x00
OBS: 59107.54 g NULL  769.083 93.164 20.285 0.132 0x00
OBS: 59109.61 g NULL  996.311 72.825 20.004 0.079 0x00
OBS: 59137.45 g NULL  626.700 48.107 20.507 0.083 0x00
OBS: 59142.28 g NULL  459.023 64.491 20.845 0.153 0x00
OBS: 59146.44 g NULL  429.888 54.174 20.917 0.137 0x00
OBS: 59173.39 g NULL  438.191 70.109 20.896 0.174 0x01
OBS: 59193.26 g NULL  212.464 47.795 21.682 0.244 0x00
OBS: 59221.23 g NULL  274.525 61.287 21.404 0.242 0x00
OBS: 59227.23 g NULL  191.549 50.999 21.794 0.289 0x00
OBS: 59229.23 g NULL  40.509 54.838 23.481 1.470 0x00
OBS: 59230.22 g NULL  153.140 50.114 22.037 0.355 0x00
OBS: 59254.23 g NULL  350.793 165.454 21.137 0.512 0x00
OBS: 59433.59 g NULL  49.964 70.003 23.253 1.521 0x00
OBS: 59437.55 g NULL  -67.700 61.121 nan -0.980 0x00
OBS: 59440.48 g NULL  -4.641 34.568 nan -8.087 0x00
OBS: 59442.55 g NULL  -43.528 39.377 nan -0.982 0x00
OBS: 59466.54 g NULL  14.738 66.571 24.579 4.904 0x01
OBS: 59492.49 g NULL  80.398 83.481 22.737 1.127 0x00
OBS: 59501.36 g NULL  52.302 85.970 23.204 1.785 0x00
OBS: 59525.38 g NULL  70.107 54.963 22.886 0.851 0x01
OBS: 59064.56 r NULL  11309.799 132.904 17.366 0.013 0x00
OBS: 59093.48 r NULL  4196.251 129.031 18.443 0.033 0x00
OBS: 59109.60 r NULL  2121.503 76.283 19.183 0.039 0x00
OBS: 59118.44 r NULL  1476.897 62.549 19.577 0.046 0x00
OBS: 59128.46 r NULL  1294.895 90.442 19.719 0.076 0x00
OBS: 59137.45 r NULL  947.755 52.194 20.058 0.060 0x00
OBS: 59142.28 r NULL  689.776 55.396 20.403 0.087 0x00
OBS: 59158.30 r NULL  498.749 49.515 20.755 0.108 0x00
OBS: 59182.29 r NULL  334.692 115.487 21.188 0.375 0x00
OBS: 59186.27 r NULL  320.630 43.808 21.235 0.148 0x00
OBS: 59188.33 r NULL  188.867 93.379 21.810 0.537 0x00
OBS: 59193.25 r NULL  200.422 42.037 21.745 0.228 0x00
OBS: 59229.23 r NULL  103.537 41.520 22.462 0.435 0x00
OBS: 59230.22 r NULL  3.323 63.293 26.196 20.680 0x00
OBS: 59525.38 r NULL  -64.471 57.212 nan -0.963 0x01
OBS: 59058.57 i NULL  7380.148 104.060 17.830 0.015 0x00
OBS: 59064.56 i NULL  6642.114 104.120 17.944 0.017 0x00
OBS: 59093.47 i NULL  3949.752 115.321 18.509 0.032 0x00
OBS: 59103.45 i NULL  2324.099 77.971 19.084 0.036 0x00
OBS: 59107.54 i NULL  1842.034 55.429 19.337 0.033 0x00
OBS: 59146.44 i NULL  579.899 60.270 20.592 0.113 0x00
OBS: 59182.29 i NULL  289.834 115.934 21.345 0.434 0x00
OBS: 59188.32 i NULL  176.334 73.104 21.884 0.450 0x00
OBS: 59227.23 i NULL  142.914 61.726 22.112 0.469 0x00
OBS: 59254.23 i NULL  -99.270 104.614 nan -1.144 0x00
OBS: 59433.58 i NULL  25.975 95.071 23.964 3.974 0x00
OBS: 59437.55 i NULL  83.811 90.374 22.692 1.171 0x00
OBS: 59440.48 i NULL  -3.324 55.994 nan -18.290 0x00
OBS: 59492.49 i NULL  142.147 81.688 22.118 0.624 0x00
OBS: 59118.44 z NULL  966.188 89.156 20.037 0.100 0x00
OBS: 59128.46 z NULL  563.603 135.237 20.623 0.261 0x00
OBS: 59158.30 z NULL  68.624 90.985 22.909 1.440 0x00
OBS: 59186.26 z NULL  126.039 83.364 22.249 0.718 0x00
OBS: 59191.23 z NULL  25.139 64.087 23.999 2.768 0x00
OBS: 59221.23 z NULL  150.335 104.079 22.057 0.752 0x00
OBS: 59442.55 z NULL  52.646 76.229 23.197 1.572 0x00
OBS: 59501.36 z NULL  68.276 95.801 22.914 1.523 0x00
END:
