SURVEY:  PS1MD
SNID:  2020pth
otherID: 
IAUC:    UNKNOWN
RA:        10.6412020  deg
DECL:       3.9028600  deg
MWEBV:    0.023 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020pth.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0013
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.204 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 95
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59058.57 g NULL  978.139 62.312 20.024 0.069 0x00
OBS: 59073.55 g NULL  191.665 39.846 21.794 0.226 0x00
OBS: 59079.49 g NULL  207.522 49.953 21.707 0.261 0x00
OBS: 59084.49 g NULL  181.168 44.721 21.855 0.268 0x00
OBS: 59101.44 g NULL  154.125 60.297 22.030 0.425 0x01
OBS: 59103.45 g NULL  73.805 48.536 22.830 0.714 0x00
OBS: 59107.54 g NULL  123.079 42.578 22.275 0.376 0x00
OBS: 59109.60 g NULL  122.666 63.149 22.278 0.559 0x00
OBS: 59114.47 g NULL  48.559 38.537 23.284 0.862 0x00
OBS: 59132.42 g NULL  98.736 58.877 22.514 0.647 0x00
OBS: 59137.44 g NULL  76.864 53.955 22.786 0.762 0x00
OBS: 59143.32 g NULL  17.298 76.323 24.405 4.791 0x00
OBS: 59146.44 g NULL  168.554 68.351 21.933 0.440 0x00
OBS: 59163.30 g NULL  36.084 55.584 23.607 1.672 0x00
OBS: 59169.23 g NULL  47.981 50.535 23.297 1.144 0x00
OBS: 59173.38 g NULL  50.498 59.614 23.242 1.282 0x00
OBS: 59191.23 g NULL  32.096 30.234 23.734 1.023 0x00
OBS: 59193.25 g NULL  4.714 55.746 25.817 12.840 0x00
OBS: 59219.22 g NULL  66.194 55.664 22.948 0.913 0x00
OBS: 59221.23 g NULL  50.951 75.974 23.232 1.619 0x00
OBS: 59227.23 g NULL  99.530 51.328 22.505 0.560 0x00
OBS: 59229.23 g NULL  71.271 53.713 22.868 0.818 0x00
OBS: 59230.22 g NULL  28.581 85.309 23.860 3.241 0x00
OBS: 59254.23 g NULL  56.165 104.753 23.126 2.025 0x00
OBS: 59433.58 g NULL  -77.070 76.467 nan -1.077 0x00
OBS: 59434.50 g NULL  77.581 82.368 22.776 1.153 0x09
OBS: 59437.55 g NULL  -1.533 60.381 nan -42.764 0x00
OBS: 59440.48 g NULL  49.446 44.809 23.265 0.984 0x00
OBS: 59442.54 g NULL  165.519 56.009 21.953 0.367 0x01
OBS: 59457.42 g NULL  8.284 58.088 25.204 7.613 0x00
OBS: 59464.54 g NULL  100.974 63.942 22.489 0.688 0x00
OBS: 59468.44 g NULL  49.332 53.622 23.267 1.180 0x00
