SURVEY:  PS1MD
SNID:  2020pwl
otherID: 
IAUC:    UNKNOWN
RA:        226.5590770  deg
DECL:       -12.7660740  deg
MWEBV:    0.090 +- 0.004 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020pwl.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0027
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 1.313 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 110
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58929.59 g NULL  -62.097 99.024 nan -1.731 0x01
OBS: 58933.53 g NULL  182.797 122.947 21.845 0.730 0x00
OBS: 58956.46 g NULL  -38.387 86.217 nan -2.439 0x00
OBS: 58964.49 g NULL  70.720 96.875 22.876 1.487 0x00
OBS: 58971.39 g NULL  -79.298 80.792 nan -1.106 0x00
OBS: 58988.48 g NULL  7.853 82.180 25.262 11.362 0x00
OBS: 58997.34 g NULL  -48.529 60.172 nan -1.346 0x00
OBS: 59023.28 g NULL  -50.433 60.817 nan -1.309 0x00
OBS: 59043.28 g NULL  -27.854 51.461 nan -2.006 0x00
OBS: 59047.30 g NULL  99.889 63.576 22.501 0.691 0x00
OBS: 59051.29 g NULL  378.212 54.309 21.056 0.156 0x00
OBS: 59288.54 g NULL  -80.987 52.124 nan -0.699 0x00
OBS: 59293.58 g NULL  34.174 64.286 23.666 2.042 0x00
OBS: 59310.47 g NULL  95.348 77.845 22.552 0.886 0x00
OBS: 59311.47 g NULL  19.994 78.303 24.248 4.252 0x00
OBS: 59317.48 g NULL  -7.444 89.656 nan -13.077 0x00
OBS: 59323.44 g NULL  63.029 57.717 23.001 0.994 0x00
OBS: 59338.48 g NULL  -75.458 76.154 nan -1.096 0x00
OBS: 59344.45 g NULL  -116.059 52.207 nan -0.488 0x01
OBS: 59347.43 g NULL  -141.054 46.746 nan -0.360 0x00
OBS: 59375.36 g NULL  -57.111 114.698 nan -2.181 0x00
OBS: 59378.38 g NULL  -97.824 96.598 nan -1.072 0x00
OBS: 59396.31 g NULL  -74.078 52.742 nan -0.773 0x00
OBS: 59402.30 g NULL  -38.497 60.034 nan -1.693 0x00
OBS: 59404.29 g NULL  184.602 69.137 21.834 0.407 0x00
OBS: 59405.30 g NULL  30.888 62.500 23.776 2.197 0x00
OBS: 59408.27 g NULL  -5.513 51.450 nan -10.133 0x00
OBS: 59425.27 g NULL  -55.357 44.231 nan -0.868 0x00
OBS: 59428.27 g NULL  -109.475 172.112 nan -1.707 0x00
OBS: 59430.27 g NULL  -64.613 53.641 nan -0.901 0x00
OBS: 59432.27 g NULL  -221.177 68.649 nan -0.337 0x01
OBS: 59455.25 g NULL  -62.968 88.197 nan -1.521 0x00
OBS: 59457.25 g NULL  -30.843 58.891 nan -2.073 0x00
OBS: 58942.50 r NULL  -172.921 233.512 nan -1.466 0x00
OBS: 58951.46 r NULL  455.619 191.210 20.853 0.456 0x00
OBS: 58956.46 r NULL  115.872 61.094 22.340 0.572 0x00
OBS: 58979.34 r NULL  -124.886 147.074 nan -1.279 0x01
OBS: 58997.34 r NULL  -42.915 48.047 nan -1.216 0x00
OBS: 59007.28 r NULL  47.152 76.765 23.316 1.768 0x00
OBS: 59023.29 r NULL  32.318 47.929 23.726 1.610 0x00
OBS: 59038.32 r NULL  99.537 138.286 22.505 1.508 0x09
OBS: 59040.29 r NULL  34.720 52.199 23.649 1.632 0x00
OBS: 59047.30 r NULL  188.199 46.970 21.813 0.271 0x00
OBS: 59054.27 r NULL  692.953 61.220 20.398 0.096 0x00
OBS: 59061.29 r NULL  1008.483 126.919 19.991 0.137 0x00
OBS: 59065.28 r NULL  1010.158 86.865 19.989 0.093 0x01
OBS: 59068.27 r NULL  969.678 78.489 20.033 0.088 0x00
OBS: 59070.27 r NULL  839.623 90.865 20.190 0.117 0x00
OBS: 59270.59 r NULL  -72.716 152.003 nan -2.270 0x01
OBS: 59297.51 r NULL  116.511 121.077 22.334 1.128 0x00
OBS: 59299.56 r NULL  96.456 81.638 22.539 0.919 0x00
OBS: 59327.45 r NULL  -55.516 81.964 nan -1.603 0x00
OBS: 59335.47 r NULL  -141.288 90.404 nan -0.695 0x00
OBS: 59347.43 r NULL  -46.736 55.836 nan -1.297 0x00
OBS: 59375.36 r NULL  -4.658 78.756 nan -18.357 0x00
OBS: 59392.34 r NULL  -33.316 56.153 nan -1.830 0x00
OBS: 59404.29 r NULL  55.177 60.311 23.146 1.187 0x00
OBS: 59408.28 r NULL  53.235 61.261 23.185 1.249 0x00
OBS: 59417.27 r NULL  -197.786 209.570 nan -1.150 0x00
OBS: 59419.28 r NULL  -280.515 135.496 nan -0.524 0x00
OBS: 59421.29 r NULL  -87.807 115.734 nan -1.431 0x00
OBS: 59423.28 r NULL  -35.268 88.373 nan -2.721 0x00
OBS: 59424.27 r NULL  103.076 72.610 22.467 0.765 0x00
OBS: 59432.27 r NULL  8.014 80.199 25.240 10.865 0x01
OBS: 59444.27 r NULL  -119.766 122.796 nan -1.113 0x00
OBS: 59446.26 r NULL  113.289 114.276 22.365 1.095 0x00
OBS: 59448.26 r NULL  149.298 80.909 22.065 0.588 0x00
OBS: 59452.25 r NULL  28.421 62.881 23.866 2.402 0x00
OBS: 59453.25 r NULL  55.258 101.185 23.144 1.988 0x00
OBS: 59454.25 r NULL  -6.306 79.736 nan -13.729 0x00
OBS: 58933.53 i NULL  -100.725 113.117 nan -1.219 0x00
OBS: 58942.50 i NULL  -230.719 155.577 nan -0.732 0x00
OBS: 58951.46 i NULL  -99.168 157.542 nan -1.725 0x01
OBS: 58964.49 i NULL  -57.727 94.565 nan -1.779 0x00
OBS: 58979.35 i NULL  194.052 135.071 21.780 0.756 0x00
OBS: 58988.48 i NULL  54.361 81.865 23.162 1.635 0x00
OBS: 59038.32 i NULL  -143.228 190.355 nan -1.443 0x09
OBS: 59043.28 i NULL  -95.309 86.070 nan -0.980 0x00
OBS: 59051.29 i NULL  477.228 60.532 20.803 0.138 0x00
OBS: 59061.29 i NULL  715.047 130.562 20.364 0.198 0x00
OBS: 59070.27 i NULL  841.628 106.459 20.187 0.137 0x00
OBS: 59076.28 i NULL  436.665 96.295 20.900 0.239 0x00
OBS: 59270.59 i NULL  -87.984 153.429 nan -1.893 0x01
OBS: 59288.54 i NULL  49.676 59.584 23.260 1.302 0x00
OBS: 59299.57 i NULL  -219.415 80.232 nan -0.397 0x00
OBS: 59311.46 i NULL  -42.751 73.368 nan -1.863 0x00
OBS: 59317.49 i NULL  -26.632 85.880 nan -3.501 0x00
OBS: 59327.45 i NULL  -7.751 119.813 nan -16.783 0x00
OBS: 59338.48 i NULL  -22.171 78.195 nan -3.829 0x00
OBS: 59344.45 i NULL  -58.016 77.172 nan -1.444 0x00
OBS: 59378.39 i NULL  -40.506 65.140 nan -1.746 0x00
OBS: 59396.31 i NULL  -23.656 55.333 nan -2.540 0x00
OBS: 59402.30 i NULL  -84.124 62.847 nan -0.811 0x00
OBS: 59405.31 i NULL  -82.894 64.710 nan -0.848 0x00
OBS: 59419.29 i NULL  -72.325 120.039 nan -1.802 0x00
OBS: 59424.26 i NULL  37.735 79.825 23.558 2.297 0x00
OBS: 59428.26 i NULL  -45.694 122.573 nan -2.912 0x00
OBS: 59430.26 i NULL  -186.677 87.527 nan -0.509 0x00
OBS: 59446.26 i NULL  92.464 111.811 22.585 1.313 0x00
OBS: 59453.25 i NULL  -73.150 85.846 nan -1.274 0x00
OBS: 59457.25 i NULL  44.899 68.164 23.369 1.648 0x00
OBS: 59462.25 i NULL  -270.138 137.708 nan -0.553 0x00
OBS: 58971.40 z NULL  -230.734 99.254 nan -0.467 0x00
OBS: 59007.29 z NULL  -210.804 128.580 nan -0.662 0x00
OBS: 59040.30 z NULL  16.802 98.744 24.437 6.381 0x00
OBS: 59065.28 z NULL  326.548 94.233 21.215 0.313 0x00
OBS: 59068.27 z NULL  444.352 189.073 20.881 0.462 0x00
OBS: 59293.58 z NULL  159.975 131.836 21.990 0.895 0x00
OBS: 59297.51 z NULL  263.934 178.779 21.446 0.735 0x00
OBS: 59300.52 z NULL  -2204.024 647.639 nan -0.319 0x00
OBS: 59310.47 z NULL  -30.472 103.045 nan -3.672 0x00
OBS: 59323.44 z NULL  20.343 83.756 24.229 4.470 0x00
OBS: 59335.47 z NULL  -235.763 149.051 nan -0.686 0x00
OBS: 59392.33 z NULL  -51.607 100.386 nan -2.112 0x00
OBS: 59421.29 z NULL  21.551 234.924 24.166 11.835 0x00
OBS: 59423.28 z NULL  -49.331 181.890 nan -4.003 0x00
OBS: 59425.27 z NULL  167.279 109.494 21.941 0.711 0x00
OBS: 59444.27 z NULL  474.831 132.466 20.809 0.303 0x01
OBS: 59448.26 z NULL  88.475 97.200 22.633 1.193 0x00
OBS: 59452.25 z NULL  -18.962 100.588 nan -5.760 0x00
OBS: 59454.25 z NULL  -127.173 126.707 nan -1.082 0x00
OBS: 59455.25 z NULL  45.350 154.655 23.359 3.703 0x00
END:
