SURVEY:  PS1MD
SNID:  2020pwr
otherID: 
IAUC:    UNKNOWN
RA:        236.3661920  deg
DECL:       20.4754720  deg
MWEBV:    0.040 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020pwr.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0042
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.042 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 169
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58868.65 g NULL  164.455 80.478 21.960 0.531 0x00
OBS: 58873.63 g NULL  140.488 75.890 22.131 0.587 0x00
OBS: 58878.65 g NULL  141.280 111.849 22.125 0.860 0x00
OBS: 58931.51 g NULL  -24.052 90.590 nan -4.089 0x00
OBS: 58933.52 g NULL  154.855 104.502 22.025 0.733 0x00
OBS: 58955.47 g NULL  263.295 80.160 21.449 0.331 0x00
OBS: 58959.59 g NULL  118.576 64.856 22.315 0.594 0x00
OBS: 58961.57 g NULL  155.554 63.961 22.020 0.446 0x00
OBS: 58968.54 g NULL  47.077 63.788 23.318 1.471 0x01
OBS: 58971.40 g NULL  184.129 105.743 21.837 0.624 0x00
OBS: 58982.51 g NULL  114.483 98.959 22.353 0.939 0x00
OBS: 58984.49 g NULL  56.761 74.032 23.115 1.416 0x00
OBS: 58988.49 g NULL  63.580 81.653 22.992 1.394 0x00
OBS: 58990.38 g NULL  97.720 56.426 22.525 0.627 0x00
OBS: 58994.49 g NULL  29.103 78.085 23.840 2.913 0x00
OBS: 58998.36 g NULL  164.646 61.099 21.959 0.403 0x00
OBS: 59000.50 g NULL  70.209 65.345 22.884 1.011 0x00
