SURVEY:  PS1MD
SNID:  2020pyy
otherID: 
IAUC:    UNKNOWN
RA:        1.8272060  deg
DECL:       17.0771170  deg
MWEBV:    0.029 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020pyy.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0004
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.363 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 116
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59021.59 g NULL  -27.519 52.808 nan -2.083 0x00
OBS: 59026.60 g NULL  111.290 82.787 22.384 0.808 0x00
OBS: 59029.61 g NULL  -45.627 62.728 nan -1.493 0x00
OBS: 59049.58 g NULL  543.962 83.550 20.661 0.167 0x00
OBS: 59051.56 g NULL  1084.188 62.676 19.912 0.063 0x00
OBS: 59055.54 g NULL  1668.173 57.311 19.444 0.037 0x00
OBS: 59073.59 g NULL  1074.575 66.974 19.922 0.068 0x00
OBS: 59077.47 g NULL  862.108 52.513 20.161 0.066 0x00
OBS: 59084.60 g NULL  534.851 75.267 20.679 0.153 0x01
OBS: 59103.40 g NULL  159.230 38.306 21.995 0.261 0x00
OBS: 59111.51 g NULL  135.345 118.710 22.171 0.952 0x00
OBS: 59112.55 g NULL  53.544 91.659 23.178 1.859 0x00
OBS: 59117.37 g NULL  113.709 71.864 22.361 0.686 0x00
OBS: 59132.45 g NULL  77.076 50.484 22.783 0.711 0x01
OBS: 59137.46 g NULL  114.144 49.325 22.356 0.469 0x00
OBS: 59145.29 g NULL  96.386 63.973 22.540 0.721 0x00
OBS: 59147.42 g NULL  73.713 77.128 22.831 1.136 0x00
OBS: 59163.36 g NULL  18.022 48.433 24.360 2.918 0x00
OBS: 59169.22 g NULL  32.354 53.544 23.725 1.797 0x00
OBS: 59173.37 g NULL  50.602 60.434 23.240 1.297 0x00
OBS: 59381.58 g NULL  -36.570 59.693 nan -1.772 0x00
OBS: 59400.57 g NULL  35.016 49.273 23.639 1.528 0x00
OBS: 59401.56 g NULL  62.091 74.047 23.017 1.295 0x01
OBS: 59406.57 g NULL  159.197 95.903 21.995 0.654 0x00
OBS: 59410.57 g NULL  71.771 58.807 22.860 0.890 0x00
OBS: 59412.51 g NULL  -133.805 132.471 nan -1.075 0x09
OBS: 59428.53 g NULL  -75.157 81.791 nan -1.182 0x00
OBS: 59431.48 g NULL  -53.703 69.438 nan -1.404 0x00
OBS: 59438.62 g NULL  52.818 47.430 23.193 0.975 0x00
OBS: 59441.59 g NULL  83.867 58.651 22.691 0.759 0x00
OBS: 59443.62 g NULL  -1.524 45.425 nan -32.362 0x00
OBS: 59455.60 g NULL  72.751 106.244 22.845 1.586 0x00
OBS: 59458.58 g NULL  50.560 61.935 23.240 1.330 0x00
OBS: 59467.56 g NULL  96.772 55.581 22.536 0.624 0x00
OBS: 59470.39 g NULL  68.175 68.229 22.916 1.087 0x00
OBS: 59485.52 g NULL  -143.102 87.249 nan -0.662 0x00
OBS: 59488.34 g NULL  -194.355 119.253 nan -0.666 0x00
OBS: 59491.50 g NULL  -12.709 55.439 nan -4.736 0x00
OBS: 59500.44 g NULL  109.188 70.889 22.405 0.705 0x01
OBS: 59517.28 g NULL  78.615 60.591 22.761 0.837 0x00
OBS: 59519.28 g NULL  103.146 48.459 22.466 0.510 0x00
OBS: 59530.37 g NULL  -29.263 67.606 nan -2.508 0x00
OBS: 59032.55 r NULL  86.987 81.930 22.651 1.023 0x01
OBS: 59036.59 r NULL  120.797 60.913 22.295 0.547 0x00
OBS: 59051.56 r NULL  1106.318 59.542 19.890 0.058 0x00
OBS: 59055.54 r NULL  1464.988 59.221 19.585 0.044 0x00
OBS: 59060.50 r NULL  1857.772 70.611 19.328 0.041 0x00
OBS: 59064.52 r NULL  1893.517 99.188 19.307 0.057 0x00
OBS: 59093.41 r NULL  875.456 104.296 20.144 0.129 0x00
OBS: 59100.43 r NULL  441.862 98.351 20.887 0.242 0x00
OBS: 59111.50 r NULL  318.411 112.568 21.243 0.384 0x01
OBS: 59120.38 r NULL  283.959 78.381 21.367 0.300 0x00
OBS: 59127.36 r NULL  160.220 181.002 21.988 1.227 0x01
OBS: 59137.45 r NULL  104.951 33.674 22.448 0.348 0x00
OBS: 59154.41 r NULL  291.500 108.120 21.338 0.403 0x00
OBS: 59156.37 r NULL  96.703 60.962 22.536 0.684 0x00
OBS: 59158.39 r NULL  196.621 103.659 21.766 0.572 0x00
OBS: 59173.38 r NULL  151.163 53.991 22.051 0.388 0x00
OBS: 59182.36 r NULL  37.768 113.260 23.557 3.256 0x00
OBS: 59186.34 r NULL  126.999 85.678 22.240 0.732 0x00
OBS: 59381.58 r NULL  99.779 71.687 22.502 0.780 0x00
OBS: 59387.59 r NULL  -11.148 55.390 nan -5.395 0x00
OBS: 59393.60 r NULL  -6.837 59.295 nan -9.416 0x00
OBS: 59400.57 r NULL  48.896 44.928 23.277 0.998 0x00
OBS: 59406.58 r NULL  -41.591 55.384 nan -1.446 0x00
OBS: 59410.56 r NULL  26.255 56.191 23.952 2.324 0x00
OBS: 59414.56 r NULL  -34.627 71.894 nan -2.254 0x00
OBS: 59417.52 r NULL  -197.782 114.428 nan -0.628 0x00
OBS: 59420.56 r NULL  -41.205 113.688 nan -2.996 0x00
OBS: 59446.59 r NULL  41.804 64.725 23.447 1.681 0x00
OBS: 59467.56 r NULL  -3.612 48.254 nan -14.505 0x00
OBS: 59475.51 r NULL  283.310 345.377 21.369 1.324 0x00
