SURVEY:  PS1MD
SNID:  2020pzl
otherID: 
IAUC:    UNKNOWN
RA:        0.7109920  deg
DECL:       24.6661970  deg
MWEBV:    0.076 +- 0.004 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020pzl.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0011
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.796 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 43
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59046.54 g NULL  687.718 400.388 20.406 0.632 0x00
OBS: 59049.58 g NULL  123.197 103.777 22.273 0.915 0x00
OBS: 59050.55 g NULL  335.633 49.748 21.185 0.161 0x00
OBS: 59055.54 g NULL  200.473 55.366 21.745 0.300 0x00
OBS: 59074.49 g NULL  157.226 50.323 22.009 0.348 0x00
OBS: 59082.43 g NULL  291.048 50.821 21.340 0.190 0x00
OBS: 59103.39 g NULL  224.104 51.479 21.624 0.249 0x00
OBS: 59109.35 g NULL  505.084 342.464 20.742 0.736 0x01
OBS: 59117.37 g NULL  230.348 78.884 21.594 0.372 0x00
OBS: 59133.48 g NULL  27.687 71.824 23.894 2.817 0x00
OBS: 59146.44 g NULL  88.162 69.514 22.637 0.856 0x00
OBS: 59169.23 g NULL  73.504 69.302 22.834 1.024 0x00
OBS: 59173.37 g NULL  185.217 54.089 21.831 0.317 0x00
OBS: 59194.32 g NULL  155.026 45.717 22.024 0.320 0x00
OBS: 59031.56 r NULL  611.118 67.250 20.535 0.119 0x00
OBS: 59036.58 r NULL  644.154 68.470 20.478 0.115 0x00
OBS: 59046.54 r NULL  740.055 501.849 20.327 0.736 0x00
OBS: 59049.58 r NULL  438.225 94.027 20.896 0.233 0x00
OBS: 59060.50 r NULL  456.240 61.587 20.852 0.147 0x00
OBS: 59064.51 r NULL  662.728 143.885 20.447 0.236 0x00
OBS: 59082.43 r NULL  505.883 61.345 20.740 0.132 0x00
OBS: 59093.41 r NULL  285.552 112.474 21.361 0.428 0x00
OBS: 59119.36 r NULL  504.478 53.334 20.743 0.115 0x00
OBS: 59121.51 r NULL  239.525 105.514 21.552 0.478 0x00
OBS: 59169.23 r NULL  262.070 59.525 21.454 0.247 0x00
OBS: 59182.35 r NULL  252.323 97.971 21.495 0.422 0x00
OBS: 59186.34 r NULL  54.604 87.696 23.157 1.744 0x09
OBS: 59194.32 r NULL  216.270 46.938 21.663 0.236 0x00
OBS: 59031.56 i NULL  635.091 93.929 20.493 0.161 0x00
OBS: 59050.55 i NULL  528.688 59.943 20.692 0.123 0x00
OBS: 59055.54 i NULL  657.389 61.072 20.455 0.101 0x00
OBS: 59060.50 i NULL  444.550 60.935 20.880 0.149 0x00
OBS: 59064.51 i NULL  846.393 170.288 20.181 0.218 0x09
OBS: 59074.50 i NULL  512.401 60.950 20.726 0.129 0x00
OBS: 59093.41 i NULL  559.494 105.887 20.631 0.205 0x00
OBS: 59109.36 i NULL  327.109 66.518 21.213 0.221 0x00
OBS: 59117.37 i NULL  303.441 73.635 21.295 0.263 0x00
OBS: 59119.36 i NULL  292.881 65.274 21.333 0.242 0x00
OBS: 59133.47 i NULL  445.691 79.336 20.877 0.193 0x00
OBS: 59173.37 i NULL  218.543 75.677 21.651 0.376 0x00
OBS: 59036.58 z NULL  1064.904 111.614 19.932 0.114 0x00
OBS: 59103.39 z NULL  782.520 81.708 20.266 0.113 0x00
OBS: 59121.51 z NULL  586.408 177.245 20.580 0.328 0x00
OBS: 59146.45 z NULL  603.770 109.104 20.548 0.196 0x00
OBS: 59182.35 z NULL  1056.819 195.559 19.940 0.201 0x00
OBS: 59186.34 z NULL  706.596 102.753 20.377 0.158 0x00
END:
