SURVEY:  PS1MD
SNID:  2020qbj
otherID: 
IAUC:    UNKNOWN
RA:        192.3653930  deg
DECL:       17.2099600  deg
MWEBV:    0.020 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020qbj.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0119
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.635 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 62
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58867.60 g NULL  138.135 85.775 22.149 0.674 0x00
OBS: 58870.58 g NULL  -56.304 48.939 nan -0.944 0x00
OBS: 58874.60 g NULL  -68.691 51.728 nan -0.818 0x00
OBS: 58877.65 g NULL  77.786 71.207 22.773 0.994 0x00
OBS: 58882.50 g NULL  8.826 65.627 25.136 8.073 0x00
OBS: 58931.50 g NULL  39.313 51.926 23.514 1.434 0x00
OBS: 58941.41 g NULL  134.241 87.977 22.180 0.712 0x00
OBS: 58955.46 g NULL  -2.697 53.235 nan -21.431 0x00
OBS: 58959.35 g NULL  -29.972 55.197 nan -2.000 0x01
OBS: 58966.31 g NULL  -19.425 44.385 nan -2.481 0x00
OBS: 58969.32 g NULL  -82.999 104.808 nan -1.371 0x01
OBS: 58971.29 g NULL  -131.618 74.606 nan -0.615 0x00
OBS: 58984.27 g NULL  -23.729 48.950 nan -2.240 0x00
OBS: 58987.27 g NULL  63.008 80.596 23.002 1.389 0x09
OBS: 58990.27 g NULL  9.359 52.660 25.072 6.109 0x00
OBS: 58998.35 g NULL  -31.820 62.784 nan -2.142 0x00
OBS: 59014.28 g NULL  -87.701 55.906 nan -0.692 0x01
OBS: 59017.28 g NULL  6.034 55.391 25.548 9.967 0x00
OBS: 59048.28 g NULL  168.705 54.232 21.932 0.349 0x00
OBS: 59052.27 g NULL  256.836 58.637 21.476 0.248 0x00
OBS: 59073.26 g NULL  4.309 131.029 25.914 33.015 0x00
OBS: 59075.26 g NULL  45.703 93.137 23.350 2.213 0x00
OBS: 58874.60 r NULL  91.571 56.503 22.596 0.670 0x00
OBS: 58976.41 r NULL  -99.920 218.532 nan -2.375 0x00
OBS: 58981.40 r NULL  98.085 67.201 22.521 0.744 0x00
OBS: 58987.28 r NULL  -44.366 60.887 nan -1.490 0x00
OBS: 59006.33 r NULL  -13.815 99.782 nan -7.842 0x00
OBS: 59010.29 r NULL  72.238 51.896 22.853 0.780 0x00
OBS: 59033.28 r NULL  141.934 92.612 22.120 0.708 0x00
OBS: 59038.32 r NULL  279.346 111.234 21.385 0.432 0x00
OBS: 59048.27 r NULL  427.662 54.958 20.922 0.140 0x00
OBS: 59059.28 r NULL  227.351 123.940 21.608 0.592 0x00
OBS: 59062.28 r NULL  226.473 89.002 21.612 0.427 0x00
OBS: 59066.27 r NULL  407.408 138.337 20.975 0.369 0x00
OBS: 59075.26 r NULL  82.232 94.502 22.712 1.248 0x00
OBS: 59186.64 r NULL  -169.937 111.125 nan -0.710 0x00
OBS: 59189.64 r NULL  -31.672 73.605 nan -2.523 0x00
OBS: 58870.58 i NULL  133.613 55.741 22.185 0.453 0x01
OBS: 58877.65 i NULL  -10.149 72.590 nan -7.766 0x00
OBS: 58931.50 i NULL  -120.860 53.566 nan -0.481 0x00
OBS: 58941.41 i NULL  -6.921 68.522 nan -10.749 0x00
OBS: 58959.35 i NULL  -23.054 50.139 nan -2.361 0x00
OBS: 58966.31 i NULL  89.696 49.919 22.618 0.604 0x00
OBS: 58969.32 i NULL  49.098 115.984 23.272 2.565 0x01
OBS: 58976.41 i NULL  208.325 209.117 21.703 1.090 0x00
OBS: 58984.28 i NULL  87.661 59.475 22.643 0.737 0x00
OBS: 58990.27 i NULL  -12.646 62.900 nan -5.400 0x00
OBS: 59006.34 i NULL  14.284 69.209 24.613 5.261 0x00
OBS: 59014.28 i NULL  40.073 51.709 23.493 1.401 0x00
