SURVEY:  PS1MD
SNID:  2020qgl
otherID: 
IAUC:    UNKNOWN
RA:        237.2246380  deg
DECL:       27.0440670  deg
MWEBV:    0.030 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020qgl.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0046
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.509 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 91
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58937.62 g NULL  213.908 146.249 21.674 0.742 0x00
OBS: 58941.54 g NULL  -56.923 75.691 nan -1.444 0x00
OBS: 58958.58 g NULL  -46.520 43.290 nan -1.010 0x00
OBS: 58966.57 g NULL  42.796 54.960 23.421 1.394 0x00
OBS: 58983.52 g NULL  30.036 69.501 23.806 2.512 0x00
OBS: 58985.39 g NULL  35.992 64.691 23.609 1.951 0x00
OBS: 58995.47 g NULL  109.625 57.936 22.400 0.574 0x01
OBS: 58999.49 g NULL  -4.002 51.963 nan -14.097 0x00
OBS: 59013.46 g NULL  38.061 94.418 23.549 2.693 0x00
OBS: 59016.44 g NULL  -53.259 63.404 nan -1.293 0x00
OBS: 59023.44 g NULL  -82.256 70.761 nan -0.934 0x00
OBS: 59048.35 g NULL  468.427 55.893 20.823 0.130 0x00
OBS: 59052.33 g NULL  442.280 77.094 20.886 0.189 0x00
OBS: 59055.32 g NULL  502.754 58.396 20.747 0.126 0x01
OBS: 59071.28 g NULL  73.993 55.209 22.827 0.810 0x00
OBS: 59074.30 g NULL  24.859 61.880 24.011 2.703 0x00
OBS: 59079.26 g NULL  116.270 54.661 22.336 0.510 0x00
OBS: 59083.26 g NULL  67.896 58.843 22.920 0.941 0x00
OBS: 59102.25 g NULL  121.013 69.510 22.293 0.624 0x01
OBS: 59106.25 g NULL  14.674 61.755 24.584 4.569 0x00
OBS: 59108.24 g NULL  38.955 59.402 23.524 1.656 0x00
OBS: 59113.23 g NULL  116.353 252.504 22.336 2.356 0x00
OBS: 59117.23 g NULL  59.218 162.838 23.069 2.986 0x01
OBS: 59131.22 g NULL  298.147 127.048 21.314 0.463 0x00
OBS: 59136.22 g NULL  51.457 108.169 23.221 2.282 0x01
OBS: 59139.22 g NULL  -60.678 130.277 nan -2.331 0x00
OBS: 59144.21 g NULL  95.466 172.647 22.550 1.964 0x00
