SURVEY:  PS1MD
SNID:  2020qhn
otherID: 
IAUC:    UNKNOWN
RA:        240.5849590  deg
DECL:       27.2405020  deg
MWEBV:    0.041 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020qhn.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0020
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.511 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 106
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58960.47 g NULL  -76.193 73.971 nan -1.054 0x00
OBS: 58962.47 g NULL  34.452 193.732 23.657 6.105 0x01
OBS: 58966.57 g NULL  -39.607 59.600 nan -1.634 0x00
OBS: 58968.55 g NULL  34.936 49.474 23.642 1.538 0x00
OBS: 58983.52 g NULL  -50.708 53.154 nan -1.138 0x00
OBS: 58989.52 g NULL  128.361 62.055 22.229 0.525 0x00
OBS: 58999.49 g NULL  -61.751 59.124 nan -1.040 0x00
OBS: 59013.46 g NULL  41.505 117.704 23.455 3.079 0x00
OBS: 59016.44 g NULL  -152.346 68.693 nan -0.490 0x00
OBS: 59019.48 g NULL  303.225 136.339 21.296 0.488 0x00
OBS: 59023.44 g NULL  80.397 44.818 22.737 0.605 0x00
OBS: 59026.29 g NULL  74.873 99.230 22.814 1.439 0x00
OBS: 59043.36 g NULL  171.309 46.652 21.916 0.296 0x00
OBS: 59048.35 g NULL  183.002 54.841 21.844 0.325 0x00
OBS: 59055.33 g NULL  577.444 66.346 20.596 0.125 0x00
OBS: 59071.28 g NULL  356.692 69.439 21.119 0.211 0x00
OBS: 59074.30 g NULL  265.419 57.787 21.440 0.236 0x00
OBS: 59077.27 g NULL  192.432 54.758 21.789 0.309 0x00
