SURVEY:  PS1MD
SNID:  2020qhp
otherID: 
IAUC:    UNKNOWN
RA:        4.4977230  deg
DECL:       20.6779780  deg
MWEBV:    0.040 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020qhp.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0015
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.242 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 133
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59021.59 g NULL  639.696 62.067 20.485 0.105 0x00
OBS: 59046.54 g NULL  944.610 385.599 20.062 0.443 0x00
OBS: 59049.58 g NULL  420.492 91.313 20.941 0.236 0x01
OBS: 59051.56 g NULL  176.796 56.827 21.881 0.349 0x00
OBS: 59055.54 g NULL  98.946 58.380 22.512 0.641 0x00
OBS: 59073.59 g NULL  124.635 40.165 22.261 0.350 0x00
OBS: 59077.47 g NULL  112.511 46.576 22.372 0.449 0x00
OBS: 59079.49 g NULL  113.618 49.358 22.361 0.472 0x00
OBS: 59084.60 g NULL  33.156 50.326 23.699 1.648 0x00
OBS: 59103.40 g NULL  42.319 41.834 23.434 1.073 0x00
OBS: 59107.53 g NULL  86.028 42.698 22.663 0.539 0x00
OBS: 59111.51 g NULL  427.805 107.258 20.922 0.272 0x00
OBS: 59112.55 g NULL  -32.341 104.807 nan -3.519 0x00
OBS: 59117.37 g NULL  206.064 82.150 21.715 0.433 0x00
OBS: 59132.45 g NULL  6.046 46.117 25.546 8.282 0x00
OBS: 59137.46 g NULL  -5.689 36.903 nan -7.043 0x00
OBS: 59142.27 g NULL  119.118 47.120 22.310 0.429 0x00
OBS: 59143.27 g NULL  237.371 69.586 21.561 0.318 0x00
OBS: 59145.29 g NULL  78.697 53.856 22.760 0.743 0x00
OBS: 59147.42 g NULL  -36.057 76.643 nan -2.308 0x00
OBS: 59163.36 g NULL  69.810 35.432 22.890 0.551 0x00
OBS: 59169.22 g NULL  50.979 49.726 23.232 1.059 0x00
OBS: 59173.37 g NULL  63.128 45.726 22.999 0.786 0x00
OBS: 59190.29 g NULL  105.802 52.625 22.439 0.540 0x00
OBS: 59192.31 g NULL  76.585 55.695 22.790 0.790 0x00
OBS: 59194.31 g NULL  158.536 46.572 22.000 0.319 0x00
OBS: 59381.58 g NULL  86.399 80.839 22.659 1.016 0x01
OBS: 59400.57 g NULL  -34.524 63.073 nan -1.984 0x00
OBS: 59401.56 g NULL  206.517 67.095 21.713 0.353 0x00
OBS: 59406.57 g NULL  -20.657 87.297 nan -4.588 0x00
OBS: 59410.57 g NULL  -1.568 85.974 nan -59.531 0x00
OBS: 59412.51 g NULL  -93.023 59.133 nan -0.690 0x00
OBS: 59428.53 g NULL  120.366 55.484 22.299 0.500 0x00
OBS: 59431.48 g NULL  62.928 57.156 23.003 0.986 0x00
OBS: 59435.46 g NULL  -22.341 52.955 nan -2.574 0x00
OBS: 59438.62 g NULL  22.491 44.802 24.120 2.163 0x00
OBS: 59441.59 g NULL  80.534 63.506 22.735 0.856 0x00
OBS: 59443.62 g NULL  11.712 42.352 24.828 3.926 0x00
OBS: 59455.60 g NULL  7.304 117.133 25.341 17.412 0x01
OBS: 59458.58 g NULL  10.838 52.712 24.913 5.281 0x01
OBS: 59464.39 g NULL  9.953 88.816 25.005 9.689 0x00
OBS: 59467.56 g NULL  50.690 46.348 23.238 0.993 0x00
OBS: 59470.39 g NULL  94.254 57.452 22.564 0.662 0x00
OBS: 59485.52 g NULL  87.266 91.451 22.648 1.138 0x00
OBS: 59488.34 g NULL  8.690 85.550 25.152 10.689 0x00
OBS: 59500.44 g NULL  -18.090 64.816 nan -3.890 0x00
OBS: 59517.28 g NULL  -21.197 60.669 nan -3.108 0x00
OBS: 59519.28 g NULL  -2.590 45.716 nan -19.164 0x00
OBS: 59525.38 g NULL  47.238 44.197 23.314 1.016 0x00
OBS: 59530.37 g NULL  -7.478 94.435 nan -13.711 0x00
OBS: 59032.55 r NULL  1062.286 91.306 19.934 0.093 0x01
OBS: 59036.59 r NULL  755.560 67.827 20.304 0.097 0x00
OBS: 59046.54 r NULL  373.796 302.472 21.068 0.879 0x00
OBS: 59051.56 r NULL  527.614 50.177 20.694 0.103 0x00
OBS: 59055.54 r NULL  653.264 60.544 20.462 0.101 0x00
OBS: 59060.50 r NULL  333.881 65.999 21.191 0.215 0x00
OBS: 59064.52 r NULL  193.545 175.065 21.783 0.982 0x09
OBS: 59079.49 r NULL  113.806 43.527 22.360 0.415 0x00
OBS: 59093.41 r NULL  318.097 113.524 21.244 0.387 0x00
OBS: 59100.43 r NULL  102.090 117.776 22.478 1.253 0x00
OBS: 59111.50 r NULL  164.650 95.026 21.959 0.627 0x00
OBS: 59120.38 r NULL  223.777 87.808 21.625 0.426 0x00
OBS: 59127.36 r NULL  -71.792 165.293 nan -2.500 0x00
OBS: 59130.48 r NULL  296.955 83.587 21.318 0.306 0x00
OBS: 59137.45 r NULL  161.959 41.875 21.976 0.281 0x00
OBS: 59142.27 r NULL  57.906 52.736 23.093 0.989 0x00
OBS: 59154.41 r NULL  159.288 128.921 21.995 0.879 0x00
OBS: 59156.37 r NULL  162.817 64.777 21.971 0.432 0x00
OBS: 59158.39 r NULL  254.736 76.269 21.485 0.325 0x00
OBS: 59173.38 r NULL  84.735 47.109 22.680 0.604 0x00
OBS: 59182.36 r NULL  276.023 116.403 21.398 0.458 0x00
OBS: 59186.34 r NULL  153.875 96.315 22.032 0.680 0x01
OBS: 59381.58 r NULL  397.687 120.798 21.001 0.330 0x09
OBS: 59385.60 r NULL  31.346 46.350 23.760 1.605 0x00
OBS: 59387.59 r NULL  113.384 52.188 22.364 0.500 0x00
