SURVEY:  PS1MD
SNID:  2020qmj
otherID: 
IAUC:    UNKNOWN
RA:        11.0250130  deg
DECL:       5.2599940  deg
MWEBV:    0.025 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020qmj.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0000
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 3000
# DIST_FROM_CENTER_DEG: 0.902 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 36
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59058.57 g NULL  108.565 77.161 22.411 0.772 0x00
OBS: 59075.53 g NULL  23082.321 168.225 16.592 0.008 0x00
OBS: 59079.49 g NULL  23919.770 166.658 16.553 0.008 0x00
OBS: 59084.49 g NULL  22857.783 194.253 16.602 0.009 0x00
OBS: 59101.44 g NULL  12343.665 192.414 17.271 0.017 0x00
OBS: 59109.60 g NULL  8418.199 123.764 17.687 0.016 0x00
OBS: 59114.47 g NULL  6352.375 114.160 17.993 0.020 0x00
OBS: 59132.42 g NULL  2884.086 96.943 18.850 0.036 0x00
OBS: 59137.45 g NULL  2539.172 80.984 18.988 0.035 0x00
OBS: 59143.32 g NULL  2369.203 94.737 19.063 0.043 0x00
OBS: 59146.44 g NULL  2152.146 86.613 19.168 0.044 0x01
OBS: 59163.30 g NULL  1304.894 110.930 19.711 0.092 0x00
OBS: 59173.38 g NULL  1230.510 87.517 19.775 0.077 0x00
OBS: 59064.56 r NULL  16195.753 145.346 16.976 0.010 0x00
OBS: 59079.50 r NULL  36261.011 184.071 16.101 0.006 0x00
OBS: 59093.48 r NULL  29064.035 236.341 16.342 0.009 0x01
OBS: 59109.60 r NULL  15829.751 144.584 17.001 0.010 0x00
OBS: 59118.44 r NULL  10491.585 118.090 17.448 0.012 0x00
OBS: 59128.46 r NULL  6548.759 124.590 17.960 0.021 0x00
OBS: 59137.45 r NULL  5174.782 83.370 18.215 0.017 0x00
OBS: 59158.30 r NULL  3191.772 78.987 18.740 0.027 0x00
OBS: 59186.27 r NULL  2140.683 70.627 19.174 0.036 0x00
OBS: 59188.32 r NULL  2040.316 94.809 19.226 0.050 0x00
OBS: 59058.56 i NULL  598.370 68.158 20.558 0.124 0x00
OBS: 59064.56 i NULL  18546.826 152.229 16.829 0.009 0x00
OBS: 59075.53 i NULL  37351.077 190.567 16.069 0.006 0x00
OBS: 59084.49 i NULL  40177.272 227.935 15.990 0.006 0x00
OBS: 59093.47 i NULL  34996.130 193.520 16.140 0.006 0x00
OBS: 59114.47 i NULL  15432.032 129.925 17.029 0.009 0x00
OBS: 59143.32 i NULL  4138.418 131.338 18.458 0.034 0x00
OBS: 59173.38 i NULL  2123.144 91.504 19.183 0.047 0x00
OBS: 59188.32 i NULL  1702.294 119.692 19.422 0.076 0x00
OBS: 59073.55 z NULL  37108.782 246.143 16.076 0.007 0x01
OBS: 59101.44 z NULL  32787.356 226.490 16.211 0.008 0x00
OBS: 59118.44 z NULL  18120.594 198.579 16.855 0.012 0x00
OBS: 59128.46 z NULL  11957.356 270.343 17.306 0.025 0x00
OBS: 59132.42 z NULL  10369.994 160.460 17.461 0.017 0x00
OBS: 59158.30 z NULL  6396.722 155.159 17.985 0.026 0x00
OBS: 59163.30 z NULL  5667.179 198.557 18.117 0.038 0x00
END:
