SURVEY:  PS1MD
SNID:  2020qzf
otherID: 
IAUC:    UNKNOWN
RA:        239.4749210  deg
DECL:       26.7360180  deg
MWEBV:    0.039 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020qzf.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0027
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.157 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 182
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58931.52 g NULL  73.687 84.237 22.832 1.241 0x00
OBS: 58937.62 g NULL  0.479 104.873 28.299 237.713 0x00
OBS: 58941.54 g NULL  -43.836 66.802 nan -1.655 0x00
OBS: 58955.48 g NULL  10.298 51.618 24.968 5.442 0x00
OBS: 58958.58 g NULL  -4.823 44.919 nan -10.112 0x00
OBS: 58960.47 g NULL  102.291 39.748 22.475 0.422 0x00
OBS: 58962.47 g NULL  8.343 112.248 25.197 14.608 0x00
OBS: 58966.57 g NULL  11.551 46.142 24.843 4.337 0x00
OBS: 58968.55 g NULL  53.773 47.638 23.174 0.962 0x00
OBS: 58971.40 g NULL  74.249 57.641 22.823 0.843 0x00
OBS: 58983.52 g NULL  -17.537 53.215 nan -3.295 0x00
OBS: 58989.51 g NULL  39.490 55.566 23.509 1.528 0x00
OBS: 58993.37 g NULL  -4.747 91.213 nan -20.862 0x00
OBS: 58995.47 g NULL  66.880 48.306 22.937 0.784 0x00
OBS: 58999.49 g NULL  -43.742 46.441 nan -1.153 0x00
OBS: 59013.46 g NULL  18.888 89.527 24.310 5.146 0x00
OBS: 59016.44 g NULL  1.569 48.333 27.011 33.446 0x00
OBS: 59019.48 g NULL  -191.062 124.695 nan -0.709 0x00
OBS: 59023.44 g NULL  48.295 59.594 23.290 1.340 0x00
OBS: 59026.29 g NULL  -41.473 80.439 nan -2.106 0x00
OBS: 59043.36 g NULL  23.972 49.432 24.051 2.239 0x00
OBS: 59048.35 g NULL  -47.542 39.255 nan -0.896 0x00
OBS: 59052.33 g NULL  -2.623 68.820 nan -28.487 0x00
OBS: 59055.32 g NULL  42.888 56.219 23.419 1.423 0x00
