SURVEY:  PS1MD
SNID:  2020qzg
otherID: 
IAUC:    UNKNOWN
RA:        241.6127830  deg
DECL:       29.0770000  deg
MWEBV:    0.029 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020qzg.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0007
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.473 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 120
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58941.54 g NULL  80.139 94.501 22.740 1.280 0x01
OBS: 58955.48 g NULL  30.429 90.658 23.792 3.235 0x00
OBS: 58958.58 g NULL  0.522 45.658 28.206 94.967 0x00
OBS: 58960.47 g NULL  -11.001 58.534 nan -5.777 0x00
OBS: 58962.47 g NULL  -176.877 162.767 nan -0.999 0x00
OBS: 58983.52 g NULL  103.265 59.383 22.465 0.624 0x00
OBS: 58985.39 g NULL  32.904 51.037 23.707 1.684 0x00
OBS: 58989.52 g NULL  21.001 79.058 24.194 4.087 0x00
OBS: 58995.47 g NULL  -42.826 58.641 nan -1.487 0x01
OBS: 58999.49 g NULL  156.333 77.490 22.015 0.538 0x00
OBS: 59013.46 g NULL  125.006 104.649 22.258 0.909 0x00
OBS: 59016.44 g NULL  10.768 72.625 24.920 7.323 0x00
OBS: 59023.44 g NULL  8.530 72.079 25.173 9.175 0x00
OBS: 59026.29 g NULL  68.998 68.961 22.903 1.085 0x00
OBS: 59028.29 g NULL  100.866 68.994 22.491 0.743 0x00
OBS: 59043.36 g NULL  137.582 53.856 22.154 0.425 0x01
OBS: 59048.35 g NULL  141.131 62.881 22.126 0.484 0x00
OBS: 59052.40 g NULL  1.314 69.777 27.204 57.656 0x00
OBS: 59055.33 g NULL  -10.082 70.048 nan -7.544 0x00
OBS: 59071.28 g NULL  776.123 60.896 20.275 0.085 0x00
OBS: 59074.30 g NULL  877.617 101.763 20.142 0.126 0x00
