SURVEY:  PS1MD
SNID:  2020rcs
otherID: 
IAUC:    UNKNOWN
RA:        186.0171280  deg
DECL:       8.0740170  deg
MWEBV:    0.019 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020rcs.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0008
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.017 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 340
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58839.62 g NULL  214.072 165.916 21.674 0.841 0x00
OBS: 58841.63 g NULL  -24.457 42.335 nan -1.879 0x00
OBS: 58844.65 g NULL  -10.346 76.328 nan -8.010 0x00
OBS: 58846.65 g NULL  106.722 70.510 22.429 0.717 0x00
OBS: 58847.66 g NULL  11.836 50.670 24.817 4.648 0x00
OBS: 58849.66 g NULL  -84.991 55.204 nan -0.705 0x00
OBS: 58850.61 g NULL  -94.709 59.539 nan -0.683 0x00
OBS: 58866.57 g NULL  147.140 74.290 22.081 0.548 0x00
OBS: 58867.60 g NULL  24.938 73.920 24.008 3.218 0x00
OBS: 58868.57 g NULL  51.552 40.903 23.219 0.861 0x00
OBS: 58869.57 g NULL  3.465 54.032 26.151 16.931 0x00
OBS: 58870.58 g NULL  87.385 56.551 22.646 0.703 0x00
OBS: 58871.57 g NULL  -29.876 55.931 nan -2.033 0x00
OBS: 58874.58 g NULL  53.157 50.021 23.186 1.022 0x00
OBS: 58875.59 g NULL  -29.232 60.707 nan -2.255 0x00
OBS: 58876.52 g NULL  29.957 78.549 23.809 2.847 0x00
OBS: 58877.58 g NULL  4.621 70.532 25.838 16.572 0x00
OBS: 58878.51 g NULL  42.309 69.833 23.434 1.792 0x00
OBS: 58882.50 g NULL  99.215 66.761 22.509 0.731 0x00
OBS: 58929.53 g NULL  5.874 62.307 25.578 11.517 0x00
OBS: 58931.44 g NULL  169.913 109.052 21.924 0.697 0x00
OBS: 58932.51 g NULL  8.411 56.238 25.188 7.259 0x00
OBS: 58933.51 g NULL  24.562 106.928 24.024 4.727 0x00
OBS: 58941.41 g NULL  51.362 118.442 23.223 2.504 0x00
OBS: 58955.44 g NULL  -67.786 47.132 nan -0.755 0x00
OBS: 58956.44 g NULL  -11.695 63.042 nan -5.853 0x00
OBS: 58958.40 g NULL  94.541 141.938 22.561 1.630 0x00
OBS: 58959.35 g NULL  -2.830 55.055 nan -21.122 0x00
OBS: 58960.30 g NULL  -18.985 49.267 nan -2.818 0x00
OBS: 58961.33 g NULL  46.758 69.542 23.325 1.615 0x09
OBS: 58965.42 g NULL  53.446 56.171 23.180 1.141 0x00
OBS: 58966.31 g NULL  -45.775 57.648 nan -1.367 0x00
OBS: 58967.31 g NULL  -11.271 62.134 nan -5.985 0x00
OBS: 58968.32 g NULL  -46.485 58.444 nan -1.365 0x00
OBS: 58969.26 g NULL  -4.605 73.998 nan -17.447 0x00
OBS: 58970.31 g NULL  118.277 79.458 22.318 0.729 0x00
OBS: 58982.28 g NULL  54.057 76.919 23.168 1.545 0x00
OBS: 58983.28 g NULL  -92.662 101.070 nan -1.184 0x00
OBS: 58984.27 g NULL  78.283 48.609 22.766 0.674 0x00
OBS: 58986.26 g NULL  -44.408 43.766 nan -1.070 0x00
OBS: 58987.27 g NULL  92.734 72.524 22.582 0.849 0x00
OBS: 58988.27 g NULL  295.060 82.026 21.325 0.302 0x00
OBS: 58989.26 g NULL  -9.805 37.286 nan -4.129 0x00
OBS: 58990.26 g NULL  9.563 48.855 25.049 5.547 0x00
OBS: 58992.36 g NULL  -24.122 56.824 nan -2.558 0x00
OBS: 58995.36 g NULL  -60.778 37.775 nan -0.675 0x00
OBS: 58998.35 g NULL  -76.735 59.406 nan -0.841 0x00
OBS: 59013.28 g NULL  42.301 50.090 23.434 1.286 0x00
OBS: 59014.28 g NULL  40.518 50.895 23.481 1.364 0x00
OBS: 59015.27 g NULL  -71.975 59.662 nan -0.900 0x00
OBS: 59016.28 g NULL  20.237 52.298 24.235 2.806 0x01
OBS: 59017.27 g NULL  14.016 55.945 24.633 4.334 0x00
OBS: 59018.31 g NULL  -28.126 89.680 nan -3.462 0x00
OBS: 59020.28 g NULL  107.486 145.341 22.422 1.468 0x00
OBS: 59021.27 g NULL  -33.250 41.459 nan -1.354 0x00
OBS: 59022.27 g NULL  -45.626 41.492 nan -0.987 0x00
OBS: 59023.28 g NULL  -57.312 49.052 nan -0.929 0x00
OBS: 59042.27 g NULL  3.999 56.867 25.995 15.440 0x00
OBS: 59043.27 g NULL  6.068 87.231 25.542 15.608 0x00
OBS: 59044.27 g NULL  90.919 62.739 22.603 0.749 0x00
OBS: 59047.28 g NULL  124.525 78.560 22.262 0.685 0x00
OBS: 59048.27 g NULL  77.543 51.226 22.776 0.717 0x00
OBS: 59049.27 g NULL  -185.547 161.738 nan -0.946 0x00
OBS: 59051.27 g NULL  22.315 55.236 24.129 2.688 0x00
