SURVEY:  PS1MD
SNID:  2020rdu
otherID: 
IAUC:    UNKNOWN
RA:        239.2604090  deg
DECL:       24.5807820  deg
MWEBV:    0.055 +- 0.003 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020rdu.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0004
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.461 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 163
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58931.52 g NULL  122.651 116.178 22.278 1.028 0x00
OBS: 58941.54 g NULL  120.844 69.122 22.294 0.621 0x00
OBS: 58958.58 g NULL  -8.937 37.860 nan -4.600 0x00
OBS: 58960.47 g NULL  -11.999 35.617 nan -3.223 0x00
OBS: 58962.47 g NULL  223.614 120.796 21.626 0.587 0x00
OBS: 58966.57 g NULL  115.684 50.125 22.342 0.470 0x00
OBS: 58971.40 g NULL  6.261 73.214 25.508 12.696 0x00
OBS: 58983.52 g NULL  -43.517 49.368 nan -1.232 0x00
OBS: 58985.38 g NULL  62.823 64.701 23.005 1.118 0x00
OBS: 58989.51 g NULL  41.801 45.989 23.447 1.195 0x00
OBS: 58993.37 g NULL  17.775 61.911 24.375 3.782 0x00
OBS: 58999.49 g NULL  -10.886 37.132 nan -3.703 0x00
OBS: 59016.44 g NULL  76.428 50.746 22.792 0.721 0x00
OBS: 59019.48 g NULL  43.330 113.718 23.408 2.849 0x00
OBS: 59023.43 g NULL  122.778 43.274 22.277 0.383 0x00
OBS: 59026.29 g NULL  192.764 94.253 21.787 0.531 0x01
OBS: 59028.29 g NULL  258.042 55.078 21.471 0.232 0x00
OBS: 59043.36 g NULL  284.287 40.464 21.366 0.155 0x00
OBS: 59048.35 g NULL  362.845 45.996 21.101 0.138 0x00
OBS: 59052.33 g NULL  446.798 59.081 20.875 0.144 0x00
OBS: 59055.32 g NULL  336.791 53.310 21.182 0.172 0x00
OBS: 59071.28 g NULL  378.343 49.502 21.055 0.142 0x00
OBS: 59074.30 g NULL  373.255 41.827 21.070 0.122 0x00
OBS: 59077.27 g NULL  452.356 47.936 20.861 0.115 0x00
OBS: 59079.26 g NULL  349.518 41.276 21.141 0.128 0x00
OBS: 59082.30 g NULL  209.452 176.385 21.697 0.914 0x00
OBS: 59083.26 g NULL  374.098 60.733 21.068 0.176 0x00
OBS: 59102.25 g NULL  315.129 52.490 21.254 0.181 0x00
OBS: 59106.25 g NULL  419.415 52.037 20.943 0.135 0x00
OBS: 59108.24 g NULL  416.331 53.898 20.951 0.141 0x00
OBS: 59113.23 g NULL  239.652 318.592 21.551 1.443 0x00
OBS: 59117.23 g NULL  354.768 120.441 21.125 0.369 0x00
OBS: 59131.22 g NULL  406.670 81.629 20.977 0.218 0x00
OBS: 59136.22 g NULL  353.501 88.127 21.129 0.271 0x00
OBS: 59139.22 g NULL  109.341 114.311 22.403 1.135 0x01
OBS: 59144.21 g NULL  753.736 193.589 20.307 0.279 0x01
OBS: 59292.50 g NULL  255.513 70.945 21.481 0.301 0x00
OBS: 59313.62 g NULL  188.758 49.992 21.810 0.288 0x01
OBS: 59314.48 g NULL  73.893 45.878 22.828 0.674 0x00
OBS: 59337.55 g NULL  162.880 156.365 21.970 1.042 0x00
OBS: 59343.39 g NULL  110.961 39.996 22.387 0.391 0x00
OBS: 59368.37 g NULL  153.629 67.074 22.034 0.474 0x00
OBS: 59379.31 g NULL  58.748 36.173 23.078 0.669 0x00
OBS: 59382.29 g NULL  84.063 44.899 22.688 0.580 0x00
OBS: 59383.29 g NULL  85.843 55.053 22.666 0.696 0x00
OBS: 59384.27 g NULL  148.721 75.243 22.069 0.549 0x00
OBS: 59431.32 g NULL  25.164 59.154 23.998 2.552 0x00
OBS: 59437.26 g NULL  62.067 78.567 23.018 1.374 0x00
OBS: 59439.26 g NULL  28.843 126.237 23.850 4.752 0x01
OBS: 58931.52 r NULL  -0.248 71.609 nan -313.502 0x00
OBS: 58945.51 r NULL  85.898 152.685 22.665 1.930 0x00
OBS: 58960.47 r NULL  61.955 43.139 23.020 0.756 0x00
OBS: 58966.58 r NULL  85.992 46.144 22.664 0.583 0x00
OBS: 58974.42 r NULL  28.936 110.836 23.846 4.159 0x00
OBS: 58976.43 r NULL  -405.320 270.475 nan -0.725 0x00
OBS: 58981.39 r NULL  -2.629 34.552 nan -14.269 0x00
OBS: 58989.51 r NULL  82.580 58.150 22.708 0.765 0x00
OBS: 58993.38 r NULL  -54.147 49.449 nan -0.992 0x00
OBS: 59003.45 r NULL  66.517 105.587 22.943 1.723 0x00
OBS: 59007.30 r NULL  92.330 78.513 22.587 0.923 0x00
OBS: 59009.34 r NULL  -56.596 42.611 nan -0.817 0x00
OBS: 59016.44 r NULL  70.962 45.502 22.872 0.696 0x00
