SURVEY:  PS1MD
SNID:  2020rla
otherID: 
IAUC:    UNKNOWN
RA:        334.0479130  deg
DECL:       34.7163010  deg
MWEBV:    0.094 +- 0.005 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020rla.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0025
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 1.099 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 46
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59050.61 g NULL  -6.271 50.413 nan -8.728 0x00
OBS: 59053.48 g NULL  -22.178 54.936 nan -2.689 0x00
OBS: 59073.49 g NULL  462.059 58.771 20.838 0.138 0x00
OBS: 59076.48 g NULL  481.772 41.489 20.793 0.094 0x01
OBS: 59080.41 g NULL  448.121 38.776 20.872 0.094 0x00
OBS: 59101.37 g NULL  59.777 39.282 23.059 0.713 0x00
OBS: 59104.40 g NULL  131.265 44.830 22.205 0.371 0x00
OBS: 59109.35 g NULL  281.436 405.010 21.377 1.562 0x00
OBS: 59131.37 g NULL  75.374 54.772 22.807 0.789 0x00
OBS: 59136.29 g NULL  1569.999 2788.787 19.510 1.929 0x09
OBS: 59139.23 g NULL  13.057 56.483 24.710 4.697 0x00
OBS: 59144.23 g NULL  100.478 90.881 22.495 0.982 0x00
OBS: 59166.21 g NULL  -191.202 108.529 nan -0.616 0x01
OBS: 59170.21 g NULL  -146.686 68.694 nan -0.508 0x00
OBS: 59050.61 r NULL  43.232 46.350 23.410 1.164 0x00
OBS: 59064.51 r NULL  210.082 155.041 21.694 0.801 0x01
OBS: 59066.51 r NULL  -152.965 133.313 nan -0.946 0x00
OBS: 59070.54 r NULL  243.816 58.743 21.532 0.262 0x00
OBS: 59076.48 r NULL  438.244 54.544 20.896 0.135 0x01
OBS: 59090.41 r NULL  210.846 89.965 21.690 0.463 0x01
OBS: 59094.44 r NULL  315.518 79.240 21.252 0.273 0x00
OBS: 59097.47 r NULL  526.890 104.413 20.696 0.215 0x00
OBS: 59099.44 r NULL  288.913 76.227 21.348 0.286 0x01
OBS: 59109.35 r NULL  103.801 52.372 22.459 0.548 0x00
OBS: 59118.44 r NULL  92.142 51.304 22.589 0.605 0x00
OBS: 59128.29 r NULL  1.406 72.140 27.130 55.708 0x09
OBS: 59136.29 r NULL  -16.270 47.759 nan -3.187 0x00
OBS: 59155.22 r NULL  -10.048 96.499 nan -10.427 0x00
OBS: 59157.36 r NULL  -19.749 44.652 nan -2.455 0x00
OBS: 59159.25 r NULL  -111.352 200.897 nan -1.959 0x00
OBS: 59179.28 r NULL  135.424 137.631 22.171 1.103 0x00
OBS: 59181.26 r NULL  -29.009 91.945 nan -3.441 0x00
OBS: 59183.31 r NULL  -110.424 229.711 nan -2.259 0x00
OBS: 59189.22 r NULL  -10.449 42.192 nan -4.384 0x00
OBS: 59053.49 i NULL  -1.890 42.600 nan -24.472 0x00
OBS: 59064.51 i NULL  -233.431 307.893 nan -1.432 0x01
OBS: 59070.54 i NULL  279.966 66.637 21.382 0.258 0x00
OBS: 59073.49 i NULL  319.906 43.829 21.237 0.149 0x00
OBS: 59080.42 i NULL  421.325 50.973 20.938 0.131 0x00
OBS: 59090.41 i NULL  425.695 95.592 20.927 0.244 0x01
OBS: 59097.47 i NULL  250.297 110.215 21.504 0.478 0x00
OBS: 59101.37 i NULL  86.171 43.865 22.662 0.553 0x00
OBS: 59113.42 i NULL  14.702 125.697 24.582 9.283 0x01
OBS: 59118.43 i NULL  157.850 58.791 22.004 0.404 0x00
OBS: 59128.30 i NULL  116.443 84.823 22.335 0.791 0x01
OBS: 59131.37 i NULL  -15.086 64.181 nan -4.619 0x00
OBS: 59139.24 i NULL  9.531 70.614 25.052 8.044 0x00
OBS: 59157.37 i NULL  -21.614 59.712 nan -3.000 0x00
OBS: 59170.21 i NULL  -73.790 111.080 nan -1.634 0x00
OBS: 59179.28 i NULL  5.597 126.069 25.630 24.456 0x00
OBS: 59183.32 i NULL  130.059 260.584 22.215 2.175 0x00
OBS: 59094.43 z NULL  247.707 79.882 21.515 0.350 0x00
OBS: 59099.43 z NULL  156.148 124.792 22.016 0.868 0x01
OBS: 59104.40 z NULL  234.116 74.869 21.576 0.347 0x00
OBS: 59144.23 z NULL  320.453 151.989 21.236 0.515 0x00
OBS: 59155.22 z NULL  -42.564 128.442 nan -3.276 0x00
OBS: 59159.25 z NULL  34.588 384.232 23.653 12.061 0x00
OBS: 59181.26 z NULL  -36.788 177.326 nan -5.233 0x00
OBS: 59185.23 z NULL  62.200 110.002 23.016 1.920 0x01
OBS: 59189.22 z NULL  -6.543 102.549 nan -17.017 0x00
END:
