SURVEY:  PS1MD
SNID:  2020rmo
otherID: 
IAUC:    UNKNOWN
RA:        2.2180860  deg
DECL:       20.3388180  deg
MWEBV:    0.039 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020rmo.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0092
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.143 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 92
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59021.59 g NULL  -33.405 59.639 nan -1.938 0x00
OBS: 59028.57 g NULL  -111.864 50.811 nan -0.493 0x00
OBS: 59049.58 g NULL  313.650 135.443 21.259 0.469 0x01
OBS: 59051.56 g NULL  382.888 66.952 21.042 0.190 0x00
OBS: 59055.54 g NULL  267.267 62.989 21.433 0.256 0x00
OBS: 59073.59 g NULL  -71.249 54.259 nan -0.827 0x00
OBS: 59077.47 g NULL  -8.977 50.419 nan -6.098 0x00
OBS: 59079.49 g NULL  20.833 59.803 24.203 3.117 0x00
OBS: 59103.40 g NULL  -75.525 42.583 nan -0.612 0x00
OBS: 59112.55 g NULL  -334.830 101.442 nan -0.329 0x01
OBS: 59117.37 g NULL  15.318 81.049 24.537 5.745 0x00
OBS: 59142.27 g NULL  -10.128 62.328 nan -6.682 0x00
OBS: 59143.27 g NULL  81.151 82.274 22.727 1.101 0x00
OBS: 59145.29 g NULL  -32.867 53.792 nan -1.777 0x00
OBS: 59147.42 g NULL  41.503 92.410 23.455 2.417 0x00
OBS: 59163.36 g NULL  -250.405 43.994 nan -0.191 0x00
OBS: 59169.22 g NULL  -79.033 53.331 nan -0.733 0x00
OBS: 59173.37 g NULL  -282.541 48.291 nan -0.186 0x09
OBS: 59381.58 g NULL  -75.952 67.675 nan -0.967 0x00
OBS: 59412.51 g NULL  48.652 66.246 23.282 1.478 0x00
OBS: 59428.53 g NULL  82.448 73.228 22.710 0.964 0x00
OBS: 59441.59 g NULL  -10.436 55.055 nan -5.728 0x00
OBS: 59443.62 g NULL  -73.598 41.045 nan -0.606 0x00
OBS: 59455.60 g NULL  -3.352 110.548 nan -35.807 0x00
OBS: 59467.56 g NULL  -0.790 63.038 nan -86.636 0x00
OBS: 59470.39 g NULL  1.926 47.451 26.788 26.749 0x00
OBS: 59485.52 g NULL  -178.497 116.810 nan -0.711 0x01
OBS: 59488.34 g NULL  16.062 62.324 24.486 4.213 0x00
OBS: 59500.44 g NULL  -5.934 58.759 nan -10.751 0x00
OBS: 59517.28 g NULL  -46.699 87.985 nan -2.046 0x00
OBS: 59519.28 g NULL  1.963 58.739 26.768 32.489 0x00
OBS: 59530.37 g NULL  51.460 100.304 23.221 2.116 0x00
OBS: 59032.55 r NULL  153.498 90.035 22.035 0.637 0x00
