SURVEY:  PS1MD
SNID:  2020rok
otherID: 
IAUC:    UNKNOWN
RA:        321.6465090  deg
DECL:       10.1761440  deg
MWEBV:    0.040 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020rok.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0047
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 0.517 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 159
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59000.51 g NULL  -14.918 39.441 nan -2.871 0x00
OBS: 59016.48 g NULL  -9.338 52.669 nan -6.124 0x01
OBS: 59021.54 g NULL  -6.579 67.532 nan -11.145 0x00
OBS: 59022.54 g NULL  0.189 43.849 29.309 251.897 0x00
OBS: 59027.51 g NULL  61.214 43.358 23.033 0.769 0x00
OBS: 59028.53 g NULL  -33.033 52.268 nan -1.718 0x00
OBS: 59046.53 g NULL  161.523 254.514 21.979 1.711 0x00
OBS: 59049.48 g NULL  72.024 64.843 22.856 0.977 0x00
OBS: 59053.52 g NULL  -56.246 56.829 nan -1.097 0x00
OBS: 59071.37 g NULL  421.366 65.711 20.938 0.169 0x00
OBS: 59075.36 g NULL  493.071 55.268 20.768 0.122 0x00
OBS: 59107.24 g NULL  60.758 39.248 23.041 0.701 0x00
OBS: 59111.30 g NULL  642.358 377.889 20.481 0.639 0x00
OBS: 59113.24 g NULL  -114.058 99.853 nan -0.951 0x00
OBS: 59117.24 g NULL  -143.088 105.400 nan -0.800 0x00
OBS: 59133.32 g NULL  -79.421 67.583 nan -0.924 0x00
OBS: 59137.23 g NULL  2.227 45.104 26.631 21.990 0x00
OBS: 59144.29 g NULL  82.424 66.415 22.710 0.875 0x00
OBS: 59161.24 g NULL  -72.617 58.500 nan -0.875 0x00
OBS: 59170.22 g NULL  48.766 89.035 23.280 1.982 0x00
OBS: 59346.60 g NULL  72.805 50.262 22.845 0.750 0x00
OBS: 59350.60 g NULL  74.039 104.356 22.826 1.530 0x00
OBS: 59354.59 g NULL  56.029 60.700 23.129 1.176 0x01
OBS: 59369.59 g NULL  -25.386 158.954 nan -6.798 0x01
OBS: 59370.57 g NULL  23.292 54.263 24.082 2.529 0x00
OBS: 59373.59 g NULL  -18.076 55.883 nan -3.357 0x01
OBS: 59376.55 g NULL  27.715 50.706 23.893 1.986 0x00
OBS: 59379.51 g NULL  -39.554 34.940 nan -0.959 0x00
OBS: 59382.51 g NULL  68.822 41.490 22.906 0.655 0x00
