SURVEY:  PS1MD
SNID:  2020rpl
otherID: 
IAUC:    UNKNOWN
RA:        357.0779130  deg
DECL:       24.8431030  deg
MWEBV:    0.050 +- 0.003 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020rpl.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0121
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.405 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 86
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59046.54 g NULL  189.148 202.558 21.808 1.163 0x00
OBS: 59050.55 g NULL  332.400 50.548 21.196 0.165 0x00
OBS: 59055.54 g NULL  247.611 45.234 21.516 0.198 0x00
OBS: 59074.49 g NULL  14.221 50.031 24.618 3.820 0x00
OBS: 59078.47 g NULL  101.003 59.792 22.489 0.643 0x01
OBS: 59082.43 g NULL  42.578 51.946 23.427 1.325 0x00
OBS: 59083.60 g NULL  115.583 56.776 22.343 0.533 0x00
OBS: 59084.60 g NULL  -62.538 123.543 nan -2.145 0x00
OBS: 59107.53 g NULL  -79.454 44.238 nan -0.605 0x00
OBS: 59109.35 g NULL  327.669 184.756 21.211 0.612 0x01
OBS: 59117.37 g NULL  -139.079 91.171 nan -0.712 0x00
OBS: 59133.48 g NULL  -85.212 72.312 nan -0.921 0x00
OBS: 59142.26 g NULL  185.461 71.220 21.829 0.417 0x01
OBS: 59146.44 g NULL  78.252 51.907 22.766 0.720 0x00
OBS: 59169.23 g NULL  -41.966 48.135 nan -1.245 0x00
OBS: 59173.37 g NULL  34.357 48.355 23.660 1.528 0x00
OBS: 59194.32 g NULL  -43.499 44.005 nan -1.098 0x00
OBS: 59400.57 g NULL  -84.795 68.920 nan -0.882 0x00
OBS: 59408.55 g NULL  -2.416 67.327 nan -30.256 0x00
