SURVEY:  PS1MD
SNID:  2020rrr
otherID: 
IAUC:    UNKNOWN
RA:        325.8221100  deg
DECL:       9.4680400  deg
MWEBV:    0.049 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020rrr.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0030
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 0.826 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 140
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58998.57 g NULL  40.990 38.581 23.468 1.022 0x00
OBS: 59000.52 g NULL  55.605 37.787 23.137 0.738 0x00
OBS: 59013.56 g NULL  137.256 64.213 22.156 0.508 0x00
OBS: 59016.48 g NULL  37.015 54.619 23.579 1.602 0x00
OBS: 59021.54 g NULL  -7.241 63.479 nan -9.518 0x00
OBS: 59022.54 g NULL  46.827 74.061 23.324 1.717 0x01
OBS: 59028.53 g NULL  -14.726 37.959 nan -2.799 0x00
OBS: 59050.55 g NULL  27.427 35.000 23.905 1.386 0x00
OBS: 59073.33 g NULL  315.547 53.896 21.252 0.185 0x00
OBS: 59075.36 g NULL  429.526 44.861 20.918 0.113 0x00
OBS: 59077.37 g NULL  392.264 53.919 21.016 0.149 0x00
OBS: 59080.36 g NULL  426.509 46.788 20.925 0.119 0x00
OBS: 59101.30 g NULL  104.143 65.904 22.456 0.687 0x00
OBS: 59107.24 g NULL  -36.250 48.878 nan -1.464 0x00
OBS: 59111.30 g NULL  889.417 679.329 20.127 0.829 0x00
OBS: 59113.24 g NULL  251.148 172.638 21.500 0.746 0x00
OBS: 59117.24 g NULL  -59.374 97.859 nan -1.789 0x00
OBS: 59133.32 g NULL  -134.670 50.437 nan -0.407 0x00
OBS: 59140.22 g NULL  -101.435 114.430 nan -1.225 0x00
OBS: 59161.24 g NULL  19.313 37.109 24.285 2.086 0x00
OBS: 59170.22 g NULL  -46.620 61.595 nan -1.434 0x00
OBS: 59342.61 g NULL  127.510 58.684 22.236 0.500 0x00
OBS: 59346.60 g NULL  -115.476 67.390 nan -0.634 0x00
OBS: 59350.60 g NULL  107.745 94.685 22.419 0.954 0x00
OBS: 59354.59 g NULL  65.962 53.638 22.952 0.883 0x00
OBS: 59370.57 g NULL  -58.137 61.229 nan -1.143 0x01
OBS: 59376.55 g NULL  -17.154 47.086 nan -2.980 0x00
OBS: 59379.51 g NULL  58.221 53.474 23.087 0.997 0x00
OBS: 59382.51 g NULL  17.179 59.911 24.413 3.786 0x01
OBS: 59398.51 g NULL  -95.119 131.200 nan -1.498 0x00
OBS: 59399.46 g NULL  -71.618 58.104 nan -0.881 0x00
OBS: 59406.47 g NULL  -42.792 53.761 nan -1.364 0x00
