SURVEY:  PS1MD
SNID:  2020rxp
otherID: 
IAUC:    UNKNOWN
RA:        236.6211290  deg
DECL:       17.6538810  deg
MWEBV:    0.029 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020rxp.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0016
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.328 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 71
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58959.59 g NULL  -124.552 51.849 nan -0.452 0x00
OBS: 58966.57 g NULL  41.607 84.276 23.452 2.199 0x00
OBS: 58968.54 g NULL  -77.388 58.574 nan -0.822 0x00
OBS: 58982.51 g NULL  -80.451 92.576 nan -1.249 0x00
OBS: 58984.49 g NULL  -52.022 47.313 nan -0.987 0x00
OBS: 58988.49 g NULL  -91.941 66.907 nan -0.790 0x01
OBS: 58994.48 g NULL  21.443 71.722 24.172 3.632 0x00
OBS: 59000.50 g NULL  24.272 51.048 24.037 2.283 0x00
OBS: 59019.47 g NULL  -203.854 189.933 nan -1.012 0x00
OBS: 59023.38 g NULL  -26.821 50.945 nan -2.062 0x00
OBS: 59054.34 g NULL  72.597 72.232 22.848 1.080 0x00
OBS: 59071.27 g NULL  -65.559 85.149 nan -1.410 0x00
OBS: 59074.29 g NULL  -44.453 70.163 nan -1.714 0x00
OBS: 59077.26 g NULL  83.510 64.304 22.696 0.836 0x00
OBS: 59079.25 g NULL  289.959 59.964 21.344 0.225 0x00
OBS: 59082.31 g NULL  381.433 112.263 21.046 0.320 0x00
OBS: 59083.26 g NULL  766.885 64.297 20.288 0.091 0x00
OBS: 59102.24 g NULL  434.750 86.396 20.904 0.216 0x00
OBS: 59106.24 g NULL  291.978 72.119 21.337 0.268 0x00
OBS: 59108.23 g NULL  305.668 69.660 21.287 0.247 0x00
OBS: 59115.23 g NULL  4.245 72.887 25.930 18.642 0x00
OBS: 59131.22 g NULL  174.583 104.580 21.895 0.650 0x00
OBS: 59136.22 g NULL  79.386 120.886 22.751 1.653 0x00
OBS: 58947.61 r NULL  -438.431 310.823 nan -0.770 0x00
OBS: 58968.54 r NULL  -122.082 62.154 nan -0.553 0x00
OBS: 58973.58 r NULL  55.323 104.643 23.143 2.054 0x09
OBS: 59011.52 r NULL  226.592 161.106 21.612 0.772 0x00
OBS: 59023.38 r NULL  -8.858 65.955 nan -8.084 0x00
OBS: 59040.37 r NULL  -58.115 56.244 nan -1.051 0x00
OBS: 59060.36 r NULL  189.842 186.958 21.804 1.069 0x00
OBS: 59063.32 r NULL  -88.335 149.593 nan -1.839 0x00
OBS: 59066.28 r NULL  33.259 70.593 23.695 2.305 0x00
OBS: 59069.34 r NULL  79.521 66.424 22.749 0.907 0x00
OBS: 59077.26 r NULL  204.790 59.177 21.722 0.314 0x00
OBS: 59082.31 r NULL  840.729 240.999 20.188 0.311 0x00
OBS: 59094.25 r NULL  1749.835 166.552 19.393 0.103 0x00
OBS: 59096.26 r NULL  1540.299 103.707 19.531 0.073 0x00
OBS: 59098.30 r NULL  1379.213 99.836 19.651 0.079 0x00
OBS: 59106.24 r NULL  952.220 78.944 20.053 0.090 0x00
OBS: 59119.23 r NULL  229.053 114.917 21.600 0.545 0x00
OBS: 59122.23 r NULL  450.357 134.139 20.866 0.323 0x00
OBS: 59300.53 r NULL  -114.837 478.236 nan -4.522 0x00
OBS: 58959.59 i NULL  -180.304 70.471 nan -0.424 0x00
OBS: 58966.57 i NULL  -21.772 82.186 nan -4.098 0x00
OBS: 58984.49 i NULL  29.852 82.084 23.813 2.985 0x00
OBS: 58988.49 i NULL  -128.882 101.572 nan -0.856 0x01
OBS: 58994.49 i NULL  223.509 98.621 21.627 0.479 0x00
OBS: 59000.50 i NULL  -238.189 72.028 nan -0.328 0x01
OBS: 59019.47 i NULL  -148.304 151.325 nan -1.108 0x00
OBS: 59040.37 i NULL  231.491 109.958 21.589 0.516 0x00
OBS: 59054.34 i NULL  156.980 76.778 22.010 0.531 0x00
OBS: 59063.32 i NULL  -230.876 167.621 nan -0.788 0x00
OBS: 59069.34 i NULL  29.657 74.732 23.820 2.736 0x00
OBS: 59071.27 i NULL  -66.189 94.610 nan -1.552 0x00
