SURVEY:  PS1MD
SNID:  2020sag
otherID: 
IAUC:    UNKNOWN
RA:        328.1597730  deg
DECL:       7.2307550  deg
MWEBV:    0.051 +- 0.003 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020sag.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 0.714 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 128
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59014.56 g NULL  -81.384 45.994 nan -0.614 0x00
OBS: 59019.58 g NULL  -103.731 261.715 nan -2.739 0x01
OBS: 59023.59 g NULL  -51.762 415.911 nan -8.724 0x00
OBS: 59029.46 g NULL  -66.367 46.852 nan -0.766 0x00
OBS: 59049.49 g NULL  -59.190 84.633 nan -1.552 0x00
OBS: 59053.48 g NULL  38.353 72.814 23.541 2.061 0x01
OBS: 59058.56 g NULL  44.168 61.290 23.387 1.507 0x00
OBS: 59072.38 g NULL  44.501 47.082 23.379 1.149 0x00
OBS: 59076.47 g NULL  3.844 33.460 26.038 9.451 0x00
OBS: 59103.38 g NULL  11720.680 122.015 17.328 0.011 0x00
OBS: 59105.37 g NULL  11564.535 94.794 17.342 0.009 0x00
OBS: 59109.34 g NULL  10062.599 316.677 17.493 0.034 0x01
OBS: 59111.35 g NULL  9596.685 681.760 17.545 0.077 0x00
OBS: 59113.41 g NULL  8916.558 632.921 17.625 0.077 0x00
OBS: 59115.35 g NULL  7991.023 93.553 17.743 0.013 0x00
OBS: 59136.30 g NULL  1856.417 95.505 19.328 0.056 0x00
OBS: 59140.22 g NULL  1648.699 81.861 19.457 0.054 0x00
OBS: 59144.23 g NULL  1139.044 109.077 19.859 0.104 0x00
OBS: 59166.22 g NULL  668.427 90.390 20.437 0.147 0x00
OBS: 59346.60 g NULL  71.450 56.512 22.865 0.859 0x00
OBS: 59350.60 g NULL  105.892 67.767 22.438 0.695 0x00
OBS: 59353.57 g NULL  58.140 73.033 23.089 1.364 0x01
OBS: 59354.59 g NULL  135.523 47.640 22.170 0.382 0x00
OBS: 59355.59 g NULL  12.024 51.064 24.800 4.611 0x00
OBS: 59371.56 g NULL  86.227 83.683 22.661 1.054 0x00
OBS: 59374.58 g NULL  91.145 58.719 22.601 0.699 0x00
OBS: 59377.56 g NULL  47.207 36.386 23.315 0.837 0x00
OBS: 59380.56 g NULL  65.599 64.920 22.958 1.074 0x01
OBS: 59399.46 g NULL  60.055 51.469 23.054 0.931 0x00
OBS: 59406.57 g NULL  -415.949 664.984 nan -1.736 0x00
OBS: 59409.44 g NULL  175.569 98.044 21.889 0.606 0x01
OBS: 59412.60 g NULL  20.996 49.061 24.195 2.537 0x00
OBS: 59413.44 g NULL  -44.840 104.954 nan -2.541 0x00
OBS: 59430.48 g NULL  -16.778 36.498 nan -2.362 0x00
OBS: 59433.38 g NULL  130.973 41.676 22.207 0.345 0x00
OBS: 59434.52 g NULL  36.238 41.872 23.602 1.255 0x00
OBS: 59437.40 g NULL  73.364 64.658 22.836 0.957 0x01
OBS: 59439.40 g NULL  127.201 99.022 22.239 0.845 0x01
OBS: 59441.43 g NULL  -138.853 65.530 nan -0.512 0x00
OBS: 59443.43 g NULL  11.599 81.153 24.839 7.596 0x00
OBS: 59464.39 g NULL  21.487 55.006 24.170 2.779 0x00
OBS: 59467.34 g NULL  55.586 47.929 23.138 0.936 0x00
OBS: 59469.28 g NULL  -37.783 66.893 nan -1.922 0x00
OBS: 59485.28 g NULL  0.495 38.639 28.263 84.751 0x00
OBS: 59493.23 g NULL  -3.979 62.882 nan -17.158 0x01
OBS: 59498.43 g NULL  37.919 43.176 23.553 1.236 0x00
OBS: 59515.21 g NULL  -16.783 60.918 nan -3.941 0x00
OBS: 59517.21 g NULL  68.267 67.470 22.914 1.073 0x00
OBS: 59525.26 g NULL  -64.773 44.408 nan -0.744 0x01
OBS: 59023.60 r NULL  223.616 365.631 21.626 1.775 0x00
OBS: 59049.49 r NULL  89.797 107.922 22.617 1.305 0x00
OBS: 59053.48 r NULL  -58.718 46.649 nan -0.863 0x00
OBS: 59070.54 r NULL  104.514 55.960 22.452 0.581 0x00
OBS: 59097.41 r NULL  8872.018 111.249 17.630 0.014 0x00
OBS: 59099.43 r NULL  9738.499 112.620 17.529 0.013 0x00
OBS: 59105.38 r NULL  11158.206 116.063 17.381 0.011 0x00
OBS: 59111.35 r NULL  10126.112 476.583 17.486 0.051 0x00
OBS: 59136.30 r NULL  4715.187 127.475 18.316 0.029 0x00
OBS: 59140.22 r NULL  3604.542 111.439 18.608 0.034 0x00
OBS: 59153.26 r NULL  2324.598 93.103 19.084 0.043 0x00
OBS: 59159.24 r NULL  2103.209 254.672 19.193 0.131 0x00
OBS: 59166.21 r NULL  1837.647 101.241 19.339 0.060 0x00
OBS: 59181.25 r NULL  1113.933 123.027 19.883 0.120 0x00
OBS: 59185.22 r NULL  855.730 92.246 20.169 0.117 0x00
OBS: 59346.60 r NULL  57.402 50.776 23.103 0.960 0x00
OBS: 59356.57 r NULL  13.851 59.489 24.646 4.663 0x00
OBS: 59357.60 r NULL  12.277 43.444 24.777 3.842 0x00
OBS: 59358.60 r NULL  23.537 61.169 24.071 2.822 0x00
OBS: 59359.56 r NULL  -1.290 91.556 nan -77.059 0x00
OBS: 59361.59 r NULL  54.212 95.695 23.165 1.917 0x00
OBS: 59371.56 r NULL  81.266 71.930 22.725 0.961 0x01
OBS: 59377.56 r NULL  29.756 40.529 23.816 1.479 0x00
OBS: 59385.49 r NULL  51.978 49.220 23.210 1.028 0x00
OBS: 59387.54 r NULL  33.683 54.959 23.681 1.772 0x00
OBS: 59399.46 r NULL  35.688 52.700 23.619 1.603 0x00
OBS: 59409.44 r NULL  40.449 57.371 23.483 1.540 0x01
OBS: 59415.51 r NULL  69.077 52.227 22.902 0.821 0x00
OBS: 59433.38 r NULL  29.477 54.237 23.826 1.998 0x00
OBS: 59437.40 r NULL  -52.365 62.867 nan -1.303 0x01
OBS: 59445.39 r NULL  -6.027 77.724 nan -14.002 0x00
OBS: 59452.58 r NULL  9.346 124.907 25.073 14.511 0x00
OBS: 59454.56 r NULL  126.675 74.994 22.243 0.643 0x00
OBS: 59467.34 r NULL  65.963 38.439 22.952 0.633 0x00
OBS: 59480.47 r NULL  155.881 91.585 22.018 0.638 0x00
OBS: 59483.40 r NULL  -57.652 110.165 nan -2.075 0x00
OBS: 59507.29 r NULL  -35.177 96.183 nan -2.969 0x00
OBS: 59508.30 r NULL  -171.656 97.013 nan -0.614 0x00
OBS: 59511.26 r NULL  -22.066 70.349 nan -3.461 0x00
OBS: 59512.29 r NULL  -10.575 62.669 nan -6.434 0x00
OBS: 59525.27 r NULL  -23.081 42.580 nan -2.003 0x00
OBS: 59014.56 i NULL  -17.495 66.964 nan -4.156 0x00
OBS: 59019.59 i NULL  55.193 217.531 23.145 4.279 0x01
OBS: 59029.46 i NULL  -28.368 45.543 nan -1.743 0x00
OBS: 59031.52 i NULL  -104.436 71.685 nan -0.745 0x01
OBS: 59058.56 i NULL  70.263 76.644 22.883 1.184 0x00
OBS: 59076.47 i NULL  -66.388 40.114 nan -0.656 0x00
OBS: 59097.42 i NULL  6388.259 123.582 17.987 0.021 0x00
OBS: 59103.38 i NULL  6474.024 75.702 17.972 0.013 0x00
OBS: 59109.34 i NULL  5377.420 256.886 18.174 0.052 0x00
OBS: 59113.41 i NULL  4964.139 326.262 18.260 0.071 0x00
OBS: 59144.22 i NULL  3058.504 102.900 18.786 0.037 0x00
OBS: 59185.22 i NULL  516.320 82.998 20.718 0.175 0x00
OBS: 59350.60 i NULL  92.094 80.502 22.589 0.949 0x00
OBS: 59354.59 i NULL  44.679 49.743 23.375 1.209 0x00
OBS: 59357.60 i NULL  139.481 62.750 22.139 0.488 0x00
OBS: 59359.57 i NULL  174.279 93.548 21.897 0.583 0x00
OBS: 59374.58 i NULL  23.623 57.912 24.067 2.662 0x00
OBS: 59380.56 i NULL  -57.488 76.081 nan -1.437 0x00
OBS: 59385.49 i NULL  34.191 53.478 23.665 1.698 0x00
OBS: 59406.57 i NULL  839.545 1346.848 20.190 1.742 0x00
OBS: 59413.45 i NULL  -18.992 97.340 nan -5.565 0x00
OBS: 59430.48 i NULL  -2.516 44.037 nan -19.003 0x00
OBS: 59434.52 i NULL  3.989 51.947 25.998 14.139 0x01
OBS: 59439.40 i NULL  -132.679 97.968 nan -0.802 0x01
OBS: 59443.43 i NULL  -68.325 72.853 nan -1.158 0x00
OBS: 59452.57 i NULL  4.659 126.660 25.829 29.517 0x00
OBS: 59464.38 i NULL  -50.215 65.189 nan -1.410 0x00
OBS: 59469.28 i NULL  13.403 113.291 24.682 9.177 0x01
OBS: 59485.28 i NULL  -79.448 46.239 nan -0.632 0x00
OBS: 59493.23 i NULL  61.879 75.317 23.021 1.322 0x00
OBS: 59498.43 i NULL  -73.127 61.616 nan -0.915 0x00
OBS: 59507.30 i NULL  -53.615 89.369 nan -1.810 0x00
