SURVEY:  PS1MD
SNID:  2020sga
otherID: 
IAUC:    UNKNOWN
RA:        320.9012530  deg
DECL:       13.8174950  deg
MWEBV:    0.079 +- 0.004 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020sga.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0002
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 1.375 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 127
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59021.54 g NULL  -41.119 116.854 nan -3.085 0x01
OBS: 59027.51 g NULL  29.356 60.202 23.831 2.227 0x00
OBS: 59028.53 g NULL  68.022 94.456 22.918 1.508 0x00
OBS: 59049.48 g NULL  97.763 199.265 22.525 2.213 0x01
OBS: 59050.55 g NULL  115.927 57.046 22.340 0.534 0x00
OBS: 59071.37 g NULL  23.746 62.642 24.061 2.864 0x00
OBS: 59077.37 g NULL  -27.436 42.954 nan -1.700 0x00
OBS: 59080.36 g NULL  44.194 49.933 23.387 1.227 0x00
OBS: 59101.30 g NULL  4229.418 111.544 18.434 0.029 0x00
OBS: 59103.38 g NULL  4278.447 94.359 18.422 0.024 0x00
OBS: 59113.24 g NULL  3574.212 163.057 18.617 0.050 0x00
OBS: 59117.24 g NULL  2409.604 113.566 19.045 0.051 0x01
OBS: 59133.32 g NULL  810.941 108.743 20.228 0.146 0x00
OBS: 59137.23 g NULL  646.539 78.899 20.474 0.132 0x01
OBS: 59140.22 g NULL  645.644 160.760 20.475 0.270 0x00
OBS: 59144.29 g NULL  472.923 118.098 20.813 0.271 0x00
OBS: 59166.22 g NULL  148.553 150.300 22.070 1.099 0x00
OBS: 59170.22 g NULL  236.630 70.116 21.565 0.322 0x00
OBS: 59342.61 g NULL  68.267 55.686 22.914 0.886 0x00
OBS: 59354.59 g NULL  17.771 57.558 24.376 3.517 0x00
OBS: 59369.59 g NULL  327.081 310.061 21.213 1.029 0x01
OBS: 59373.59 g NULL  11.662 75.700 24.833 7.048 0x00
OBS: 59376.55 g NULL  -39.743 43.301 nan -1.183 0x00
OBS: 59379.51 g NULL  -18.394 47.469 nan -2.802 0x00
OBS: 59382.51 g NULL  77.677 33.992 22.774 0.475 0x00
OBS: 59398.51 g NULL  -20.312 67.325 nan -3.599 0x00
OBS: 59399.46 g NULL  46.468 59.467 23.332 1.389 0x00
OBS: 59406.47 g NULL  28.782 91.239 23.852 3.442 0x01
OBS: 59425.41 g NULL  -31.251 68.270 nan -2.372 0x00
OBS: 59427.38 g NULL  -55.468 72.705 nan -1.423 0x00
OBS: 59433.38 g NULL  101.725 50.128 22.481 0.535 0x00
OBS: 59437.48 g NULL  147.784 84.028 22.076 0.617 0x00
OBS: 59440.37 g NULL  90.963 53.605 22.603 0.640 0x00
OBS: 59442.38 g NULL  97.594 62.581 22.526 0.696 0x00
OBS: 59456.47 g NULL  -62.230 94.575 nan -1.650 0x00
OBS: 59462.42 g NULL  -111.713 49.081 nan -0.477 0x00
OBS: 59466.42 g NULL  70.630 78.561 22.878 1.208 0x00
OBS: 59470.29 g NULL  48.856 76.305 23.278 1.696 0x01
OBS: 59491.23 g NULL  179.344 79.419 21.866 0.481 0x00
OBS: 59493.22 g NULL  100.074 90.104 22.499 0.978 0x00
OBS: 59498.37 g NULL  108.362 60.269 22.413 0.604 0x01
OBS: 59517.27 g NULL  -22.664 73.126 nan -3.503 0x00
OBS: 59519.28 g NULL  111.288 62.505 22.384 0.610 0x00
OBS: 59525.26 g NULL  64.885 51.380 22.970 0.860 0x01
OBS: 59030.48 r NULL  -11.277 43.054 nan -4.145 0x00
OBS: 59032.51 r NULL  -262.806 90.401 nan -0.373 0x00
OBS: 59036.58 r NULL  31.155 84.268 23.766 2.937 0x00
