SURVEY:  PS1MD
SNID:  2020ssu
otherID: 
IAUC:    UNKNOWN
RA:        38.4307750  deg
DECL:       37.6643690  deg
MWEBV:    0.043 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020ssu.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0012
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 1.175 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 61
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59108.61 g NULL  592.886 65.246 20.568 0.119 0x00
OBS: 59111.51 g NULL  58.064 236.484 23.090 4.422 0x00
OBS: 59112.57 g NULL  361.031 101.446 21.106 0.305 0x00
OBS: 59133.57 g NULL  218.540 89.812 21.651 0.446 0x00
OBS: 59140.41 g NULL  134.973 76.863 22.174 0.618 0x00
OBS: 59170.38 g NULL  232.557 135.405 21.584 0.632 0x00
OBS: 59191.40 g NULL  -25.346 56.972 nan -2.440 0x01
OBS: 59199.36 g NULL  23.185 139.064 24.087 6.512 0x00
OBS: 59231.22 g NULL  13.370 72.437 24.685 5.882 0x00
OBS: 59432.61 g NULL  -26.769 71.531 nan -2.901 0x01
OBS: 59436.62 g NULL  72.581 45.049 22.848 0.674 0x00
OBS: 59440.56 g NULL  -20.686 64.603 nan -3.391 0x00
OBS: 59460.62 g NULL  -234.123 140.661 nan -0.652 0x00
OBS: 59467.58 g NULL  -41.303 109.156 nan -2.869 0x00
OBS: 59470.61 g NULL  -160.502 116.301 nan -0.787 0x00
OBS: 59494.50 g NULL  44.123 119.423 23.388 2.939 0x00
OBS: 59501.47 g NULL  46.594 91.395 23.329 2.130 0x00
OBS: 59517.52 g NULL  40.283 62.728 23.487 1.691 0x00
OBS: 59526.36 g NULL  467.516 64.023 20.826 0.149 0x00
OBS: 59530.42 g NULL  75.652 90.483 22.803 1.299 0x00
OBS: 59112.57 r NULL  1245.218 115.905 19.762 0.101 0x00
OBS: 59123.47 r NULL  781.583 95.289 20.268 0.132 0x00
OBS: 59130.47 r NULL  738.026 100.316 20.330 0.148 0x00
OBS: 59140.42 r NULL  498.426 79.058 20.756 0.172 0x00
OBS: 59179.41 r NULL  499.786 198.102 20.753 0.430 0x00
OBS: 59187.42 r NULL  331.194 109.693 21.200 0.360 0x00
OBS: 59212.27 r NULL  218.220 114.635 21.653 0.570 0x00
OBS: 59216.28 r NULL  219.820 100.894 21.645 0.498 0x00
OBS: 59231.22 r NULL  -22.788 74.723 nan -3.560 0x00
OBS: 59432.61 r NULL  12.000 62.067 24.802 5.616 0x00
OBS: 59444.59 r NULL  -0.727 51.550 nan -76.987 0x00
OBS: 59447.55 r NULL  -33.685 79.402 nan -2.559 0x00
OBS: 59450.61 r NULL  -196.194 157.082 nan -0.869 0x00
OBS: 59460.62 r NULL  91.807 137.420 22.593 1.625 0x00
OBS: 59467.57 r NULL  32.479 83.171 23.721 2.780 0x00
OBS: 59475.56 r NULL  -211.321 246.756 nan -1.268 0x00
OBS: 59494.50 r NULL  -31.064 129.756 nan -4.535 0x00
OBS: 59506.48 r NULL  -50.112 139.841 nan -3.030 0x00
OBS: 59514.42 r NULL  16.179 77.375 24.478 5.192 0x00
OBS: 59108.61 i NULL  2603.604 84.656 18.961 0.035 0x00
OBS: 59111.51 i NULL  1981.097 178.943 19.258 0.098 0x00
OBS: 59123.47 i NULL  1390.934 113.639 19.642 0.089 0x00
OBS: 59133.57 i NULL  812.850 93.128 20.225 0.124 0x00
OBS: 59170.38 i NULL  423.011 152.677 20.934 0.392 0x00
OBS: 59179.40 i NULL  454.821 123.520 20.855 0.295 0x00
OBS: 59187.42 i NULL  352.079 101.481 21.133 0.313 0x00
OBS: 59191.40 i NULL  401.753 82.108 20.990 0.222 0x01
OBS: 59199.36 i NULL  414.255 133.066 20.957 0.349 0x00
OBS: 59212.27 i NULL  195.971 108.679 21.770 0.602 0x00
OBS: 59220.22 i NULL  241.509 73.874 21.543 0.332 0x00
OBS: 59436.62 i NULL  -86.961 71.683 nan -0.895 0x00
OBS: 59440.56 i NULL  79.208 59.327 22.753 0.813 0x00
OBS: 59444.59 i NULL  63.170 60.108 22.999 1.033 0x00
OBS: 59450.61 i NULL  269.306 177.074 21.424 0.714 0x00
OBS: 59506.47 i NULL  205.525 127.746 21.718 0.675 0x00
OBS: 59517.51 i NULL  -21.658 73.010 nan -3.660 0x00
OBS: 59130.47 z NULL  850.702 158.227 20.176 0.202 0x00
OBS: 59189.38 z NULL  445.889 113.711 20.877 0.277 0x00
OBS: 59216.28 z NULL  -4.182 240.941 nan -62.553 0x00
OBS: 59447.55 z NULL  -127.085 107.306 nan -0.917 0x00
OBS: 59470.62 z NULL  -25.121 151.657 nan -6.555 0x00
OBS: 59475.57 z NULL  -110.895 461.696 nan -4.520 0x00
OBS: 59501.47 z NULL  -97.112 106.959 nan -1.196 0x00
OBS: 59530.42 z NULL  -88.045 137.200 nan -1.692 0x00
END:
