SURVEY:  PS1MD
SNID:  2020svk
otherID: 
IAUC:    UNKNOWN
RA:        315.5639450  deg
DECL:       0.0876860  deg
MWEBV:    0.061 +- 0.003 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020svk.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0056
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 1.276 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 149
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59013.56 g NULL  -59.083 67.457 nan -1.240 0x00
OBS: 59017.51 g NULL  1.382 52.703 27.149 41.405 0x00
OBS: 59027.51 g NULL  -22.048 41.083 nan -2.023 0x00
OBS: 59029.45 g NULL  4.495 55.376 25.868 13.376 0x00
OBS: 59046.52 g NULL  21.815 141.592 24.153 7.047 0x00
OBS: 59049.47 g NULL  -24.129 175.727 nan -7.907 0x09
OBS: 59050.49 g NULL  93.289 61.769 22.575 0.719 0x00
OBS: 59078.40 g NULL  -9.746 47.015 nan -5.238 0x00
OBS: 59082.42 g NULL  211.422 59.153 21.687 0.304 0x00
OBS: 59083.40 g NULL  213.451 48.942 21.677 0.249 0x00
OBS: 59110.30 g NULL  356.474 62.919 21.120 0.192 0x00
OBS: 59132.23 g NULL  109.383 48.559 22.403 0.482 0x00
OBS: 59139.23 g NULL  -0.693 57.429 nan -89.975 0x00
OBS: 59143.26 g NULL  173.845 89.520 21.900 0.559 0x00
OBS: 59163.25 g NULL  49.787 99.051 23.257 2.160 0x00
OBS: 59167.21 g NULL  72.148 101.565 22.854 1.528 0x00
OBS: 59319.62 g NULL  35.837 145.330 23.614 4.403 0x09
OBS: 59323.60 g NULL  -12.983 87.168 nan -7.290 0x09
OBS: 59342.60 g NULL  64.162 47.162 22.982 0.798 0x00
OBS: 59348.60 g NULL  47.291 74.194 23.313 1.703 0x00
OBS: 59351.59 g NULL  114.007 76.126 22.358 0.725 0x00
OBS: 59369.54 g NULL  -113.069 132.624 nan -1.274 0x00
OBS: 59370.57 g NULL  -8.765 51.272 nan -6.351 0x00
OBS: 59373.59 g NULL  -2.060 45.352 nan -23.903 0x00
OBS: 59376.54 g NULL  0.846 59.506 27.682 76.369 0x00
OBS: 59379.50 g NULL  -49.807 49.531 nan -1.080 0x00
OBS: 59381.58 g NULL  5.854 52.993 25.581 9.829 0x00
OBS: 59396.61 g NULL  6.764 74.351 25.424 11.935 0x00
OBS: 59402.46 g NULL  47.980 43.300 23.297 0.980 0x00
OBS: 59403.46 g NULL  47.071 59.885 23.318 1.381 0x00
OBS: 59404.51 g NULL  20.603 44.949 24.215 2.369 0x00
OBS: 59405.46 g NULL  -24.351 44.786 nan -1.997 0x00
OBS: 59409.44 g NULL  21.305 65.574 24.179 3.342 0x00
OBS: 59411.54 g NULL  -21.500 37.425 nan -1.890 0x00
OBS: 59432.45 g NULL  -40.203 44.358 nan -1.198 0x00
OBS: 59439.41 g NULL  -27.576 86.477 nan -3.405 0x00
OBS: 59443.44 g NULL  -64.387 54.023 nan -0.911 0x00
OBS: 59461.34 g NULL  -167.876 103.322 nan -0.668 0x00
OBS: 59466.33 g NULL  72.132 59.902 22.855 0.902 0x01
OBS: 59468.29 g NULL  111.259 76.589 22.384 0.747 0x00
OBS: 59485.28 g NULL  26.004 55.593 23.962 2.321 0x00
OBS: 59487.23 g NULL  41.570 80.183 23.453 2.094 0x00
OBS: 59488.27 g NULL  8.759 69.074 25.144 8.562 0x00
OBS: 59494.22 g NULL  47.728 87.035 23.303 1.980 0x01
OBS: 59515.21 g NULL  106.465 65.889 22.432 0.672 0x01
OBS: 59516.21 g NULL  73.277 72.347 22.838 1.072 0x00
OBS: 59518.21 g NULL  -55.827 53.673 nan -1.044 0x00
OBS: 59017.51 r NULL  -11.661 40.652 nan -3.785 0x00
OBS: 59030.49 r NULL  13.147 58.007 24.703 4.790 0x00
OBS: 59033.53 r NULL  -31.189 78.427 nan -2.730 0x00
OBS: 59046.53 r NULL  225.597 183.246 21.617 0.882 0x00
OBS: 59050.49 r NULL  -70.914 70.129 nan -1.074 0x00
OBS: 59055.45 r NULL  -46.926 58.144 nan -1.345 0x01
OBS: 59068.40 r NULL  104.061 82.549 22.457 0.861 0x00
OBS: 59078.40 r NULL  123.427 57.173 22.271 0.503 0x00
OBS: 59082.43 r NULL  122.019 48.907 22.284 0.435 0x00
OBS: 59095.42 r NULL  605.208 105.811 20.545 0.190 0x00
OBS: 59097.41 r NULL  698.402 93.076 20.390 0.145 0x00
OBS: 59099.42 r NULL  742.690 85.865 20.323 0.126 0x00
OBS: 59100.33 r NULL  593.024 58.817 20.567 0.108 0x00
OBS: 59114.31 r NULL  392.549 88.702 21.015 0.245 0x00
OBS: 59126.35 r NULL  84.826 97.673 22.679 1.250 0x00
