SURVEY:  PS1MD
SNID:  2020sxo
otherID: 
IAUC:    UNKNOWN
RA:        233.7492970  deg
DECL:       13.4750700  deg
MWEBV:    0.036 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020sxo.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0022
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.190 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 181
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58955.46 g NULL  -4.659 56.950 nan -13.272 0x00
OBS: 58958.53 g NULL  44.127 40.319 23.388 0.992 0x00
OBS: 58960.45 g NULL  67.357 45.289 22.929 0.730 0x00
OBS: 58962.52 g NULL  68.774 190.862 22.906 3.013 0x00
OBS: 58966.51 g NULL  -2.775 43.602 nan -17.060 0x00
OBS: 58968.43 g NULL  56.906 39.883 23.112 0.761 0x00
OBS: 58970.42 g NULL  -91.210 86.658 nan -1.032 0x00
OBS: 58982.52 g NULL  -14.355 60.677 nan -4.589 0x00
OBS: 58986.48 g NULL  -48.728 49.311 nan -1.099 0x00
OBS: 58990.38 g NULL  9.562 78.504 25.049 8.914 0x09
OBS: 58997.35 g NULL  21.162 44.859 24.186 2.302 0x00
OBS: 58999.48 g NULL  20.118 50.094 24.241 2.703 0x00
OBS: 59000.50 g NULL  81.817 45.696 22.718 0.606 0x00
OBS: 59014.42 g NULL  62.958 56.644 23.002 0.977 0x09
OBS: 59017.28 g NULL  -36.404 36.290 nan -1.082 0x00
OBS: 59021.29 g NULL  33.823 48.514 23.677 1.557 0x00
OBS: 59024.38 g NULL  -20.601 46.117 nan -2.431 0x00
OBS: 59027.28 g NULL  -2.699 52.174 nan -20.988 0x00
OBS: 59048.30 g NULL  95.407 48.032 22.551 0.547 0x00
OBS: 59053.29 g NULL  42.337 54.491 23.433 1.397 0x01
OBS: 59071.27 g NULL  132.201 61.168 22.197 0.502 0x00
OBS: 59102.24 g NULL  1082.151 74.491 19.914 0.075 0x00
OBS: 59106.24 g NULL  822.828 61.563 20.212 0.081 0x00
OBS: 59110.23 g NULL  696.151 81.853 20.393 0.128 0x00
OBS: 59115.23 g NULL  555.752 70.622 20.638 0.138 0x00
OBS: 59291.54 g NULL  81.365 64.569 22.724 0.862 0x00
OBS: 59295.54 g NULL  120.705 51.074 22.296 0.459 0x00
OBS: 59310.49 g NULL  -14.702 41.372 nan -3.055 0x00
OBS: 59320.54 g NULL  54.715 65.150 23.155 1.293 0x00
OBS: 59323.43 g NULL  40.857 69.909 23.472 1.858 0x00
OBS: 59343.38 g NULL  23.100 48.473 24.091 2.278 0x00
OBS: 59346.39 g NULL  64.888 40.717 22.970 0.681 0x00
OBS: 59350.38 g NULL  179.345 72.767 21.866 0.441 0x00
OBS: 59354.37 g NULL  216.495 73.816 21.661 0.370 0x00
OBS: 59355.37 g NULL  -25.143 76.458 nan -3.302 0x00
OBS: 59367.34 g NULL  51.074 51.305 23.230 1.091 0x00
OBS: 59374.46 g NULL  -31.728 99.761 nan -3.414 0x00
OBS: 59377.49 g NULL  57.617 67.868 23.099 1.279 0x01
OBS: 59380.39 g NULL  -56.341 81.964 nan -1.580 0x00
OBS: 59382.29 g NULL  90.226 58.229 22.612 0.701 0x00
