SURVEY:  PS1MD
SNID:  2020tfb
otherID: 
IAUC:    UNKNOWN
RA:        92.2172100  deg
DECL:       -26.4127710  deg
MWEBV:    0.028 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020tfb.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 0.840 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 60
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59113.63 g NULL  1020.194 242.508 19.978 0.258 0x00
OBS: 59117.62 g NULL  1294.959 102.178 19.719 0.086 0x00
OBS: 59133.63 g NULL  1033.902 97.711 19.964 0.103 0x00
OBS: 59138.63 g NULL  1138.254 194.542 19.859 0.186 0x00
OBS: 59141.59 g NULL  1022.758 66.124 19.976 0.070 0x01
OBS: 59145.59 g NULL  1017.448 67.761 19.981 0.072 0x00
OBS: 59147.60 g NULL  952.957 59.347 20.052 0.068 0x00
OBS: 59161.56 g NULL  766.984 86.365 20.288 0.122 0x00
OBS: 59167.52 g NULL  822.403 157.163 20.212 0.207 0x01
OBS: 59191.41 g NULL  433.876 79.178 20.907 0.198 0x00
OBS: 59193.43 g NULL  357.649 292.888 21.116 0.889 0x09
OBS: 59200.42 g NULL  214.185 79.403 21.673 0.403 0x00
OBS: 59206.41 g NULL  157.733 75.432 22.005 0.519 0x00
OBS: 59225.39 g NULL  159.271 90.505 21.995 0.617 0x00
OBS: 59229.39 g NULL  142.082 56.455 22.119 0.431 0x00
OBS: 59113.63 r NULL  1837.588 132.079 19.339 0.078 0x00
OBS: 59120.62 r NULL  1675.741 69.274 19.439 0.045 0x00
OBS: 59125.60 r NULL  1769.350 134.603 19.380 0.083 0x01
OBS: 59129.62 r NULL  1847.243 78.344 19.334 0.046 0x00
OBS: 59138.63 r NULL  1679.435 207.067 19.437 0.134 0x00
OBS: 59154.53 r NULL  1542.372 130.539 19.530 0.092 0x09
OBS: 59156.52 r NULL  1775.286 86.234 19.377 0.053 0x00
OBS: 59158.55 r NULL  1607.857 78.878 19.484 0.053 0x00
OBS: 59167.53 r NULL  1476.774 172.097 19.577 0.127 0x01
OBS: 59178.43 r NULL  1146.542 165.543 19.852 0.157 0x00
OBS: 59182.50 r NULL  1129.623 124.779 19.868 0.120 0x00
OBS: 59184.49 r NULL  1211.761 100.451 19.791 0.090 0x00
OBS: 59187.43 r NULL  826.229 91.486 20.207 0.120 0x00
OBS: 59189.49 r NULL  1096.637 79.832 19.900 0.079 0x00
OBS: 59200.42 r NULL  723.950 76.514 20.351 0.115 0x00
OBS: 59208.43 r NULL  524.930 85.883 20.700 0.178 0x00
OBS: 59210.38 r NULL  550.053 329.287 20.649 0.650 0x00
OBS: 59213.40 r NULL  563.278 168.252 20.623 0.324 0x00
OBS: 59216.38 r NULL  530.896 175.889 20.687 0.360 0x01
OBS: 59218.42 r NULL  302.386 62.941 21.299 0.226 0x00
OBS: 59225.39 r NULL  261.188 93.428 21.458 0.388 0x00
OBS: 59237.39 r NULL  273.501 119.143 21.408 0.473 0x00
OBS: 59242.36 r NULL  304.056 302.114 21.293 1.079 0x00
OBS: 59244.35 r NULL  100.702 113.195 22.492 1.220 0x00
OBS: 59245.26 r NULL  194.717 70.314 21.776 0.392 0x00
OBS: 59246.34 r NULL  124.090 94.209 22.266 0.824 0x00
OBS: 59117.62 i NULL  1988.445 96.612 19.254 0.053 0x00
OBS: 59125.60 i NULL  2144.016 137.007 19.172 0.069 0x01
OBS: 59129.62 i NULL  2037.019 73.596 19.228 0.039 0x00
OBS: 59141.59 i NULL  1990.554 48.892 19.253 0.027 0x00
OBS: 59145.59 i NULL  2064.743 70.622 19.213 0.037 0x00
OBS: 59154.52 i NULL  1847.107 103.645 19.334 0.061 0x01
OBS: 59158.55 i NULL  1765.661 92.629 19.383 0.057 0x00
OBS: 59182.50 i NULL  1283.231 94.905 19.729 0.080 0x00
OBS: 59187.44 i NULL  1110.768 130.970 19.886 0.128 0x00
OBS: 59189.49 i NULL  1212.832 75.317 19.790 0.067 0x00
OBS: 59206.41 i NULL  694.579 62.079 20.396 0.097 0x00
OBS: 59208.43 i NULL  560.101 103.062 20.629 0.200 0x00
OBS: 59213.40 i NULL  667.612 154.103 20.439 0.251 0x01
OBS: 59216.38 i NULL  126.893 207.073 22.241 1.772 0x01
OBS: 59229.39 i NULL  359.718 86.358 21.110 0.261 0x00
OBS: 59237.39 i NULL  105.184 135.623 22.445 1.400 0x00
OBS: 59242.37 i NULL  454.705 207.303 20.856 0.495 0x00
OBS: 59245.27 i NULL  288.421 72.679 21.350 0.274 0x00
OBS: 59120.62 z NULL  1837.163 151.803 19.340 0.090 0x00
OBS: 59133.63 z NULL  1803.755 114.247 19.360 0.069 0x00
OBS: 59147.60 z NULL  1700.961 103.612 19.423 0.066 0x00
OBS: 59156.53 z NULL  1930.042 131.273 19.286 0.074 0x00
OBS: 59161.57 z NULL  1786.740 114.378 19.370 0.070 0x00
OBS: 59178.44 z NULL  1562.373 240.251 19.516 0.167 0x00
OBS: 59184.49 z NULL  1177.392 107.411 19.823 0.099 0x00
OBS: 59191.41 z NULL  1139.342 97.318 19.858 0.093 0x00
OBS: 59210.38 z NULL  1049.988 621.635 19.947 0.643 0x00
OBS: 59218.41 z NULL  501.656 106.474 20.749 0.230 0x00
OBS: 59244.35 z NULL  276.105 158.624 21.397 0.624 0x00
OBS: 59246.35 z NULL  224.546 153.745 21.622 0.743 0x00
END:
