SURVEY:  PS1MD
SNID:  2020tgu
otherID: 
IAUC:    UNKNOWN
RA:        244.2087430  deg
DECL:       32.3359460  deg
MWEBV:    0.020 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020tgu.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0028
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.161 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 225
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58931.57 g NULL  15.101 35.530 24.552 2.555 0x00
OBS: 58935.59 g NULL  116.148 118.625 22.337 1.109 0x00
OBS: 58955.48 g NULL  -38.752 56.461 nan -1.582 0x00
OBS: 58956.47 g NULL  -116.670 71.604 nan -0.666 0x00
OBS: 58958.52 g NULL  59.140 49.204 23.070 0.903 0x00
OBS: 58960.47 g NULL  47.570 47.800 23.307 1.091 0x00
OBS: 58962.48 g NULL  75.591 161.931 22.804 2.326 0x00
OBS: 58966.46 g NULL  -36.015 45.022 nan -1.357 0x00
OBS: 58968.48 g NULL  32.560 50.296 23.718 1.677 0x00
OBS: 58970.49 g NULL  17.173 58.378 24.413 3.691 0x00
OBS: 58983.48 g NULL  -87.725 68.341 nan -0.846 0x00
OBS: 58985.38 g NULL  10.973 46.137 24.899 4.565 0x00
OBS: 58989.52 g NULL  21.356 57.394 24.176 2.918 0x00
OBS: 58993.38 g NULL  14.600 85.216 24.589 6.337 0x00
OBS: 58998.36 g NULL  85.961 49.699 22.664 0.628 0x00
OBS: 59013.45 g NULL  -29.531 97.033 nan -3.568 0x00
OBS: 59016.35 g NULL  101.604 40.500 22.483 0.433 0x00
OBS: 59020.33 g NULL  38.457 47.033 23.538 1.328 0x00
OBS: 59028.29 g NULL  -0.552 67.044 nan -131.870 0x00
OBS: 59029.30 g NULL  -28.623 60.850 nan -2.308 0x00
OBS: 59042.30 g NULL  -13.312 42.452 nan -3.462 0x00
OBS: 59045.28 g NULL  56.778 91.323 23.115 1.746 0x00
OBS: 59049.32 g NULL  -55.000 81.467 nan -1.608 0x00
OBS: 59050.39 g NULL  54.754 62.171 23.154 1.233 0x00
OBS: 59054.28 g NULL  -27.658 50.313 nan -1.975 0x00
OBS: 59071.38 g NULL  -79.136 85.934 nan -1.179 0x00
OBS: 59073.27 g NULL  -64.425 67.743 nan -1.142 0x00
OBS: 59075.27 g NULL  -0.752 57.181 nan -82.558 0x00
OBS: 59077.27 g NULL  32.077 54.270 23.735 1.837 0x00
OBS: 59079.27 g NULL  43.986 50.333 23.392 1.242 0x00
OBS: 59082.31 g NULL  1.195 57.328 27.307 52.086 0x00
OBS: 59083.25 g NULL  67.809 70.464 22.922 1.128 0x00
