SURVEY:  PS1MD
SNID:  2020tip
otherID: 
IAUC:    UNKNOWN
RA:        356.6939330  deg
DECL:       25.5580940  deg
MWEBV:    0.047 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020tip.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0005
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 1.170 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 104
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59046.54 g NULL  173.682 194.970 21.901 1.219 0x00
OBS: 59049.58 g NULL  -183.124 130.229 nan -0.772 0x01
OBS: 59050.55 g NULL  1.333 62.978 27.188 51.296 0x00
OBS: 59055.54 g NULL  27.133 48.549 23.916 1.943 0x00
OBS: 59072.62 g NULL  -72.917 72.350 nan -1.077 0x00
OBS: 59078.47 g NULL  79.868 52.913 22.744 0.719 0x00
OBS: 59082.43 g NULL  -138.488 61.949 nan -0.486 0x00
OBS: 59084.60 g NULL  -59.743 74.461 nan -1.353 0x01
OBS: 59103.39 g NULL  560.308 56.597 20.629 0.110 0x00
OBS: 59107.53 g NULL  1348.035 72.231 19.676 0.058 0x00
OBS: 59109.35 g NULL  1701.255 138.391 19.423 0.088 0x00
OBS: 59117.37 g NULL  2148.498 139.237 19.170 0.070 0x01
OBS: 59131.44 g NULL  968.779 96.336 20.034 0.108 0x01
OBS: 59133.48 g NULL  880.956 80.417 20.138 0.099 0x00
OBS: 59137.46 g NULL  558.128 53.126 20.633 0.103 0x01
OBS: 59142.26 g NULL  252.492 117.345 21.494 0.505 0x00
OBS: 59146.44 g NULL  224.163 81.626 21.624 0.395 0x00
OBS: 59173.37 g NULL  -6.627 63.225 nan -10.358 0x00
OBS: 59190.28 g NULL  95.778 79.911 22.547 0.906 0x00
OBS: 59192.31 g NULL  131.979 60.808 22.199 0.500 0x00
OBS: 59194.32 g NULL  178.325 53.667 21.872 0.327 0x00
OBS: 59400.57 g NULL  -47.884 51.421 nan -1.166 0x00
OBS: 59408.55 g NULL  -60.131 52.362 nan -0.945 0x00
OBS: 59413.52 g NULL  18.308 50.131 24.343 2.973 0x00
OBS: 59428.51 g NULL  -48.997 57.704 nan -1.279 0x00
OBS: 59431.47 g NULL  -46.013 47.337 nan -1.117 0x00
OBS: 59435.45 g NULL  -18.558 37.569 nan -2.198 0x00
OBS: 59443.44 g NULL  -136.336 79.310 nan -0.632 0x00
OBS: 59455.59 g NULL  -70.663 107.605 nan -1.653 0x00
OBS: 59458.58 g NULL  32.559 61.924 23.718 2.065 0x00
OBS: 59465.61 g NULL  -155.131 57.368 nan -0.402 0x00
OBS: 59468.38 g NULL  55.217 57.435 23.145 1.129 0x00
OBS: 59519.27 g NULL  -129.959 49.522 nan -0.414 0x00
OBS: 59526.21 g NULL  26.476 47.404 23.943 1.944 0x00
OBS: 59530.21 g NULL  -100.743 84.091 nan -0.906 0x00
OBS: 59031.56 r NULL  -179.042 62.531 nan -0.379 0x00
OBS: 59046.54 r NULL  -166.971 267.891 nan -1.742 0x00
OBS: 59049.58 r NULL  -225.021 81.177 nan -0.392 0x00
OBS: 59060.50 r NULL  -153.813 67.769 nan -0.478 0x00
OBS: 59064.51 r NULL  92.224 184.948 22.588 2.177 0x00
OBS: 59078.46 r NULL  -47.461 52.732 nan -1.206 0x00
OBS: 59082.43 r NULL  -152.988 74.843 nan -0.531 0x00
OBS: 59084.60 r NULL  41.585 95.021 23.453 2.481 0x00
OBS: 59093.41 r NULL  342.293 135.202 21.164 0.429 0x00
OBS: 59100.42 r NULL  67.646 92.787 22.924 1.489 0x00
OBS: 59107.53 r NULL  1230.478 81.699 19.775 0.072 0x00
OBS: 59119.36 r NULL  2248.070 86.333 19.120 0.042 0x00
OBS: 59121.51 r NULL  2015.366 182.284 19.239 0.098 0x09
OBS: 59128.46 r NULL  1702.648 84.269 19.422 0.054 0x00
OBS: 59154.40 r NULL  470.682 122.073 20.818 0.282 0x00
OBS: 59156.37 r NULL  359.070 86.892 21.112 0.263 0x00
OBS: 59158.39 r NULL  631.437 60.638 20.499 0.104 0x00
OBS: 59182.35 r NULL  143.406 115.645 22.109 0.876 0x00
OBS: 59186.34 r NULL  99.358 71.904 22.507 0.786 0x00
OBS: 59194.32 r NULL  147.698 57.819 22.077 0.425 0x00
OBS: 59408.55 r NULL  -116.570 60.058 nan -0.559 0x00
OBS: 59410.56 r NULL  -264.197 92.504 nan -0.380 0x01
OBS: 59415.50 r NULL  15.232 60.030 24.543 4.279 0x00
OBS: 59421.52 r NULL  29.891 143.222 23.811 5.202 0x00
OBS: 59435.45 r NULL  -83.036 51.266 nan -0.670 0x00
OBS: 59447.43 r NULL  24.374 88.284 24.033 3.933 0x00
OBS: 59465.61 r NULL  -21.871 66.249 nan -3.289 0x00
OBS: 59475.51 r NULL  453.131 322.198 20.859 0.772 0x00
OBS: 59482.49 r NULL  -116.765 76.905 nan -0.715 0x00
OBS: 59510.43 r NULL  -51.519 130.618 nan -2.753 0x00
OBS: 59514.42 r NULL  -85.272 48.635 nan -0.619 0x00
OBS: 59519.27 r NULL  -78.197 49.679 nan -0.690 0x00
