SURVEY:  PS1MD
SNID:  2020tkc
otherID: 
IAUC:    UNKNOWN
RA:        1.6461590  deg
DECL:       28.3094050  deg
MWEBV:    0.043 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020tkc.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0003
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.104 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 77
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59082.43 g NULL  28.145 49.895 23.876 1.925 0x00
OBS: 59083.61 g NULL  32.373 78.218 23.725 2.623 0x00
OBS: 59084.60 g NULL  90.730 99.231 22.606 1.187 0x00
OBS: 59103.39 g NULL  1355.779 72.719 19.670 0.058 0x00
OBS: 59107.53 g NULL  1176.934 82.458 19.823 0.076 0x00
OBS: 59109.35 g NULL  1056.329 365.777 19.941 0.376 0x00
OBS: 59113.48 g NULL  843.982 95.737 20.184 0.123 0x00
OBS: 59117.37 g NULL  502.312 108.506 20.748 0.235 0x00
OBS: 59131.44 g NULL  484.285 98.966 20.787 0.222 0x00
OBS: 59133.48 g NULL  125.238 106.226 22.256 0.921 0x00
OBS: 59137.46 g NULL  184.875 51.824 21.833 0.304 0x00
OBS: 59142.27 g NULL  156.143 85.426 22.016 0.594 0x00
OBS: 59146.44 g NULL  122.768 66.935 22.277 0.592 0x00
OBS: 59163.36 g NULL  109.286 67.101 22.404 0.667 0x00
OBS: 59173.37 g NULL  27.989 75.713 23.883 2.937 0x01
OBS: 59190.28 g NULL  79.631 79.882 22.747 1.089 0x01
OBS: 59192.31 g NULL  85.132 69.225 22.675 0.883 0x00
OBS: 59194.32 g NULL  8.832 77.391 25.135 9.514 0x00
OBS: 59408.55 g NULL  121.132 53.983 22.292 0.484 0x00
OBS: 59413.52 g NULL  31.031 56.265 23.771 1.969 0x00
OBS: 59428.52 g NULL  99.218 62.348 22.509 0.682 0x00
OBS: 59431.47 g NULL  123.264 57.654 22.273 0.508 0x00
OBS: 59438.46 g NULL  158.489 61.465 22.000 0.421 0x00
OBS: 59441.59 g NULL  105.999 85.297 22.437 0.874 0x01
OBS: 59458.59 g NULL  75.750 95.860 22.802 1.374 0x00
OBS: 59501.30 g NULL  63.473 106.084 22.994 1.815 0x00
OBS: 59517.27 g NULL  -83.313 63.070 nan -0.822 0x00
OBS: 59530.21 g NULL  90.001 85.507 22.614 1.032 0x00
OBS: 59082.43 r NULL  58.657 72.530 23.079 1.343 0x00
OBS: 59084.61 r NULL  99.615 68.892 22.504 0.751 0x00
OBS: 59093.41 r NULL  308.088 104.478 21.278 0.368 0x00
OBS: 59100.42 r NULL  1108.222 96.870 19.888 0.095 0x00
OBS: 59107.53 r NULL  2028.666 87.191 19.232 0.047 0x00
OBS: 59113.48 r NULL  2088.011 113.118 19.201 0.059 0x00
OBS: 59119.36 r NULL  1589.794 60.821 19.497 0.042 0x00
OBS: 59121.51 r NULL  1625.448 129.063 19.473 0.086 0x00
OBS: 59154.40 r NULL  457.943 113.486 20.848 0.269 0x00
OBS: 59156.37 r NULL  366.925 77.324 21.089 0.229 0x00
OBS: 59182.35 r NULL  111.522 129.509 22.382 1.261 0x01
OBS: 59184.31 r NULL  142.092 64.931 22.119 0.496 0x00
OBS: 59186.34 r NULL  172.215 85.835 21.910 0.541 0x00
OBS: 59188.32 r NULL  -56.060 248.682 nan -4.816 0x00
OBS: 59194.32 r NULL  102.080 55.174 22.478 0.587 0x00
OBS: 59392.51 r NULL  198.684 101.074 21.755 0.552 0x01
OBS: 59408.55 r NULL  9.273 70.919 25.082 8.304 0x00
OBS: 59435.45 r NULL  66.554 61.911 22.942 1.010 0x09
OBS: 59447.43 r NULL  -1.204 67.834 nan -61.171 0x00
OBS: 59475.51 r NULL  -148.648 332.198 nan -2.426 0x00
OBS: 59482.49 r NULL  22.086 68.991 24.140 3.392 0x00
OBS: 59514.42 r NULL  54.493 63.924 23.159 1.274 0x00
OBS: 59083.60 i NULL  27.352 71.063 23.908 2.821 0x00
OBS: 59093.41 i NULL  89.361 102.798 22.622 1.249 0x00
OBS: 59109.36 i NULL  2229.524 94.176 19.129 0.046 0x00
OBS: 59117.37 i NULL  1982.979 111.866 19.257 0.061 0x00
OBS: 59119.36 i NULL  1965.321 73.925 19.266 0.041 0x00
