SURVEY:  PS1MD
SNID:  2020tkw
otherID: 
IAUC:    UNKNOWN
RA:        84.7770900  deg
DECL:       -23.7974230  deg
MWEBV:    0.024 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020tkw.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0003
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 0.963 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 54
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59113.63 g NULL  4094.417 131.466 18.470 0.035 0x01
OBS: 59117.62 g NULL  3565.270 102.066 18.620 0.031 0x00
OBS: 59133.63 g NULL  894.420 94.751 20.121 0.115 0x00
OBS: 59141.59 g NULL  432.038 63.116 20.911 0.159 0x00
OBS: 59145.59 g NULL  387.221 46.216 21.030 0.130 0x00
OBS: 59147.60 g NULL  392.098 59.460 21.017 0.165 0x01
OBS: 59161.56 g NULL  215.509 48.794 21.666 0.246 0x00
OBS: 59167.52 g NULL  402.107 206.811 20.989 0.558 0x00
OBS: 59172.52 g NULL  201.937 74.715 21.737 0.402 0x00
OBS: 59191.41 g NULL  219.813 63.532 21.645 0.314 0x00
OBS: 59193.43 g NULL  155.998 70.330 22.017 0.489 0x00
OBS: 59200.42 g NULL  143.498 74.478 22.108 0.564 0x00
OBS: 59220.38 g NULL  183.659 52.902 21.840 0.313 0x00
OBS: 59229.39 g NULL  207.570 64.279 21.707 0.336 0x01
OBS: 59113.63 r NULL  4481.903 116.103 18.371 0.028 0x00
OBS: 59120.62 r NULL  3072.152 79.150 18.781 0.028 0x00
OBS: 59125.60 r NULL  2535.058 123.357 18.990 0.053 0x00
OBS: 59129.62 r NULL  2491.967 113.676 19.009 0.050 0x00
OBS: 59154.53 r NULL  777.585 162.312 20.273 0.227 0x00
OBS: 59156.52 r NULL  733.051 86.039 20.337 0.127 0x00
OBS: 59158.55 r NULL  944.913 126.706 20.062 0.146 0x01
OBS: 59167.53 r NULL  538.028 179.808 20.673 0.363 0x00
OBS: 59178.43 r NULL  826.889 194.633 20.206 0.256 0x01
OBS: 59184.49 r NULL  464.850 115.291 20.832 0.269 0x00
OBS: 59187.43 r NULL  270.446 93.015 21.420 0.373 0x00
OBS: 59189.49 r NULL  272.445 82.067 21.412 0.327 0x01
OBS: 59200.42 r NULL  271.760 63.148 21.415 0.252 0x00
OBS: 59208.43 r NULL  363.805 79.702 21.098 0.238 0x00
OBS: 59210.38 r NULL  -317.676 254.060 nan -0.868 0x00
OBS: 59213.40 r NULL  148.929 155.674 22.068 1.135 0x00
OBS: 59216.38 r NULL  148.289 131.497 22.072 0.963 0x00
OBS: 59218.42 r NULL  181.347 58.110 21.854 0.348 0x00
OBS: 59237.39 r NULL  134.193 104.177 22.181 0.843 0x00
OBS: 59242.36 r NULL  335.152 308.567 21.187 1.000 0x00
OBS: 59246.34 r NULL  44.168 81.528 23.387 2.004 0x00
OBS: 59117.62 i NULL  2221.391 70.971 19.133 0.035 0x00
OBS: 59125.60 i NULL  1700.445 118.756 19.424 0.076 0x00
OBS: 59129.62 i NULL  1913.676 88.780 19.295 0.050 0x00
OBS: 59141.58 i NULL  1501.837 68.866 19.558 0.050 0x00
OBS: 59145.59 i NULL  1065.209 70.950 19.931 0.072 0x00
OBS: 59154.52 i NULL  660.915 116.516 20.450 0.191 0x00
OBS: 59158.55 i NULL  540.132 110.601 20.669 0.222 0x01
OBS: 59182.50 i NULL  236.129 71.907 21.567 0.331 0x00
OBS: 59187.43 i NULL  297.685 119.024 21.316 0.434 0x00
OBS: 59189.49 i NULL  279.657 65.683 21.383 0.255 0x00
OBS: 59193.43 i NULL  198.637 68.558 21.755 0.375 0x00
OBS: 59208.43 i NULL  215.816 73.920 21.665 0.372 0x00
OBS: 59213.40 i NULL  150.885 127.490 22.053 0.917 0x00
OBS: 59216.38 i NULL  92.975 115.883 22.579 1.353 0x00
OBS: 59229.39 i NULL  113.874 78.063 22.359 0.744 0x01
OBS: 59237.39 i NULL  -12.593 132.895 nan -11.458 0x00
OBS: 59242.37 i NULL  -25.291 179.846 nan -7.721 0x00
OBS: 59120.62 z NULL  1286.160 132.167 19.727 0.112 0x00
OBS: 59133.63 z NULL  1596.993 141.715 19.492 0.096 0x00
OBS: 59147.60 z NULL  1014.637 98.267 19.984 0.105 0x01
OBS: 59156.53 z NULL  543.632 92.188 20.662 0.184 0x00
OBS: 59161.57 z NULL  450.828 132.160 20.865 0.318 0x00
OBS: 59178.43 z NULL  121.381 264.654 22.290 2.367 0x01
OBS: 59184.49 z NULL  116.317 105.894 22.336 0.988 0x00
OBS: 59191.41 z NULL  225.208 82.720 21.619 0.399 0x00
OBS: 59210.37 z NULL  -916.120 1230.639 nan -1.458 0x00
OBS: 59218.41 z NULL  126.850 126.669 22.242 1.084 0x00
OBS: 59220.39 z NULL  71.642 90.376 22.862 1.370 0x00
OBS: 59246.35 z NULL  27.874 144.281 23.887 5.620 0x00
END:
