SURVEY:  PS1MD
SNID:  2020tnb
otherID: 
IAUC:    UNKNOWN
RA:        60.9847500  deg
DECL:       -9.4406610  deg
MWEBV:    0.046 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020tnb.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0004
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.486 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 51
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59105.61 g NULL  1192.477 93.237 19.809 0.085 0x00
OBS: 59110.60 g NULL  1062.747 73.187 19.934 0.075 0x00
OBS: 59142.55 g NULL  975.881 66.037 20.027 0.073 0x00
OBS: 59146.53 g NULL  637.748 231.363 20.488 0.394 0x00
OBS: 59161.46 g NULL  982.495 104.393 20.019 0.115 0x00
OBS: 59167.47 g NULL  1078.064 112.354 19.918 0.113 0x01
OBS: 59190.41 g NULL  1133.305 87.287 19.864 0.084 0x00
OBS: 59198.38 g NULL  724.138 96.502 20.350 0.145 0x00
OBS: 59229.29 g NULL  928.802 83.265 20.080 0.097 0x00
OBS: 59486.60 g NULL  1010.676 120.882 19.988 0.130 0x00
OBS: 59492.56 g NULL  1054.367 98.814 19.943 0.102 0x00
OBS: 59498.60 g NULL  1046.683 76.380 19.950 0.079 0x00
OBS: 59516.53 g NULL  1160.999 163.048 19.838 0.152 0x00
OBS: 59518.56 g NULL  941.300 74.308 20.066 0.086 0x00
OBS: 59524.49 g NULL  1334.377 250.888 19.687 0.204 0x09
OBS: 59105.61 r NULL  1128.803 70.944 19.868 0.068 0x00
OBS: 59110.60 r NULL  1046.597 76.279 19.951 0.079 0x00
OBS: 59119.61 r NULL  716.988 69.011 20.361 0.105 0x00
OBS: 59123.57 r NULL  1275.434 103.376 19.736 0.088 0x00
OBS: 59130.55 r NULL  1264.165 79.545 19.745 0.068 0x00
OBS: 59142.54 r NULL  939.015 71.463 20.068 0.083 0x00
OBS: 59185.40 r NULL  1014.358 97.121 19.985 0.104 0x00
OBS: 59198.38 r NULL  922.158 70.702 20.088 0.083 0x00
OBS: 59213.28 r NULL  351.536 141.596 21.135 0.437 0x00
OBS: 59217.32 r NULL  1038.492 73.437 19.959 0.077 0x00
OBS: 59229.29 r NULL  889.236 73.193 20.127 0.089 0x00
OBS: 59244.34 r NULL  658.173 130.700 20.454 0.216 0x00
OBS: 59245.26 r NULL  731.577 79.218 20.339 0.118 0x00
OBS: 59269.27 r NULL  661.170 146.767 20.449 0.241 0x00
OBS: 59492.55 r NULL  1096.859 88.731 19.900 0.088 0x00
OBS: 59498.60 r NULL  1068.723 66.078 19.928 0.067 0x00
OBS: 59504.60 r NULL  1107.364 90.491 19.889 0.089 0x00
OBS: 59505.52 r NULL  1395.771 127.061 19.638 0.099 0x00
OBS: 59506.48 r NULL  673.427 99.477 20.429 0.160 0x00
OBS: 59513.48 r NULL  1174.009 80.487 19.826 0.074 0x00
OBS: 59524.49 r NULL  1186.844 97.356 19.814 0.089 0x01
OBS: 59119.61 i NULL  1032.697 94.269 19.965 0.099 0x00
OBS: 59123.58 i NULL  1145.241 108.122 19.853 0.103 0x00
OBS: 59190.42 i NULL  801.610 66.906 20.240 0.091 0x00
OBS: 59217.33 i NULL  809.545 72.558 20.229 0.097 0x00
OBS: 59245.26 i NULL  780.493 69.271 20.269 0.096 0x01
OBS: 59504.59 i NULL  972.766 126.078 20.030 0.141 0x00
OBS: 59506.49 i NULL  1025.312 105.273 19.973 0.111 0x00
OBS: 59518.56 i NULL  1022.809 68.272 19.976 0.072 0x00
OBS: 59130.55 z NULL  1275.659 113.260 19.736 0.096 0x00
OBS: 59146.53 z NULL  1345.112 361.840 19.678 0.292 0x00
OBS: 59161.46 z NULL  923.179 127.882 20.087 0.150 0x00
OBS: 59185.41 z NULL  780.394 123.992 20.269 0.173 0x00
OBS: 59213.29 z NULL  605.489 173.535 20.545 0.311 0x00
OBS: 59244.34 z NULL  844.914 150.231 20.183 0.193 0x00
OBS: 59269.27 z NULL  997.441 198.895 20.003 0.217 0x00
OBS: 59486.60 z NULL  888.724 139.880 20.128 0.171 0x00
OBS: 59505.52 z NULL  1066.606 144.140 19.930 0.147 0x00
OBS: 59513.48 z NULL  947.206 117.604 20.059 0.135 0x00
OBS: 59516.53 z NULL  1166.850 141.327 19.832 0.132 0x00
END:
