SURVEY:  PS1MD
SNID:  2020toi
otherID: 
IAUC:    UNKNOWN
RA:        57.8932040  deg
DECL:       -23.6699940  deg
MWEBV:    0.038 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020toi.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0070
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 3000
# DIST_FROM_CENTER_DEG: 1.170 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 82
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59080.61 g NULL  479.940 55.010 20.797 0.124 0x00
OBS: 59101.62 g NULL  221.649 62.590 21.636 0.307 0x00
OBS: 59105.61 g NULL  131.559 63.546 22.202 0.524 0x00
OBS: 59134.55 g NULL  91.314 97.426 22.599 1.158 0x00
OBS: 59138.53 g NULL  -13.038 103.004 nan -8.578 0x00
OBS: 59142.54 g NULL  56.288 50.968 23.124 0.983 0x00
OBS: 59145.53 g NULL  56.514 64.087 23.120 1.231 0x00
OBS: 59147.49 g NULL  57.913 50.926 23.093 0.955 0x00
OBS: 59161.45 g NULL  126.809 72.212 22.242 0.618 0x00
OBS: 59167.46 g NULL  44.806 132.937 23.372 3.221 0x01
OBS: 59172.45 g NULL  -44.622 65.207 nan -1.587 0x00
OBS: 59191.41 g NULL  25.568 46.614 23.981 1.979 0x00
OBS: 59193.42 g NULL  92.303 56.721 22.587 0.667 0x00
OBS: 59198.37 g NULL  139.529 283.622 22.138 2.207 0x00
OBS: 59486.60 g NULL  -71.117 99.783 nan -1.523 0x00
OBS: 59492.56 g NULL  -36.355 83.305 nan -2.488 0x00
OBS: 59515.54 g NULL  9.736 74.564 25.029 8.315 0x00
OBS: 59518.51 g NULL  -1.932 47.621 nan -26.762 0x00
OBS: 59524.48 g NULL  11.792 70.764 24.821 6.516 0x00
OBS: 59527.50 g NULL  -16.762 77.313 nan -5.008 0x00
OBS: 59077.60 r NULL  292.694 56.873 21.334 0.211 0x00
OBS: 59091.62 r NULL  380.397 54.951 21.049 0.157 0x00
OBS: 59097.62 r NULL  330.295 87.091 21.203 0.286 0x00
OBS: 59099.62 r NULL  291.259 103.371 21.339 0.385 0x00
OBS: 59118.56 r NULL  113.797 73.396 22.360 0.700 0x00
OBS: 59121.61 r NULL  178.908 67.823 21.868 0.412 0x00
OBS: 59125.54 r NULL  121.732 108.618 22.286 0.969 0x00
OBS: 59129.63 r NULL  36.999 117.290 23.580 3.442 0x00
OBS: 59134.55 r NULL  88.013 65.743 22.639 0.811 0x00
OBS: 59142.54 r NULL  103.544 50.156 22.462 0.526 0x00
OBS: 59153.44 r NULL  -81.226 122.860 nan -1.642 0x00
OBS: 59156.47 r NULL  83.069 65.113 22.701 0.851 0x00
OBS: 59167.46 r NULL  -200.658 107.198 nan -0.580 0x00
OBS: 59182.41 r NULL  206.151 135.653 21.715 0.714 0x00
OBS: 59187.43 r NULL  -105.358 105.260 nan -1.085 0x00
OBS: 59189.37 r NULL  109.564 57.000 22.401 0.565 0x00
OBS: 59198.37 r NULL  -126.845 167.765 nan -1.436 0x00
OBS: 59476.62 r NULL  147.040 119.807 22.081 0.885 0x00
OBS: 59479.60 r NULL  -102.473 102.890 nan -1.090 0x09
OBS: 59480.59 r NULL  20.916 97.752 24.199 5.074 0x00
OBS: 59481.57 r NULL  -136.507 219.117 nan -1.743 0x00
OBS: 59483.60 r NULL  -95.893 93.381 nan -1.057 0x00
OBS: 59504.49 r NULL  228.365 241.831 21.603 1.150 0x00
OBS: 59505.53 r NULL  136.034 150.074 22.166 1.198 0x00
OBS: 59507.54 r NULL  -110.731 119.574 nan -1.172 0x00
OBS: 59508.49 r NULL  60.476 154.341 23.046 2.771 0x00
OBS: 59509.53 r NULL  189.523 174.877 21.806 1.002 0x00
OBS: 59511.54 r NULL  49.715 480.111 23.259 10.485 0x01
OBS: 59518.51 r NULL  -65.617 43.391 nan -0.718 0x00
OBS: 59524.49 r NULL  -140.138 76.781 nan -0.595 0x00
OBS: 59080.61 i NULL  564.411 62.134 20.621 0.120 0x00
OBS: 59099.62 i NULL  241.557 120.030 21.542 0.540 0x00
OBS: 59105.61 i NULL  390.023 76.854 21.022 0.214 0x00
OBS: 59121.60 i NULL  23.303 89.116 24.081 4.152 0x00
OBS: 59138.53 i NULL  81.753 114.760 22.719 1.524 0x00
OBS: 59147.49 i NULL  98.982 60.742 22.511 0.666 0x00
OBS: 59156.47 i NULL  -15.269 56.567 nan -4.022 0x00
OBS: 59172.45 i NULL  81.788 75.024 22.718 0.996 0x00
OBS: 59182.41 i NULL  79.206 114.048 22.753 1.563 0x00
OBS: 59187.43 i NULL  68.807 81.200 22.906 1.281 0x00
OBS: 59191.40 i NULL  23.414 50.166 24.076 2.326 0x00
OBS: 59193.42 i NULL  57.106 62.984 23.108 1.197 0x00
OBS: 59476.62 i NULL  40.532 129.025 23.481 3.456 0x00
OBS: 59479.60 i NULL  73.223 107.028 22.838 1.587 0x09
OBS: 59481.57 i NULL  -26.951 144.228 nan -5.810 0x00
OBS: 59492.56 i NULL  125.076 120.456 22.257 1.046 0x00
OBS: 59504.48 i NULL  -213.094 236.052 nan -1.203 0x00
OBS: 59508.48 i NULL  -52.471 99.354 nan -2.056 0x00
OBS: 59511.54 i NULL  718.227 440.685 20.359 0.666 0x01
OBS: 59527.50 i NULL  23.868 67.750 24.055 3.082 0x00
OBS: 59531.45 i NULL  69.508 137.325 22.895 2.145 0x00
OBS: 59091.63 z NULL  634.474 134.112 20.494 0.229 0x00
OBS: 59097.63 z NULL  193.548 89.626 21.783 0.503 0x00
OBS: 59101.63 z NULL  242.963 74.741 21.536 0.334 0x00
OBS: 59118.56 z NULL  145.729 108.094 22.091 0.805 0x00
OBS: 59125.55 z NULL  62.413 109.512 23.012 1.905 0x00
OBS: 59129.63 z NULL  19.453 167.298 24.278 9.337 0x00
OBS: 59145.53 z NULL  142.487 92.385 22.116 0.704 0x00
OBS: 59153.44 z NULL  -20.042 105.820 nan -5.733 0x00
OBS: 59161.45 z NULL  -90.833 110.408 nan -1.320 0x00
OBS: 59189.38 z NULL  80.710 85.661 22.733 1.152 0x00
OBS: 59480.58 z NULL  28.691 105.176 23.856 3.980 0x00
OBS: 59483.60 z NULL  48.714 134.030 23.281 2.987 0x00
OBS: 59505.53 z NULL  45.399 167.695 23.357 4.010 0x00
OBS: 59507.54 z NULL  -200.446 132.121 nan -0.716 0x00
OBS: 59509.52 z NULL  -132.687 196.803 nan -1.610 0x00
OBS: 59515.54 z NULL  14.820 154.690 24.573 11.333 0x00
END:
