SURVEY:  PS1MD
SNID:  2020trg
otherID: 
IAUC:    UNKNOWN
RA:        3.5300830  deg
DECL:       16.9544360  deg
MWEBV:    0.037 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020trg.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0191
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.538 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 95
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59021.59 g NULL  15.642 61.170 24.514 4.246 0x00
OBS: 59026.60 g NULL  156.002 89.987 22.017 0.626 0x00
OBS: 59028.57 g NULL  94.069 61.080 22.566 0.705 0x00
OBS: 59029.61 g NULL  93.422 46.210 22.574 0.537 0x00
OBS: 59046.54 g NULL  -386.047 307.899 nan -0.866 0x00
OBS: 59051.56 g NULL  -9.472 42.413 nan -4.862 0x00
OBS: 59055.54 g NULL  -68.185 38.682 nan -0.616 0x00
OBS: 59077.47 g NULL  173.488 36.555 21.902 0.229 0x00
OBS: 59079.49 g NULL  229.117 46.876 21.600 0.222 0x00
OBS: 59103.40 g NULL  200.345 35.779 21.746 0.194 0x00
OBS: 59117.37 g NULL  26.876 67.486 23.927 2.726 0x00
OBS: 59142.27 g NULL  103.765 42.779 22.460 0.448 0x00
OBS: 59143.27 g NULL  58.120 67.243 23.089 1.256 0x00
OBS: 59145.29 g NULL  40.563 52.914 23.480 1.416 0x00
OBS: 59169.22 g NULL  49.892 39.633 23.255 0.862 0x00
OBS: 59381.58 g NULL  -36.327 55.147 nan -1.648 0x00
OBS: 59410.57 g NULL  32.804 57.300 23.710 1.896 0x00
OBS: 59412.51 g NULL  -3.617 44.520 nan -13.364 0x00
OBS: 59428.53 g NULL  91.878 43.215 22.592 0.511 0x00
OBS: 59435.46 g NULL  5.832 37.498 25.585 6.981 0x00
OBS: 59438.62 g NULL  -39.904 32.833 nan -0.893 0x00
OBS: 59443.62 g NULL  62.655 36.877 23.008 0.639 0x00
OBS: 59455.60 g NULL  -164.516 102.501 nan -0.676 0x01
OBS: 59458.58 g NULL  97.646 63.744 22.526 0.709 0x00
OBS: 59467.56 g NULL  -1.335 43.763 nan -35.592 0x00
OBS: 59485.52 g NULL  -97.860 92.618 nan -1.028 0x00
OBS: 59488.34 g NULL  10.555 108.143 24.941 11.124 0x00
OBS: 59491.50 g NULL  5.188 39.251 25.713 8.214 0x00
OBS: 59500.44 g NULL  58.413 64.921 23.084 1.207 0x00
OBS: 59517.28 g NULL  99.887 49.978 22.501 0.543 0x00
OBS: 59519.28 g NULL  53.996 42.452 23.169 0.854 0x00
OBS: 59525.38 g NULL  26.994 47.859 23.922 1.925 0x00
OBS: 59530.37 g NULL  44.729 111.679 23.374 2.711 0x09
OBS: 59032.55 r NULL  -186.647 68.997 nan -0.401 0x00
OBS: 59036.59 r NULL  72.760 55.026 22.845 0.821 0x00
OBS: 59046.54 r NULL  950.827 417.954 20.055 0.477 0x00
OBS: 59051.56 r NULL  0.224 57.100 29.124 276.766 0x01
OBS: 59055.54 r NULL  -52.926 47.529 nan -0.975 0x00
OBS: 59060.50 r NULL  33.308 52.229 23.694 1.703 0x00
OBS: 59064.52 r NULL  -44.442 82.802 nan -2.023 0x00
OBS: 59079.49 r NULL  272.589 42.041 21.411 0.167 0x00
OBS: 59093.41 r NULL  301.523 100.214 21.302 0.361 0x00
OBS: 59100.43 r NULL  330.967 96.407 21.201 0.316 0x00
OBS: 59120.38 r NULL  176.474 79.329 21.883 0.488 0x00
OBS: 59127.36 r NULL  113.230 195.162 22.365 1.871 0x00
OBS: 59142.27 r NULL  58.644 42.439 23.079 0.786 0x00
OBS: 59381.58 r NULL  -27.131 68.645 nan -2.747 0x00
OBS: 59385.60 r NULL  1.585 43.142 27.000 29.553 0x00
OBS: 59387.59 r NULL  56.400 54.529 23.122 1.050 0x00
OBS: 59393.60 r NULL  102.924 77.753 22.469 0.820 0x00
OBS: 59410.56 r NULL  -34.365 51.855 nan -1.638 0x00
OBS: 59414.56 r NULL  42.828 67.165 23.421 1.703 0x00
