SURVEY:  PS1MD
SNID:  2020tvb
otherID: 
IAUC:    UNKNOWN
RA:        327.1607790  deg
DECL:       3.5863780  deg
MWEBV:    0.062 +- 0.003 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020tvb.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0000
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 1.003 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 162
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59023.59 g NULL  2259.464 757.264 19.115 0.364 0x00
OBS: 59027.57 g NULL  2819.992 132.356 18.874 0.051 0x00
OBS: 59029.46 g NULL  2883.188 145.560 18.850 0.055 0x00
OBS: 59046.52 g NULL  2546.218 151.423 18.985 0.065 0x00
OBS: 59049.49 g NULL  2992.143 152.367 18.810 0.055 0x00
OBS: 59058.56 g NULL  3137.059 124.610 18.759 0.043 0x00
OBS: 59072.38 g NULL  896.844 109.049 20.118 0.132 0x00
OBS: 59076.47 g NULL  1920.040 88.081 19.292 0.050 0x00
OBS: 59079.43 g NULL  2127.710 106.280 19.180 0.054 0x00
OBS: 59101.36 g NULL  1828.180 126.486 19.345 0.075 0x00
OBS: 59103.38 g NULL  1808.638 89.584 19.357 0.054 0x00
OBS: 59105.37 g NULL  1338.696 75.710 19.683 0.061 0x00
OBS: 59109.34 g NULL  1202.795 158.432 19.800 0.143 0x00
OBS: 59111.35 g NULL  2100.583 568.833 19.194 0.294 0x00
OBS: 59113.41 g NULL  2575.024 594.352 18.973 0.251 0x01
OBS: 59115.35 g NULL  1781.470 105.146 19.373 0.064 0x00
OBS: 59136.30 g NULL  6497.422 220.792 17.968 0.037 0x09
OBS: 59140.22 g NULL  4316.510 146.806 18.412 0.037 0x01
OBS: 59144.23 g NULL  3797.897 126.919 18.551 0.036 0x00
OBS: 59166.21 g NULL  2411.720 173.332 19.044 0.078 0x00
OBS: 59170.21 g NULL  3000.539 110.229 18.807 0.040 0x00
OBS: 59346.60 g NULL  5190.738 192.198 18.212 0.040 0x09
OBS: 59350.60 g NULL  4833.746 156.172 18.289 0.035 0x01
OBS: 59353.57 g NULL  4639.332 90.726 18.334 0.021 0x00
OBS: 59354.59 g NULL  5156.569 121.734 18.219 0.026 0x00
OBS: 59355.59 g NULL  5188.843 122.555 18.212 0.026 0x00
OBS: 59371.56 g NULL  5063.720 141.386 18.239 0.030 0x00
OBS: 59374.58 g NULL  5530.173 163.166 18.143 0.032 0x00
OBS: 59377.56 g NULL  5518.805 105.346 18.145 0.021 0x00
OBS: 59380.56 g NULL  5536.384 157.211 18.142 0.031 0x00
OBS: 59382.57 g NULL  5825.673 113.799 18.087 0.021 0x00
OBS: 59383.57 g NULL  5419.431 145.939 18.165 0.029 0x00
OBS: 59398.51 g NULL  5318.344 159.405 18.186 0.033 0x00
OBS: 59399.46 g NULL  5199.511 109.635 18.210 0.023 0x00
OBS: 59409.44 g NULL  3935.698 104.701 18.512 0.029 0x00
OBS: 59412.60 g NULL  2774.730 109.211 18.892 0.043 0x00
OBS: 59413.44 g NULL  3555.305 132.054 18.623 0.040 0x00
