SURVEY:  PS1MD
SNID:  2020tvh
otherID: 
IAUC:    UNKNOWN
RA:        50.8385830  deg
DECL:       -4.4063190  deg
MWEBV:    0.034 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59163.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020tvh.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.490 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 42
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58816.39 g NULL  1617.594 238.146 19.478 0.160 0x00
OBS: 58837.34 g NULL  3572.769 170.146 18.617 0.052 0x00
OBS: 58866.32 g NULL  4267.179 156.796 18.425 0.040 0x00
OBS: 59103.61 g NULL  8047.972 182.949 17.736 0.025 0x00
OBS: 59108.59 g NULL  8598.582 157.251 17.664 0.020 0x01
OBS: 59110.51 g NULL  7105.326 177.009 17.871 0.027 0x00
OBS: 59114.57 g NULL  6566.219 180.565 17.957 0.030 0x00
OBS: 59138.45 g NULL  6336.449 342.993 17.995 0.059 0x00
OBS: 59144.50 g NULL  5981.835 161.602 18.058 0.029 0x00
OBS: 59161.44 g NULL  5574.779 160.468 18.134 0.031 0x00
OBS: 59167.45 g NULL  4862.753 172.691 18.283 0.039 0x01
OBS: 59190.41 g NULL  4808.003 139.881 18.295 0.032 0x00
OBS: 59192.37 g NULL  5528.090 146.009 18.144 0.029 0x00
OBS: 59198.36 g NULL  4526.515 233.554 18.361 0.056 0x01
OBS: 59458.57 g NULL  541.650 232.256 20.666 0.466 0x00
OBS: 59500.50 g NULL  558.681 173.653 20.632 0.337 0x01
OBS: 59090.58 r NULL  7042.658 134.696 17.881 0.021 0x00
OBS: 59108.59 r NULL  7560.384 150.260 17.804 0.022 0x01
OBS: 59114.57 r NULL  9089.086 155.609 17.604 0.019 0x00
OBS: 59123.57 r NULL  9087.430 205.134 17.604 0.025 0x00
OBS: 59130.49 r NULL  7366.865 154.503 17.832 0.023 0x00
OBS: 59138.46 r NULL  6384.300 810.548 17.987 0.138 0x00
OBS: 59148.42 r NULL  7599.358 157.821 17.798 0.023 0x00
OBS: 59185.40 r NULL  6906.563 196.275 17.902 0.031 0x00
OBS: 59504.43 r NULL  3511.535 196.104 18.636 0.061 0x01
OBS: 59505.62 r NULL  4742.906 156.710 18.310 0.036 0x00
OBS: 59513.61 r NULL  4609.830 224.678 18.341 0.053 0x00
OBS: 59525.46 r NULL  3878.636 109.244 18.528 0.031 0x00
OBS: 58816.39 i NULL  1110.220 158.752 19.886 0.155 0x00
OBS: 58866.32 i NULL  3662.653 145.856 18.591 0.043 0x00
OBS: 59110.51 i NULL  5751.462 159.817 18.101 0.030 0x00
OBS: 59130.48 i NULL  6665.619 189.522 17.940 0.031 0x00
OBS: 59144.50 i NULL  7455.464 166.242 17.819 0.024 0x00
OBS: 59161.44 i NULL  5787.773 130.145 18.094 0.024 0x00
OBS: 59167.45 i NULL  4987.780 212.390 18.255 0.046 0x01
OBS: 59185.40 i NULL  6178.964 180.658 18.023 0.032 0x00
OBS: 59190.41 i NULL  4116.583 126.757 18.464 0.033 0x00
OBS: 59198.36 i NULL  5624.156 274.773 18.125 0.053 0x00
OBS: 59500.50 i NULL  3129.537 159.923 18.761 0.055 0x01
OBS: 59505.61 i NULL  3130.997 173.908 18.761 0.060 0x00
OBS: 59519.57 i NULL  4650.902 136.156 18.331 0.032 0x00
OBS: 58837.34 z NULL  4121.312 223.700 18.462 0.059 0x00
OBS: 59090.59 z NULL  4267.745 164.092 18.425 0.042 0x00
OBS: 59103.61 z NULL  5520.169 191.654 18.145 0.038 0x00
OBS: 59123.57 z NULL  6693.896 245.903 17.936 0.040 0x00
OBS: 59148.43 z NULL  5843.797 226.735 18.083 0.042 0x00
OBS: 59192.37 z NULL  5323.995 179.197 18.184 0.037 0x00
OBS: 59458.57 z NULL  931.003 240.298 20.078 0.280 0x00
OBS: 59504.43 z NULL  1353.989 293.748 19.671 0.236 0x00
OBS: 59513.61 z NULL  1958.818 257.463 19.270 0.143 0x00
END:
